,code,stock_name
209,US.GWW,美国固安捷
210,US.HAL,哈里伯顿
211,US.HAS,孩之宝
212,US.HBAN,亨廷顿银行
213,US.HBI,哈尼斯品牌服装
214,US.HCA,HCA控股
215,US.HCN,HCN房产信托
216,US.HCP,HCP房产信托
217,US.HD,家得宝
218,US.HES,赫斯
219,US.HIG,美国哈特福德金融
220,US.HOG,哈雷戴维森
221,US.HOLX,上巨实业医疗
222,US.HON,霍尼韦尔
223,US.HP,赫尔默里奇和佩恩材料
224,US.HPE,惠普企业
225,US.HPQ,惠普
226,US.HRB,H & R布洛克税务公司
227,US.HRL,荷美尔
228,US.HRS,哈里斯通讯
229,US.HSIC,亨利香恩服务
230,US.HST,美国豪斯特酒店
231,US.HSY,好时
232,US.HUM,休曼纳
233,US.IBM,IBM Corp
234,US.ICE,洲际交易所
235,US.IFF,国际香料香精
236,US.ILMN,"Illumina, Inc."
237,US.INTC,英特尔
238,US.INTU,财捷
239,US.IP,国际纸业公司
240,US.IPG,埃培智
241,US.IR,英格索兰
242,US.IRM,爱恩铁山
243,US.ISRG,直觉外科公司
244,US.ITW,伊利诺伊机械
245,US.IVZ,美国景顺集团
246,US.JBHT,JB Hunt运输服务
247,US.JCI,江森自控
248,US.JEC,雅各布工程集团
249,US.JNJ,强生
250,US.JNPR,瞻博网络
251,US.JPM,摩根大通
252,US.JWN,诺德斯特龙
253,US.K,家乐氏
254,US.KEY,KeyCorp
255,US.KHC,卡夫亨氏
256,US.KIM,金科
257,US.KLAC,科磊
258,US.KMB,金伯利
259,US.KMI,金德尔摩根
260,US.KMX,车美仕
261,US.KO,可口可乐
262,US.KORS,迈克高仕
263,US.KR,克罗格
264,US.KSS,柯尔百货
265,US.KSU,堪萨斯南方铁路
266,US.L,洛斯公司
267,US.LB,L Brands Inc
268,US.LEG,礼恩派
269,US.LEN,莱纳建筑公司
270,US.LH,实验美控
271,US.LKQ,LKQ Corp.
272,US.LLL,"L3 Technologies, Inc."
273,US.LLTC,凌力尔特
274,US.LLY,礼来
275,US.LMT,洛克希德马丁
276,US.LNC,林肯国民
277,US.LNT,美国联合能源
278,US.LOW,劳氏
279,US.LRCX,拉姆研究
280,US.LUK,露卡迪亚
281,US.LUV,西南航空
282,US.LVLT,第三级通讯
283,US.LYB,利安德巴塞尔
284,US.M,梅西百货
285,US.MA,万事达
286,US.MAA,MAA房产信托
287,US.MAC,马塞里奇房产
288,US.MAR,万豪酒店
289,US.MAS,马斯科
290,US.MAT,美国美泰公司
291,US.MCD,麦当劳
292,US.MCHP,微芯科技
293,US.MCK,麦克森药物批发
294,US.MCO,穆迪
295,US.MDLZ,亿滋
296,US.MDT,美敦力
297,US.MET,大都会人寿
298,US.MHK,莫霍克工业公司
299,US.MKC,味好美
300,US.MLM,马丁-玛丽埃塔材料
301,US.MMC,威达信集团
302,US.MMM,3M
303,US.MNK,Mallinckrodt Plc
304,US.MNST,怪物饮料
305,US.MO,奥驰亚
306,US.MON,孟山都
307,US.MOS,美国美盛
308,US.MPC,马拉松石油
309,US.MRK,默沙东
310,US.MRO,马拉松石油
311,US.MS,摩根士丹利
312,US.MSFT,微软
313,US.MSI,摩托罗拉解决方案
314,US.MTB,美国制商银行
315,US.MTD,梅特勒-托利多
316,US.MU,美光科技
317,US.MUR,墨菲石油
318,US.MYL,迈兰制药
319,US.NAVI,Navient Corp
320,US.NBL,诺贝尔能源
321,US.NDAQ,纳斯达克OMX交易所
322,US.NEE,新纪元能源
323,US.NEM,纽曼矿业
324,US.NFLX,奈飞
325,US.NFX,新田
326,US.NI,印北瓦电
327,US.NKE,耐克
328,US.NLSN,尼尔森
329,US.NOC,诺斯罗普格鲁曼
330,US.NOV,华高
331,US.NRG,NRG能源
332,US.NSC,诺福克南方
333,US.NTAP,美国网存
334,US.NTRS,北方信托公司
335,US.NUE,纽柯钢铁
336,US.NVDA,英伟达
337,US.NWL,纽威
338,US.NWS,新闻集团
339,US.NWSA,新闻集团
340,US.O,Realty Income Corp.
341,US.OKE,欧尼克(万欧卡)
342,US.OMC,宏盟集团
343,US.ORCL,甲骨文
344,US.ORLY,奥莱利
345,US.OXY,西方石油
346,US.PAYX,沛齐
347,US.PBCT,人联金融
348,US.PBI,必能宝
349,US.PCAR,帕卡
350,US.PCG,太平洋煤气电力
351,US.PCLN,普利斯林公司
352,US.PDCO,帕特森
353,US.PEG,公务集团
354,US.PEP,百事可乐
355,US.PFE,辉瑞
356,US.PFG,信安金融
357,US.PG,宝洁
358,US.PGR,美国前进保险公司
359,US.PH,派克汉尼汾
360,US.PHM,普得集团
361,US.PKI,珀金
362,US.PLD,普洛斯
363,US.PM,菲利普莫里斯
364,US.PNC,PNC金融
365,US.PNR,滨特尔
366,US.PNW,品尼高西方资本品西资本
367,US.PPG,PPG工业
368,US.PPL,宾州电力
369,US.PRGO,百利高
370,US.PRU,保德信金融
371,US.PSA,公共存储公司
372,US.PSX,菲利普66公司
373,US.PVH,PVH Corp.
374,US.PWR,广达公司
375,US.PX,普莱克斯
376,US.PXD,先锋自然资源
377,US.PYPL,PayPal
378,US.QCOM,高通
379,US.QRVO,"Qorvo, Inc."
380,US.R,莱德系统
381,US.RAI,雷诺美国
382,US.RCL,皇家加勒比邮轮
383,US.REGN,再生元制药公司
384,US.RF,地区金融
385,US.RHI,罗伯特哈夫
386,US.RHT,红帽
387,US.RIG,Transocean Ltd.
388,US.RL,拉夫劳伦
389,US.ROK,罗克韦尔自动化
390,US.ROP,儒博实业
391,US.ROST,罗斯百货
392,US.RRC,山脉资源集团
393,US.RSG,共和废品处理
394,US.RTN,雷神
395,US.SBUX,星巴克
396,US.SCG,斯卡纳公司
397,US.SCHW,嘉信理财
398,US.SEE,希悦尔
399,US.SHW,宣伟公司
400,US.SIG,西格内特珠宝
401,US.SJM,斯马克
402,US.SLB,斯伦贝谢
403,US.SLG,SL Green Realty Corp.
404,US.SNA,实耐宝
405,US.SNI,史奎普斯
406,US.SO,美国南方公司
407,US.SPG,西蒙地产
408,US.SPGI,标普全球
409,US.SRCL,消毒循环
410,US.SRE,桑普拉能源
411,US.STI,太阳信托银行
412,US.STJ,美国圣犹达医疗 (已退市)
413,US.STT,道富银行
414,US.STX,希捷科技
415,US.STZ,星座品牌酒业
416,US.SWK,美国史丹利公司
417,US.SWKS,思佳讯
418,US.SWN,美国西南能源
419,US.SYF,Synchrony Financial
420,US.SYK,史赛克
421,US.SYMC,赛门铁克
422,US.SYY,西思科公司
423,US.T,美国电话电报
424,US.TAP,莫库酒业
425,US.TDC,天睿公司
426,US.TDG,"TransDigm Group, Inc."
427,US.TEL,泰科电子
428,US.TGNA,"TEGNA, Inc."
429,US.TGT,塔吉特
430,US.TIF,蒂芙尼
431,US.TJX,TJX公司
432,US.TMK,托马科
433,US.TMO,赛默飞世尔
434,US.TRIP,旅行顾问
435,US.TROW,罗派斯
436,US.TRV,旅行者财产险集团
437,US.TSCO,拖拉机供应公司
438,US.TSN,泰森食品
439,US.TSO,特索罗公司
440,US.TSS,完全系统
441,US.TWX,时代华纳
442,US.TXN,德州仪器
443,US.TXT,德事隆
444,US.UA,"Under Armour, Inc. Class C"
445,US.UAA,"Under Armour, Inc. Class A"
446,US.UAL,联合大陆航空
447,US.UDR,UDR不动产信托
448,US.UHS,Universal Health Services Inc Cl B
449,US.ULTA,Ulta美容产品公司
450,US.UNH,联合健康
451,US.UNM,尤纳姆集团
452,US.UNP,联合太平洋
453,US.UPS,联合包裹
454,US.URBN,都市服饰
455,US.URI,联合租赁
456,US.USB,美国合众银行
457,US.UTX,联合技术
458,US.V,维萨卡公司
459,US.VAR,瓦里安医疗系统
460,US.VFC,威富集团
461,US.VIAB,维亚康姆
462,US.VLO,瓦莱罗能源
463,US.VMC,火神材料
464,US.VNO,沃那多房信
465,US.VRSK,"Verisk Analytics, Inc."
466,US.VRSN,威瑞信
467,US.VRTX,福泰制药
468,US.VTR,芬塔公司
469,US.VZ,威瑞森
470,US.WAT,沃特世
471,US.WBA,"Walgreens Boots Alliance, Inc."
472,US.WDC,西部数据
473,US.WEC,威州能源
474,US.WFC,富国银行
475,US.WHR,惠而浦
476,US.WLTW,Willis Group Holdings
477,US.WM,美国废物管理
478,US.WMB,威廉姆斯
479,US.WMT,沃尔玛
480,US.WRK,WestRock Co.
481,US.WU,西联汇款
482,US.WY,惠好
483,US.WYN,温德姆环球
484,US.WYNN,永利度假村
485,US.XEC,Cimarex Energy Co.
486,US.XEL,埃克西尔能源
487,US.XL,XL Group Ltd.
488,US.XLNX,赛灵思
489,US.XOM,埃克森美孚
490,US.XRAY,登士柏国际
491,US.XRX,施乐
492,US.XYL,赛莱默
493,US.YHOO,雅虎
494,US.YUM,百胜餐饮集团
495,US.ZBH,"Zimmer Biomet Holdings, Inc."
496,US.ZION,锡安银行
497,US.ZTS,"Zoetis, Inc."
