id,code,stock_name
222,SZ.000609,中迪投资
223,SZ.002514,宝馨科技
224,SZ.300155,安居宝
225,SZ.000921,海信科龙
226,SH.601997,贵阳银行
227,SH.600439,瑞贝卡
228,SZ.300309,吉艾科技
229,SZ.300347,泰格医药
230,SH.603088,宁波精达
231,SZ.300491,通合科技
232,SZ.300306,远方信息
233,SZ.300471,厚普股份
234,SH.600161,天坛生物
235,SZ.002405,四维图新
236,SH.600279,重庆港九
237,SZ.300338,开元股份
238,SH.600010,包钢股份
239,SH.600019,宝钢股份
240,SH.600025,华能水电
241,SH.600036,招商银行
242,SH.600056,中国医药
243,SH.600058,五矿发展
244,SH.600062,华润双鹤
245,SH.600103,青山纸业
246,SH.600157,永泰能源
247,SH.600163,中闽能源
248,SH.600173,卧龙地产
249,SH.600176,中国巨石
250,SH.600189,吉林森工
251,SH.600201,生物股份
252,SH.600225,天津松江
253,SH.600282,南钢股份
254,SH.600298,安琪酵母
255,SH.600305,恒顺醋业
256,SH.600330,天通股份
257,SH.600338,西藏珠峰
258,SH.600340,华夏幸福
259,SH.600355,精伦电子
260,SH.600380,健康元
261,SH.600409,三友化工
262,SH.600426,华鲁恒升
263,SH.600488,天药股份
264,SH.600519,贵州茅台
265,SH.600525,长园集团
266,SH.600559,老白干酒
267,SH.600577,精达股份
268,SH.600585,海螺水泥
269,SH.600592,龙溪股份
270,SH.600611,大众交通
271,SH.600619,海立股份
272,SH.600628,新世界
273,SH.600676,交运股份
274,SH.600681,百川能源
275,SH.600703,三安光电
276,SH.600727,鲁北化工
277,SH.600741,华域汽车
278,SH.600761,安徽合力
279,SH.600771,广誉远
280,SH.600777,新潮能源
281,SH.600779,水井坊
282,SH.600803,新奥股份
283,SH.600808,马钢股份
284,SH.600810,神马股份
285,SH.600828,茂业商业
286,SH.600859,王府井
287,SH.600867,通化东宝
288,SH.600889,南京化纤
289,SH.600919,江苏银行
290,SH.600966,博汇纸业
291,SH.601001,大同煤业
292,SH.601003,柳钢股份
293,SH.601009,南京银行
294,SH.601015,陕西黑猫
295,SH.601101,昊华能源
296,SH.601139,深圳燃气
297,SH.601216,君正集团
298,SH.601225,陕西煤业
299,SH.601231,环旭电子
300,SH.601368,绿城水务
301,SH.601636,旗滨集团
302,SH.601857,中国石油
303,SH.601999,出版传媒
304,SH.603085,天成自控
305,SH.603166,福达股份
306,SH.603369,XD今世缘
307,SH.603589,口子窖
308,SH.603599,广信股份
309,SH.603688,石英股份
310,SH.603701,德宏股份
311,SH.603799,华友钴业
312,SH.603856,东宏股份
313,SH.603938,三孚股份
314,SZ.000019,深深宝Ａ
315,SZ.000055,方大集团
316,SZ.000060,中金岭南
317,SZ.000401,冀东水泥
318,SZ.000418,小天鹅Ａ
319,SZ.000551,创元科技
320,SZ.000567,海德股份
321,SZ.000568,泸州老窖
322,SZ.000572,海马汽车
323,SZ.000603,盛达矿业
324,SZ.000615,京汉股份
325,SZ.000656,金科股份
326,SZ.000666,经纬纺机
327,SZ.000672,上峰水泥
328,SZ.000680,山推股份
329,SZ.000688,建新矿业
330,SZ.000731,四川美丰
331,SZ.000780,平庄能源
332,SZ.000786,北新建材
333,SZ.000825,太钢不锈
334,SZ.000830,鲁西化工
335,SZ.000835,长城动漫
336,SZ.000858,五 粮 液
337,SZ.000885,同力水泥
338,SZ.000918,嘉凯城
339,SZ.000923,河北宣工
340,SZ.000932,华菱钢铁
341,SZ.000965,天保基建
342,SZ.000993,闽东电力
343,SZ.002027,分众传媒
344,SZ.002034,旺能环境
345,SZ.002042,华孚时尚
346,SZ.002044,美年健康
347,SZ.002050,三花智控
348,SZ.002051,中工国际
349,SZ.002052,同洲电子
350,SZ.002056,横店东磁
351,SZ.002068,黑猫股份
352,SZ.002083,孚日股份
353,SZ.002087,新野纺织
354,SZ.002088,鲁阳节能
355,SZ.002091,江苏国泰
356,SZ.002094,青岛金王
357,SZ.002115,三维通信
358,SZ.002118,紫鑫药业
359,SZ.002120,韵达股份
360,SZ.002127,南极电商
361,SZ.002139,拓邦股份
362,SZ.002142,宁波银行
363,SZ.002147,新光圆成
364,SZ.002159,三特索道
365,SZ.002174,游族网络
366,SZ.002211,宏达新材
367,SZ.002222,福晶科技
368,SZ.002233,塔牌集团
369,SZ.002258,利尔化学
370,SZ.002262,恩华药业
371,SZ.002275,桂林三金
372,SZ.002276,万马股份
373,SZ.002285,世联行
374,SZ.002304,洋河股份
375,SZ.002320,海峡股份
376,SZ.002341,新纶科技
377,SZ.002366,台海核电
378,SZ.002370,亚太药业
379,SZ.002376,新北洋
380,SZ.002383,合众思壮
381,SZ.002386,天原集团
382,SZ.002416,爱施德
383,SZ.002429,兆驰股份
384,SZ.002499,科林环保
385,SZ.002517,恺英网络
386,SZ.002534,杭锅股份
387,SZ.002558,巨人网络
388,SZ.002568,百润股份
389,SZ.002572,索菲亚
390,SZ.002597,金禾实业
391,SZ.002602,世纪华通
392,SZ.002622,融钰集团
393,SZ.002624,完美世界
394,SZ.002662,京威股份
395,SZ.002676,顺威股份
396,SZ.002680,长生生物
397,SZ.002721,金一文化
398,SZ.002733,雄韬股份
399,SZ.002749,国光股份
400,SZ.002751,易尚展示
401,SZ.002753,永东股份
402,SZ.002763,汇洁股份
403,SZ.002773,康弘药业
404,SZ.002788,鹭燕医药
405,SZ.002803,吉宏股份
406,SZ.300019,硅宝科技
407,SZ.300031,宝通科技
408,SZ.300038,梅泰诺
409,SZ.300041,回天新材
410,SZ.300081,恒信东方
411,SZ.300102,乾照光电
412,SZ.300105,龙源技术
413,SZ.300116,坚瑞沃能
414,SZ.300163,先锋新材
415,SZ.300176,鸿特科技
416,SZ.300179,四方达
417,SZ.300193,佳士科技
418,SZ.300194,福安药业
419,SZ.300286,安科瑞
420,SZ.300287,飞利信
421,SZ.300292,吴通控股
422,SZ.300320,海达股份
423,SZ.300383,光环新网
424,SZ.300409,道氏技术
425,SZ.300418,昆仑万维
426,SZ.300434,金石东方
427,SZ.300441,鲍斯股份
428,SZ.300459,金科文化
429,SZ.300463,迈克生物
430,SZ.300473,德尔股份
431,SZ.300482,万孚生物
432,SZ.300502,新易盛
433,SZ.300573,兴齐眼药
434,SZ.300618,寒锐钴业
435,SZ.300719,安达维尔
436,SZ.300251,光线传媒
437,SH.601020,华钰矿业
438,SH.601888,中国国旅
439,SZ.300207,欣旺达
440,SZ.002600,领益智造
441,SZ.002343,慈文传媒
442,SH.600346,恒力股份
443,SH.600260,凯乐科技
444,SZ.300400,劲拓股份
445,SH.601288,农业银行
446,SZ.002626,金达威
447,SZ.300488,恒锋工具
448,SZ.300139,晓程科技
449,SZ.002619,艾格拉斯
450,SZ.300401,花园生物
451,SH.603027,千禾味业
452,SZ.300584,海辰药业
453,SH.600603,广汇物流
454,SH.603518,维格娜丝
455,SH.600702,舍得酒业
456,SZ.000818,航锦科技
457,SH.603707,健友股份
458,SZ.300454,深信服
459,SH.600641,万业企业
460,SZ.000538,云南白药
461,SZ.000848,承德露露
462,SZ.000869,张  裕Ａ
463,SZ.000895,双汇发展
464,SZ.002022,科华生物
465,SZ.002152,广电运通
466,SZ.002153,石基信息
467,SZ.002653,海思科
468,SZ.002718,友邦吊顶
469,SZ.002796,世嘉科技
470,SZ.002825,纳尔股份
471,SZ.002841,视源股份
472,SZ.002898,赛隆药业
473,SZ.200869,张  裕Ｂ
474,SZ.300033,同花顺
475,SZ.300113,顺网科技
476,SZ.300298,三诺生物
477,SZ.300436,广生堂
478,SZ.300485,赛升药业
479,SZ.300494,盛天网络
480,SZ.300558,贝达药业
481,SZ.300640,德艺文创
482,SH.600252,中恒集团
483,SH.600271,航天信息
484,SH.601566,九牧王
485,SH.603020,爱普股份
486,SH.603043,广州酒家
487,SH.603138,海量数据
488,SH.603298,杭叉集团
489,SH.603313,梦百合
490,SH.603329,上海雅仕
491,SH.603358,华达科技
492,SH.603517,绝味食品
493,SH.603579,荣泰健康
494,SH.603757,大元泵业
495,SH.603798,康普顿
496,SH.603801,志邦股份
497,SH.603816,顾家家居
498,SH.603833,欧派家居
499,SH.603866,桃李面包
500,SH.603871,嘉友国际
501,SH.603986,兆易创新
