id,code,stock_name
224,SH.600872,中炬高新
225,SH.600881,亚泰集团
226,SH.600522,中天科技
227,SH.600511,国药股份
228,SH.600031,三一重工
229,SH.600340,华夏幸福
230,SZ.002032,苏泊尔
231,SZ.002041,登海种业
232,SH.601001,大同煤业
233,SZ.002146,荣盛发展
234,SH.601006,大秦铁路
235,SZ.002230,科大讯飞
236,SZ.002242,九阳股份
237,SZ.002280,联络互动
238,SZ.002326,永太科技
239,SZ.002385,大北农
240,SZ.002410,广联达
241,SZ.002456,欧菲科技
242,SH.601880,大连港
243,SH.601908,京运通
244,SZ.002157,正邦科技
245,SH.600959,江苏有线
246,SZ.000002,万科A
247,SZ.000069,华侨城
248,SZ.000591,太阳能
249,SZ.000685,中山公用
250,SH.600062,华润双鹤
251,SH.600068,葛洲坝
252,SH.600079,人福医药
253,SH.600169,太原重工
254,SH.600291,西水股份
255,SH.600528,中铁工业
256,SH.600686,金龙汽车
257,SH.600869,智慧能源
258,SH.600884,杉杉股份
259,SH.600004,白云机场
260,SH.600986,科达股份
261,SZ.002018,*ST华信
262,SZ.002038,双鹭药业
263,SH.601872,招商轮船
264,SZ.000338,潍柴动力
265,SZ.002191,劲嘉股份
266,SZ.002249,大洋电机
267,SH.601198,东兴证券
268,SZ.002354,天神娱乐
269,SH.601118,海南橡胶
270,SH.601933,永辉超市
271,SH.601231,环旭电子
272,SH.600023,浙能电力
273,SH.601021,春秋航空
274,SH.603885,吉祥航空
275,SH.601611,中国核建
276,SH.600977,中国电影
277,SZ.000089,深圳机场
278,SZ.000738,航发控制
279,SZ.000918,嘉凯城
280,SZ.000963,华东医药
281,SZ.000975,银泰资源
282,SH.600006,东风汽车
283,SH.600010,包钢股份
284,SH.600019,宝钢股份
285,SH.600036,招商银行
286,SH.600123,兰花科创
287,SH.600185,格力地产
288,SH.600315,上海家化
289,SH.600362,江西铜业
290,SH.600376,首开股份
291,SH.600418,江淮汽车
292,SH.600536,中国软件
293,SH.600771,广誉远
294,SH.600773,西藏城投
295,SH.600848,上海临港
296,SH.600343,航天动力
297,SH.600584,长电科技
298,SH.600015,华夏银行
299,SZ.002036,联创电子
300,SZ.002185,华天科技
301,SH.601857,中国石油
302,SZ.002415,海康威视
303,SZ.002643,万润股份
304,SZ.002508,老板电器
305,SH.601992,金隅集团
306,SZ.002583,海能达
307,SH.601800,中国交建
308,SH.603000,人民网
309,SZ.002707,众信旅游
310,SZ.002174,游族网络
311,SZ.000400,许继电气
312,SZ.000543,皖能电力
313,SZ.000807,云铝股份
314,SH.600297,广汇汽车
315,SH.600337,美克家居
316,SH.600642,申能股份
317,SH.600699,均胜电子
318,SH.600718,东软集团
319,SH.600783,鲁信创投
320,SH.600801,华新水泥
321,SH.600808,马钢股份
322,SH.600820,隧道股份
323,SH.600460,士兰微
324,SH.600271,航天信息
325,SH.600406,国电南瑞
326,SH.600572,康恩贝
327,SZ.002153,石基信息
328,SZ.002089,新海宜
329,SZ.002221,东华能源
330,SZ.002673,西部证券
331,SZ.002269,美邦服饰
332,SH.601801,皖新传媒
333,SH.600958,东方证券
334,SZ.002151,北斗星通
335,SZ.000021,深科技
336,SZ.000062,深圳华强
337,SZ.000423,东阿阿胶
338,SZ.000426,兴业矿业
339,SZ.000776,广发证券
340,SZ.000860,顺鑫农业
341,SZ.000869,张裕A
342,SH.600094,大名城
343,SH.600100,同方股份
344,SH.600104,上汽集团
345,SH.600180,瑞茂通
346,SH.600210,紫江企业
347,SH.600280,中央商场
348,SH.600466,蓝光发展
349,SH.600604,市北高新
350,SH.600663,陆家嘴
351,SH.600745,闻泰科技
352,SH.600755,厦门国贸
353,SH.600797,浙大网新
354,SH.600436,片仔癀
355,SH.600489,中金黄金
356,SH.600410,华胜天成
357,SZ.002027,分众传媒
358,SH.601318,中国平安
359,SZ.002396,星网锐捷
360,SH.601727,上海电气
361,SZ.002292,奥飞娱乐
362,SZ.002429,兆驰股份
363,SH.601777,力帆股份
364,SZ.002555,三七互娱
365,SH.601258,庞大集团
366,SZ.002155,湖南黄金
367,SH.601016,节能风电
368,SH.601689,拓普集团
369,SH.603888,新华网
370,SZ.000012,南玻A
371,SZ.000088,盐田港
372,SZ.000157,中联重科
373,SZ.000501,鄂武商
374,SZ.000937,冀中能源
375,SZ.000983,西山煤电
376,SH.600072,中船科技
377,SH.600153,建发股份
378,SH.600172,黄河旋风
379,SH.600256,广汇能源
380,SH.600260,凯乐科技
381,SH.600307,酒钢宏兴
382,SH.600395,盘江股份
383,SH.600639,浦东金桥
384,SH.600703,三安光电
385,SH.600795,国电电力
386,SH.600812,华北制药
387,SH.600863,内蒙华电
388,SH.600595,中孚实业
389,SH.600516,方大炭素
390,SZ.002001,新和成
391,SZ.002013,中航机电
392,SH.601628,中国人寿
393,SZ.002797,第一创业
394,SZ.002268,卫士通
395,SH.601618,中国中冶
396,SZ.002482,广田集团
397,SZ.002670,国盛金控
398,SH.603288,海天味业
399,SH.603111,康尼机电
400,SZ.002176,江特电机
401,SH.603369,今世缘
402,SH.603188,亚邦股份
403,SH.601127,小康股份
404,SZ.000060,中金岭南
405,SZ.000065,北方国际
406,SZ.000563,陕国投
407,SZ.000661,长春高新
408,SZ.000712,锦龙股份
409,SZ.000728,国元证券
410,SZ.000901,航天科技
411,SZ.000969,安泰科技
412,SH.600115,东方航空
413,SH.600200,江苏吴中
414,SH.600331,宏达股份
415,SH.600498,烽火通信
416,SH.600737,中粮糖业
417,SH.600827,百联股份
418,SH.600837,海通证券
419,SH.600545,卓郎智能
420,SH.601166,兴业银行
421,SH.601998,中信银行
422,SH.601168,西部矿业
423,SH.601186,中国铁建
424,SZ.002251,步步高
425,SH.600909,华安证券
426,SZ.002368,太极股份
427,SH.601718,际华集团
428,SZ.002505,大康农业
429,SZ.002522,浙江众成
430,SZ.002563,森马服饰
431,SZ.002572,索菲亚
432,SH.603799,华友钴业
433,SZ.000600,建投能源
434,SZ.000671,阳光城
435,SZ.000997,新大陆
436,SH.600000,浦发银行
437,SH.600158,中体产业
438,SH.600267,海正药业
439,SH.600383,金地集团
440,SH.600622,光大嘉宝
441,SH.600687,刚泰控股
442,SH.600694,大商股份
443,SH.600736,苏州高新
444,SH.600750,江中药业
445,SH.600859,王府井
446,SH.600885,宏发股份
447,SH.600565,迪马股份
448,SH.600458,时代新材
449,SH.600490,鹏欣资源
450,SH.600900,长江电力
451,SZ.002008,大族激光
452,SZ.002019,亿帆医药
453,SZ.002095,生意宝
454,SZ.002123,梦网集团
455,SZ.002203,海亮股份
456,SH.601601,中国太保
457,SH.601898,中煤能源
458,SH.601766,中国中车
459,SZ.002444,巨星科技
460,SH.601098,中南传媒
461,SH.601011,宝泰隆
462,SZ.002156,通富微电
463,SH.601238,广汽集团
464,SZ.000090,天健集团
465,SZ.000596,古井贡酒
466,SZ.000625,长安汽车
467,SZ.000725,京东方
468,SZ.000786,北新建材
469,SZ.000800,一汽轿车
470,SZ.000881,中广核技
471,SH.600166,福田汽车
472,SH.600179,安通控股
473,SH.600198,*ST大唐
474,SH.600422,昆药集团
475,SH.600585,海螺水泥
476,SH.600649,城投控股
477,SH.600875,东方电气
478,SH.600050,中国联通
479,SH.600549,厦门钨业
480,SZ.002024,苏宁易购
481,SH.600970,中材国际
482,SZ.002051,中工国际
483,SZ.002056,横店东磁
484,SH.601666,平煤股份
485,SH.601398,工商银行
486,SH.601333,广深铁路
487,SZ.002127,南极电商
488,SZ.002237,恒邦股份
489,SZ.002276,万马股份
490,SZ.002340,格林美
491,SZ.002421,达实智能
492,SZ.002399,海普瑞
493,SZ.002422,科伦药业
494,SZ.002434,万里扬
495,SZ.002517,恺英网络
496,SZ.002573,清新环境
497,SZ.000333,美的集团
498,SZ.000001,平安银行
499,SZ.000066,中国长城
500,SZ.000792,盐湖股份
501,SZ.000933,神火股份
502,SH.600058,五矿发展
503,SH.600061,国投资本
504,SH.600067,冠城大通
505,SH.600230,沧州大化
506,SH.600240,华业资本
507,SH.600633,浙数文化
508,SH.600816,安信信托
509,SZ.002011,盾安环境
510,SZ.002091,江苏国泰
511,SZ.002131,利欧股份
512,SZ.002261,拓维信息
513,SH.601099,太平洋
514,SH.601717,郑煤机
515,SZ.002595,豪迈科技
516,SZ.002498,汉缆股份
517,SH.601555,东吴证券
518,SZ.002281,光迅科技
519,SH.600936,广西广电
520,SH.603678,火炬电子
521,SH.601200,上海环境
522,SZ.000040,东旭蓝天
523,SZ.000050,深天马
524,SZ.000883,湖北能源
525,SZ.000895,双汇发展
526,SH.600009,上海机场
527,SH.600016,民生银行
528,SH.600033,福建高速
529,SH.600038,中直股份
530,SH.600053,九鼎投资
531,SH.600066,宇通客车
532,SH.600122,宏图高科
533,SH.600155,宝硕股份
534,SH.600323,瀚蓝环境
535,SH.600338,西藏珠峰
536,SH.600415,小商品城
537,SH.600660,福耀玻璃
538,SH.600748,上实发展
539,SH.600754,锦江股份
540,SH.600757,长江传媒
541,SH.600851,海欣股份
542,SH.600873,梅花生物
543,SH.600503,华丽家族
544,SH.600478,科力远
545,SZ.002049,紫光国微
546,SH.601588,北辰实业
547,SH.600017,日照港
548,SZ.002152,广电运通
549,SZ.002304,洋河股份
550,SZ.002236,大华股份
551,SZ.002299,圣农发展
552,SZ.002405,四维图新
553,SZ.002503,搜于特
554,SZ.002581,未名医药
555,SH.601311,骆驼股份
556,SZ.002603,以岭药业
557,SZ.002665,首航节能
558,SZ.002680,长生生物
559,SZ.000402,金融街
560,SZ.000528,柳工a
561,SZ.000587,金洲慈航
562,SZ.000615,京汉股份
563,SZ.000651,格力电器
564,SZ.000656,金科股份
565,SZ.000830,鲁西化工
566,SZ.000878,云南铜业
567,SZ.000938,紫光股份
568,SZ.000989,九芝堂
569,SH.600073,上海梅林
570,SH.600089,特变电工
571,SH.600320,振华重工
572,SH.600329,中新药业
573,SH.600373,中文传媒
574,SH.600567,山鹰纸业
575,SH.600704,物产中大
576,SH.600717,天津港
577,SH.600729,重庆百货
578,SH.600759,洲际油气
579,SH.600782,新钢股份
580,SH.600039,四川路桥
581,SH.600547,山东黄金
582,SH.600517,置信电气
583,SH.600594,益佰制药
584,SZ.002002,鸿达兴业
585,SZ.002022,科华生物
586,SZ.002044,美年健康
587,SZ.002081,金螳螂
588,SH.601888,中国国旅
589,SZ.002311,海大集团
590,SZ.002375,亚厦股份
591,SZ.002400,省广集团
592,SZ.002418,康盛股份
593,SH.601000,唐山港
594,SZ.002542,中化岩土
595,SZ.002663,普邦股份
596,SH.603077,和邦生物
597,SH.603766,隆鑫通用
598,SZ.000016,深康佳
599,SZ.000559,万向钱潮
600,SZ.000662,天夏智慧
601,SZ.000709,河钢股份
602,SZ.000768,中航飞机
603,SZ.000858,五粮液
604,SZ.000902,新洋丰
605,SH.600098,广州发展
606,SH.600109,国金证券
607,SH.600208,新湖中宝
608,SH.600219,南山铝业
609,SH.600635,大众公用
