id,code,stock_name,industry,market,operation,useropenid
69,SH.600282,南钢股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
70,SH.600298,安琪酵母,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
71,SH.600317,营口港,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
72,SH.600428,中远海特,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
73,SH.600550,保变电气,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
74,SH.600643,爱建集团,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
75,SH.600728,佳都科技,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
77,SH.600809,山西汾酒,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
78,SH.600823,世茂股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
79,SH.600562,国睿科技,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
80,SH.600487,亨通光电,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
81,SH.600507,方大特钢,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
82,SH.600021,上海电力,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
83,SH.600497,驰宏锌锗,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
84,SH.600482,中国动力,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
85,SZ.002030,达安基因,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
86,SH.601699,潞安环能,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
87,SH.601958,金钼股份,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
88,SH.601229,上海银行,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
89,SZ.002506,协鑫集成,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
90,SZ.002445,中南文化,0,0,0,o48rB0tHYGOfpB9_eqInFV1OX3h0
