 code name
225 SZ.399660 中创EW
226 SZ.399661 深证低波
227 SZ.399662 深证高贝
228 SZ.399663 中小低波
229 SZ.399664 中小高贝
230 SZ.399665 中创低波
231 SZ.399666 中创高贝
232 SZ.399667 创业板G
233 SZ.399668 创业板V
234 SZ.399669 深证农业
235 SZ.399670 深周期50
236 SZ.399671 深防御50
237 SZ.399672 深红利50
238 SZ.399673 创业板50
239 SZ.399674 深A医药
240 SZ.399675 深互联网
241 SZ.399676 深医药EW
242 SZ.399677 深互联EW
243 SZ.399678 深次新股
244 SZ.399679 深证200R
245 SZ.399680 深成能源
246 SZ.399681 深成材料
247 SZ.399682 深成工业
248 SZ.399683 深成可选
249 SZ.399684 深成消费
250 SZ.399685 深成医药
251 SZ.399686 深成金融
252 SZ.399687 深成信息
253 SZ.399688 深成电信
254 SZ.399689 深成公用
255 SZ.399690 中小专利
256 SZ.399691 创业专利
257 SZ.399692 创业低波
258 SZ.399693 安防产业
259 SZ.399694 创业高贝
260 SZ.399695 深证节能
261 SZ.399696 深证创投
262 SZ.399697 中关村60
263 SZ.399698 优势成长
264 SZ.399699 金融科技
265 SZ.399701 深证F60
266 SZ.399702 深证F120
267 SZ.399703 深证F200
268 SZ.399704 深证上游
269 SZ.399705 深证中游
270 SZ.399706 深证下游
271 SZ.399707 CSSW证券
272 SZ.399802 500深市
273 SZ.399803 工业4.0
274 SZ.399804 中证体育
275 SZ.399805 互联金融
276 SZ.399806 环境治理
277 SZ.399807 高铁产业
278 SZ.399808 中证新能
279 SZ.399809 保险主题
280 SZ.399810 CSSW传媒
281 SZ.399811 CSSW电子
282 SZ.399812 养老产业
283 SZ.399813 中证国安
284 SZ.399814 大农业
285 SZ.399817 生态100
286 SZ.399901 小康指数
287 SZ.399902 中证流通
288 SZ.399903 中证100
289 SZ.399904 中证200
290 SZ.399905 中证500
291 SZ.399906 中证800
292 SZ.399907 中证700
293 SZ.399908 300能源
294 SZ.399909 300材料
295 SZ.399910 300工业
296 SZ.399911 300可选
297 SZ.399912 300消费
298 SZ.399913 300医药
299 SZ.399914 300金融
300 SZ.399915 300信息
