,code,stock_name
156,US.APTO,"Aptose Biosciences, Inc."
157,US.APVO,Aptevo Therapeutics Inc
158,US.APWC,亚太电线电缆股份有限公司
159,US.AQMS,"AQUA METALS, INC."
160,US.AQXP,"Aquinox Pharmaceuticals, Inc."
161,US.ARAY,精确射线股份有限公司
162,US.ARCB,ArcBest Corp.
163,US.ARCI,"Appliance Recycling Centers of America, Inc. (Minnesota)"
164,US.ARCW,阿尔克科技
165,US.ARDM,Aradigm Corp.
166,US.ARDX,Ardelyx
167,US.AREX,Approach资源
168,US.ARGS,Argos Therapeutics
169,US.ARII,美国轨道车工业有限公司
170,US.ARKR,Ark Restaurants Corp.
171,US.ARLP,Alliance Resource Partners LP
172,US.ARLZ,Aralez Pharmaceuticals Inc
173,US.ARNA,阿里那制药公司
174,US.AROW,箭牌金融公司
175,US.ARQL,"ArQule, Inc."
176,US.ARRS,艾利斯
177,US.ARRY,Array生物制药
178,US.ARTNA,自流资源公司
179,US.ARTW,自流资源
180,US.ARTX,阿罗特克
181,US.ARWA,Arowana Inc. Ordinary Shares (已退市)
182,US.ARWR,Arrowhead Pharmaceuticals Inc
183,US.ASBB,ASB Bancorp
184,US.ASCMA,ASCENT资本集团
185,US.ASFI,阿斯塔资金公司
186,US.ASMB,"Assembly Biosciences, Inc."
187,US.ASML,阿斯麦
188,US.ASNA,Ascena零售集团有限公司
189,US.ASND,Ascendis Pharma A/S
190,US.ASPS,Altisource Portfolio Solutions SA
191,US.ASRV,"AmeriServ Financial, Inc."
192,US.ASTC,Astrotech Corp.
193,US.ASTE,Astec实业
194,US.ASUR,"Asure Software, Inc."
195,US.ASYS,"Amtech Systems, Inc."
196,US.ATAI,ATA公司
197,US.ATAX,America First Multifamily Investors LP
198,US.ATEC,ALPHATEC控股公司
199,US.ATHN,雅典娜
200,US.ATHX,"Athersys, Inc."
201,US.ATLC,Atlanticus Holdings Corp.
202,US.ATLO,艾姆斯银行控股
203,US.ATNI,"ATN International, Inc."
204,US.ATOM,Atomera Incorporated
205,US.ATOS,"Atossa Genetics, Inc."
206,US.ATRA,Atara Biotherapeutics
207,US.ATRC,AtriCure公司
208,US.ATRI,Atrion公司
209,US.ATRO,Astronics公司
210,US.ATRS,安塔尔制药公司
211,US.ATSG,美国航空运输服务集团
212,US.ATTU,Attunity Ltd.
213,US.ATVI,动视暴雪
214,US.AUBN,"Auburn National Bancorporation, Inc."
215,US.AUDC,奥科
216,US.AUPH,"Aurinia Pharmaceuticals, Inc."
217,US.AVAV,AeroVironment公司
218,US.AVEO,AVEO制药公司
219,US.AVGO,博通
220,US.AVGR,AVGR
221,US.AVHI,阿凡达地产
222,US.AVID,艾维科技
223,US.AVIR,Aviragen Therapeutics Inc
224,US.AVNW,阿维亚网络公司
225,US.AVXL,Anavex Life Sciences Corp.
226,US.AVXS,"AVEXIS, INC."
227,US.AWRE,艾卫公司
228,US.AXAS,阿布拉克萨斯石油公司
229,US.AXDX,"Accelerate Diagnostics, Inc."
230,US.AXGN,"AxoGen, Inc."
231,US.AXSM,"Axsome Therapeutics, Inc."
232,US.AXTI,AXT
233,US.AYA,AMAYA INC
234,US.AZPN,艾斯本
235,US.AZRX,AzurRx BioPharma
236,US.BABY,纳图斯医疗
237,US.BANF,BancFirst银行
238,US.BANR,邦纳
239,US.BASI,"Bioanalytical Systems, Inc."
240,US.BATRA,Liberty Media Corporation
241,US.BATRK,Liberty Media Corporation
242,US.BBBY,3B家居
243,US.BBGI,比斯利广播集团
244,US.BBOX,黑盒公司
245,US.BBRG,布拉沃布里奥餐饮集团有限公司
246,US.BBRY,BBRY改名为BB
247,US.BBSI,巴瑞特商业服务公司
248,US.BCBP,BCB银行
249,US.BCLI,"Brainstorm Cell Therapeutics, Inc."
250,US.BCOM,B Communications Ltd.
251,US.BCOR,"Blucora, Inc."
252,US.BCOV,布莱克维
253,US.BCPC,拜切
254,US.BCRX,BioCryst制药
255,US.BCTF,"Bancorp 34, Inc."
256,US.BDE,黑钻户外
257,US.BDGE,Bridge银行
258,US.BDSI,BioDelivery科学国际有限公司
259,US.BEAT,"BioTelemetry, Inc."
260,US.BEAV,BE航天航空
261,US.BEBE,碧碧
262,US.BECN,"Beacon Roofing Supply, Inc."
263,US.BELFA,"Bel Fuse, Inc."
264,US.BELFB,"Bel Fuse, Inc."
265,US.BFIN,班克金融
266,US.BGCP,"BGC Partners, Inc."
267,US.BGFV,Big 5体育用品
268,US.BGNE,百济神州
269,US.BHAC,Barington Hilco Acquisition Corp.
270,US.BHBK,"Blue Hills Bancorp, Inc."
271,US.BIDU,百度
272,US.BIIB,生化基因
273,US.BIOC,"Biocept, Inc."
274,US.BIOL,"BIOLASE, Inc."
275,US.BIOP,"Bioptix, Inc."
276,US.BIOS,拜尔斯普保健
277,US.BJRI,BJs餐饮
278,US.BKEP,BlueKnight Energy Partners LP LLC
279,US.BKMU,互助银行
280,US.BKSC,南卡罗来纳银行
281,US.BL,BlackLine
282,US.BLBD,Blue Bird Corp.
283,US.BLCM,Bellicum Pharmaceuticals
284,US.BLDP,巴拉德动力系统
285,US.BLDR,"Builders FirstSource, Inc."
286,US.BLFS,"BioLife Solutions, Inc."
287,US.BLIN,"Bridgeline Digital, Inc."
288,US.BLKB,布莱克波特科技
289,US.BLMN,"Bloomin' Brands, Inc."
290,US.BLMT,"BSB Bancorp, Inc. (Massachusetts)"
291,US.BLPH,BELLEROPHON THERAPEUTICS LLC
292,US.BLRX,BioLineRx Ltd.
293,US.BLUE,"bluebird bio, Inc."
294,US.BLVD,Boulevard Acquisition Corp. II
295,US.BMCH,BMC Stock Holdings Inc
296,US.BMRA,"Biomerica, Inc."
297,US.BMRC,马林银行
298,US.BMRN,拜玛林制药
299,US.BMTC,布林摩尔银行
300,US.BNCL,Beneficial Mutual银行
301,US.BNCN,BNC银行
302,US.BNFT,"Benefitfocus, Inc."
303,US.BNSO,恒异电子国际公司
304,US.BNTC,BENITEC BIOPHARMA LTD/ADR
305,US.BOCH,Bank of Commerce Holdings
306,US.BOFI,BofI控股
307,US.BOJA,"BOJANGLES', INC."
308,US.BOKF,BOK银行
309,US.BOLD,Audentes Therapeutics
310,US.BONT,邦顿百货
311,US.BOOM,DMC Global Inc.
312,US.BOSC,BOS科技
313,US.BOTJ,"Bank of the James Financial Group, Inc."
314,US.BPFH,波士顿金融控股
315,US.BPMC,BLUEPRINT MEDICINES CORP
316,US.BPOP,大众银行
317,US.BPTH,"Bio-Path Holdings, Inc."
318,US.BREW,"Craft Brew Alliance, Inc."
319,US.BRID,Bridgford Foods Corp.
320,US.BRKL,布鲁克赖恩银行
321,US.BRKR,布鲁克
322,US.BRKS,布鲁克自动化
323,US.BSET,巴西特家具
324,US.BSF,"Bear State Financial, Inc."
325,US.BSPM,奥星制药
326,US.BSQR,BSQUARE科技
327,US.BSRR,塞拉银行
328,US.BSTC,BioSpecifics生物
329,US.BSTG,Biostage Inc
330,US.BUFF,"BLUE BUFFALO PET PRODUCTS, INC."
331,US.BUR,Burcon NutraScience Corp.
332,US.BUSE,First Busey Corp.
333,US.BVSN,宏道资讯
334,US.BVXV,BIONDVAX PHARMACEUTICALS LTD.
335,US.BWEN,"Broadwind Energy, Inc."
336,US.BWFG,"Bankwell Financial Group, Inc."
337,US.BWINA,鲍德温与里昂公司
338,US.BWINB,"Baldwin & Lyons, Inc."
339,US.BWLD,"Buffalo Wild Wings, Inc."
340,US.BYBK,"Bay Bancorp, Inc."
341,US.BYFC,百老汇金融
342,US.BZUN,宝尊电商
343,US.CA,联合电脑
344,US.CAAS,中汽系统
345,US.CAC,卡姆登国家银行
346,US.CACB,喀斯喀特银行
347,US.CACC,Credit Acceptance Corp.
348,US.CACQ,Caesars Acquisition Company - Class A
349,US.CADC,新奥混凝土
350,US.CAFD,8POINT3 ENERGY PARTNERS LP
351,US.CAKE,起司工坊
352,US.CALA,Calithera Biosciences Inc
353,US.CALD,卡利都斯软件
354,US.CALI,中国汽车物流
355,US.CALL,magicJack VocalTec Ltd.
356,US.CALM,"Cal-Maine Foods, Inc."
357,US.CAMP,CalAmp Corp.
358,US.CAMT,康特科技
359,US.CAPN,"Capnia, Inc."
360,US.CAPR,"Capricor Therapeutics, Inc."
361,US.CAR,安飞士
362,US.CARA,"CARA Therapeutics, Inc."
363,US.CARB,"Carbonite, Inc."
364,US.CARO,Carolina Financial Corp.
365,US.CART,Carolina Trust BancShares
366,US.CARV,卡弗储蓄
