,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
0,002039,黔源电力,5.3117,50.8312,97586.9056,0.0028,1.5822,170.6485
1,600605,汇通能源,4.9087,55.0044,56263.6457,0.0048,2.9096,92.7963
2,002649,博彦科技,3.0289,89.1413,46156.0129,0.0058,1.1244,240.1281
3,300467,迅游科技,37.1976,7.2585,14561.1324,0.0185,0.5037,536.0334
4,002707,众信旅游,16.4385,16.4249,12901.777,0.0209,3.9816,67.8119
5,300071,华谊嘉信,1.8285,147.662,3520.8623,0.0767,1.423,189.74
6,600897,厦门空港,4.243,63.6342,2787.7128,0.0969,1.3305,202.9312
7,000415,渤海金控,8.715,30.9811,1443.3828,0.1871,0.4338,622.4066
8,002400,省广集团,3.2036,84.2802,911.4668,0.2962,1.4481,186.4512
9,300347,泰格医药,1.9778,136.5153,888.6833,0.3038,0.8585,314.502
10,600270,外运发展,3.6601,73.7685,858.7716,0.3144,0.8289,325.7329
11,600452,涪陵电力,288.4627,0.9359999999999999,763.9739999999999,0.3534,2.7426,98.4467
12,600652,游久游戏,5.7743,46.7589,729.12,0.3703,1.3532,199.52700000000002
13,601519,大智慧,4.43,60.9481,686.1376,0.3935,0.2173,1242.5219
14,000712,锦龙股份,,,616.1347,0.4382,0.0014,192857.1429
15,600131,岷江水电,31.9894,8.4403,493.9435,0.5466,3.5586,75.8725
16,600247,*ST成城,1.4109,191.3672,491.9023,0.5489,0.7165,376.8318
17,300170,汉得信息,1.5358,175.8041,339.8542,0.7945,0.6275,430.2789
18,000089,深圳机场,4.6474,58.097,338.3714,0.7979,0.8558,315.4943
19,300191,潜能恒信,0.2104,1283.27,326.5881,0.8267,0.0274,9854.0146
20,300058,蓝色光标,2.0663,130.6683,324.5397,0.8319,0.9298,290.385
21,600221,海航控股,42.6789,6.3263,312.2052,0.8648,0.9492,284.4501
22,000796,凯撒旅游,13.8462,19.4999,249.4745,1.0823,2.5462,106.0404
23,600865,百大集团,44.2862,6.0967,244.5111,1.1042,0.8645,312.3193
24,300012,华测检测,3.8098,70.8699,226.7375,1.1908,1.2236,220.6603
25,000791,甘肃电投,7.9849,33.8138,219.2122,1.2317,1.1889,227.1007
26,600168,武汉控股,1.8182,148.4985,201.1139,1.3425,0.6404,421.6115
27,300383,光环新网,6.3479,42.5338,195.1408,1.3836,1.3992,192.9674
28,600291,西水股份,11.1276,24.264,187.8936,1.4369999999999998,0.0021,128571.4286
29,600012,皖通高速,,,181.5758,1.4869999999999999,2.084,129.5585
30,600035,楚天高速,17.2571,15.6457,173.3702,1.5574,1.7545,153.89
31,601518,吉林高速,,,163.3116,1.6533,1.0934,246.9362
32,002279,久其软件,2.8289,95.4435,160.5357,1.6819,0.6174,437.3178
33,300288,朗玛信息,3.6661,73.6477,155.6895,1.7342,0.5041,535.6080000000001
34,300348,长亮科技,1.4843,181.9039,155.0176,1.7417,0.5258,513.5032
35,600995,文山电力,47.0196,5.7423,139.7349,1.9322,3.9701,68.0084
36,000503,海虹控股,27.4871,9.8228,137.9902,1.9567,0.1163,2321.5821
37,600009,上海机场,4.1041,65.7879,130.5822,2.0677,0.4424,610.3074
38,002357,富临运业,31.9633,8.4472,126.6014,2.1327,0.838,322.1957
39,002210,飞马国际,19.7879,13.6447,126.2895,2.1379,1.7161,157.3335
40,603000,人民网,2.1459,125.8213,119.2971,2.2633,0.4496,600.5338
41,300215,电科院,21.0568,12.8225,114.0781,2.3668,0.5558,485.7863
42,002238,天威视讯,17.1886,15.7081,109.3828,2.4684,0.698,386.8195
43,603885,吉祥航空,45.4522,5.9403,106.9333,2.5249,2.5634,105.3289
44,601021,春秋航空,67.9779,3.9719,99.2632,2.72,1.6902,159.7444
45,000504,南华生物,1.105,244.3439,98.2579,2.7479,0.2598,1039.261
46,600033,福建高速,3.3701,80.1163,98.134,2.7513,1.5308,176.3784
47,002081,金螳螂,0.9003,299.9,97.9963,2.7552,0.7162,376.9897
48,600025,华能水电,7.6537,35.2771,96.9331,2.7854,2.8317,95.3491
49,603223,恒通股份,20.2623,13.3252,96.8105,2.7889999999999997,5.9082,45.6992
50,002095,生意宝,18.5561,14.5505,89.29299999999999,3.0238,0.2655,1016.9492
51,002195,二三四五,10.6964,25.2421,87.2722,3.0938,0.5982,451.3541
52,002739,万达电影,41.7094,6.4734,78.281,3.4491,2.0467,131.9197
53,300240,飞力达,4.4293,60.9577,74.0502,3.6462,1.6524,163.3987
54,603117,万林股份,5.3164,50.7862,73.7588,3.6606,0.1155,2337.6623
55,600593,大连圣亚,163.6159,1.6502,64.2202,4.2043,1.6156,167.1206
56,002325,洪涛股份,0.6817,396.0687,63.9241,4.2238,0.4585,588.8768
57,300144,宋城演艺,104.7453,2.5777,63.4174,4.2575,0.8595,314.1361
58,300431,暴风集团,1.8515,145.8277,60.5025,4.4626,0.8761,308.184
59,600617,国新能源,10.6934,25.2492,60.2628,4.4804,1.4009,192.7332
