,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,year,quanter
0,600696,ST匹凸,175688.9956,-0.0087,,-0.013999999999999999,-1.3985,2015,1
1,600291,西水股份,4210.3122,0.3972,97.7447,0.4691,48.4294,2015,1
2,000712,锦龙股份,360.0434,0.1214,6.6724,0.1627,19.3811,2015,1
3,600715,文投控股,274.8974,0.4312,,0.36700000000000005,56.3025,2015,1
4,600773,西藏城投,23.81,0.0379,43.7984,0.0499,7.9514,2015,1
5,300344,太空智造,21.8798,0.0413,,0.1837,18.6078,2015,1
6,000979,中弘股份,16.1227,0.0458,79.7153,0.0671,13.9263,2015,1
7,600683,京投发展,10.9343,0.0205,,0.022000000000000002,3.1045,2015,1
8,300167,迪威迅,8.3428,0.0748,,0.2168,24.9481,2015,1
9,600654,ST中安,5.4218,0.2217,69.2437,0.6672,73.7434,2015,1
10,300059,东方财富,5.3548,0.2401,10.33,0.3142,31.4438,2015,1
11,600061,国投资本,5.2818,0.0264,4.2716,0.0324,3.7691,2015,1
12,600606,绿地控股,5.0094,0.0179,,0.0237,2.4587,2015,1
13,000727,华东科技,2.0489,0.0123,,0.032,7.1818,2015,1
14,600598,北大荒,1.7930000000000001,0.1224,7.5969,0.3223,32.4415,2015,1
15,300699,光威复材,1.6402,0.1103,12.5725,0.3247,52.6353,2015,1
16,600240,华业资本,1.5377,0.0178,,0.0226,3.278,2015,1
17,600053,九鼎投资,1.3691,0.0414,18.5167,0.0625,6.2683,2015,1
18,600701,*ST工新,1.3547,0.0772,,0.1226,20.1018,2015,1
19,300308,中际旭创,1.2948,0.038,,0.2263,32.3975,2015,1
20,000005,世纪星源,1.29,0.0128,,0.0249,2.6874,2015,1
21,000732,泰禾集团,1.2687,0.0219,6.3505,0.0249,4.1394,2015,1
22,600106,重庆路桥,1.2466,0.0141,2.5071,0.025,36.0237,2015,1
23,002629,仁智股份,1.244,0.0626,,0.2489,24.893,2015,1
24,002469,三维工程,1.1937,0.08,4.6242,0.4165,41.6508,2015,1
25,600379,宝光股份,1.1803,0.1759,28.6013,0.3872,44.4546,2015,1
26,600033,福建高速,1.1696,0.038,3.5125,0.0775,17.783,2015,1
27,002166,莱茵生物,1.1309,0.0628,27.5468,0.0749,9.625,2015,1
28,600874,创业环保,1.11,0.0454,6.8006,0.0748,22.4977,2015,1
29,000652,泰达股份,1.092,0.0251,,0.0294,3.6408,2015,1
30,600882,广泽股份,1.0566,0.0669,,0.3956,48.1478,2015,1
31,002039,黔源电力,1.0463,0.0298,8.3514,0.0379,30.8869,2015,1
32,000802,北京文化,1.0455,0.0305,,0.0817,22.2057,2015,1
33,002606,大连电瓷,0.9668,0.0511,,0.1171,14.4192,2015,1
34,601016,节能风电,0.9468,0.0247,4.0629,0.0347,14.2605,2015,1
35,000651,格力电器,0.9451,0.1424,8.3009,0.2019,20.4599,2015,1
36,600674,川投能源,0.9363,0.0119,0.3323,0.044000000000000004,16.6387,2015,1
37,600506,香梨股份,0.9346,0.0445,,0.8099,260.4755,2015,1
38,600638,新黄浦,0.9212,0.0165,5.0082,0.0262,3.6839,2015,1
39,600165,新日恒力,0.9195,0.0611,,0.0954,9.6372,2015,1
40,600262,北方股份,0.9129999999999999,0.0559,,0.0903,9.9892,2015,1
41,601188,龙江交通,0.9099,0.0235,1.5899,0.1273,13.458,2015,1
42,300038,梅泰诺,0.8991,0.049,18.0499,0.1058,10.9174,2015,1
43,002207,*ST准油,0.8827,0.055999999999999994,,0.1549,15.4873,2015,1
44,300033,同花顺,0.8748,0.0607,1.6662,0.1882,19.1554,2015,1
45,600962,国投中鲁,0.8645,0.0954,,0.1835,18.3789,2015,1
46,600297,广汇汽车,0.8264,0.0227,9.6174,0.0608,20.5132,2015,1
47,002234,民和股份,0.8099,0.0861,,0.19,20.7964,2015,1
48,600110,诺德股份,0.7989,0.0383,38.9095,0.0528,6.7829999999999995,2015,1
49,300144,宋城演艺,0.7888,0.0434,1.7811,0.5712,58.1417,2015,1
50,300590,移为通信,0.768,0.1758,2.4554,0.8463,86.77799999999999,2015,1
51,300309,吉艾科技,0.7659,0.0197,5.8870000000000005,0.3746,38.595,2015,1
52,000831,五矿稀土,0.7582,0.0198,13.2041,0.9108,110.838,2015,1
53,300450,先导智能,0.7552,0.0733,2.6075,0.1096,11.5199,2015,1
54,000633,合金投资,0.7551,0.0461,,0.1958,117.2829,2015,1
