,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,year,quanter
0,601330,绿色动力,0.06,,,2.73,-0.09,5783.2,,,06-08,2017,1
1,601138,工业富联,,,,,,253818.8,,,06-07,2017,1
2,300750,宁德时代,-0.02,,,-0.07,,-1168.79,,,05-22,2017,1
3,603045,福达合金,0.06,,,1.01,-1.87,466.72,,,05-16,2017,1
4,603013,亚普股份,0.09,,,2.03,0.18,3926.12,,,05-08,2017,1
5,300746,汉嘉设计,0.05,,,1.36,,735.03,,,05-08,2017,1
6,300742,越博动力,-0.14,,,-1.31,-1.35,-798.53,,,05-07,2017,1
7,600933,爱柯迪,0.15,0.0,,5.55,,10564.1,1.99,,04-28,2017,1
8,002928,华夏航空,0.22,,,9.3,,7742.16,,,04-28,2017,1
9,601619,嘉泽新能,0.02,,,1.39,,2889.83,,,04-28,2017,1
10,603607,京华激光,0.35,,,7.92,,2415.74,,,04-28,2017,1
11,601019,山东出版,0.11,,,3.85,,19998.63,,,04-28,2017,1
12,603363,傲农生物,0.07,,,4.86,,2354.39,,,04-28,2017,1
13,603181,皇马科技,0.21,,,4.62,,3118.27,,,04-28,2017,1
14,603890,春秋电子,0.3,,,6.91,,3069.41,,,04-28,2017,1
15,603477,振静股份,0.06,,,2.53,,1110.31,,,04-28,2017,1
16,601108,财通证券,0.11,,,2.47,,38491.68,,,04-28,2017,1
17,603106,恒银金融,0.13,,,3.75,,2802.73,,,04-28,2017,1
18,603348,文灿股份,0.21,,,3.32,,3386.95,,,04-28,2017,1
19,603383,顶点软件,0.02,,,0.28,,132.2,,,04-28,2017,1
20,603655,朗博科技,0.09,,,2.6,,750.72,,,04-28,2017,1
21,603683,晶华新材,0.09,,,1.87,,895.43,,,04-28,2017,1
22,603127,昭衍新药,-0.11,,,-2.7,,-691.73,,,04-28,2017,1
23,603661,恒林股份,0.72,,,7.98,,5383.82,,,04-28,2017,1
24,600901,江苏租赁,0.13,,,5.38,,29770.26,,,04-28,2017,1
25,002884,凌霄泵业,0.65,,,6.57,,3785.85,,,04-28,2017,1
26,002901,大博医疗,0.16,,,9.38,,5646.52,,,04-28,2017,1
27,603917,合力科技,0.11,,,2.19,,890.54,,,04-28,2017,1
28,603876,鼎胜新材,0.09,,,1.83,,4543.55,,,04-28,2017,1
29,603301,振德医疗,0.29,,,4.91,,2202.76,,,04-28,2017,1
30,603776,永安行,0.37,,,4.85,,2683.93,,,04-28,2017,1
31,603848,好太太,0.09,125.0,,4.95,,3099.63,105.33,,04-28,2017,1
32,603076,乐惠国际,0.22,,,3.25,,1237.71,,,04-28,2017,1
33,601086,国芳集团,0.09,,,3.72,,4473.96,,,04-28,2017,1
34,603378,亚士创能,0.04,,,0.86,,514.93,,,04-28,2017,1
35,603602,纵横通信,0.01,,,0.27,,86.27,,,04-28,2017,1
36,603711,香飘飘,0.06,,,1.69,,2095.76,,,04-28,2017,1
37,603922,金鸿顺,0.31,,,5.79,,3020.61,,,04-28,2017,1
38,603809,豪能股份,0.45,,,4.46,,3567.11,,,04-28,2017,1
39,603214,爱婴室,0.14,,,3.33,,1020.06,,,04-28,2017,1
40,603043,广州酒家,0.08,,,2.8,,2685.28,,,04-28,2017,1
41,603080,新疆火炬,0.22,,,5.06,,2304.74,,,04-28,2017,1
42,603912,佳力图,0.2,66.67,,7.61,,2184.39,87.16,,04-28,2017,1
43,300698,万马科技,0.04,,,2.42,,449.83,,,04-27,2017,1
44,603709,中源家居,0.17,,,7.54,,1009.83,,,04-27,2017,1
45,603161,科华控股,0.29,,,5.01,,2909.51,,,04-27,2017,1
46,002876,三利谱,0.34,,,4.46,,2050.6,,,04-27,2017,1
47,603488,展鹏科技,0.07,,,2.56,,1048.95,,,04-27,2017,1
48,300664,鹏鹞环保,0.12,,,2.4,,4857.66,,,04-27,2017,1
49,300721,怡达股份,0.16,,,1.92,,947.35,,,04-27,2017,1
50,002864,盘龙药业,0.11,,,2.08,,689.01,,,04-27,2017,1
51,603396,金辰股份,0.29,,,4.55,,1637.62,,,04-27,2017,1
52,002886,沃特股份,0.15,,,2.45,,884.29,,,04-27,2017,1
53,300697,电工合金,0.14,,,4.19,,1671.0,,,04-27,2017,1
54,603825,华扬联众,0.03,,,0.51,,327.5,,,04-27,2017,1
55,603527,众源新材,0.17,,,4.14,,1596.05,,,04-27,2017,1
56,603685,晨丰科技,0.33,,,7.08,,2501.6,,,04-27,2017,1
57,601949,中国出版,-0.07,,,-1.72,,-9781.15,,,04-27,2017,1
58,600903,贵州燃气,0.04,,,1.08,,2446.16,,,04-27,2017,1
59,603619,中曼石油,0.3,,,8.0,,10656.04,,,04-27,2017,1
60,300699,光威复材,0.23,,,4.49,,6483.06,,,04-27,2017,1
61,603059,倍加洁,0.3,,,6.29,,1784.03,,,04-27,2017,1
62,603871,嘉友国际,0.87,,,13.25,,5213.11,,,04-27,2017,1
63,603506,南都物业,0.28,,,6.87,,1683.09,,,04-27,2017,1
64,603721,中广天择,0.18,,,4.07,,1383.65,,,04-27,2017,1
65,603110,东方材料,0.1,,,2.53,,798.98,,,04-27,2017,1
66,002876,三利谱,0.34,,,4.46,,2050.6,,,04-27,2017,1
67,603488,展鹏科技,0.07,,,2.56,,1048.95,,,04-27,2017,1
