,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,year,quanter
2361,600594,益佰制药,13.7048,26.2682,2.2573,159.4826,1.2495,288.1152,2015,4
2362,000709,河钢股份,37.1715,9.6848,2.2569,159.5108,1.321,272.5208,2015,4
2363,601186,中国铁建,4.9337,72.9675,2.2554,159.6169,1.0986,327.6898,2015,4
2364,300707,威唐工业,8.3441,43.1443,2.2547,159.6665,1.7958,200.4678,2015,4
2365,603127,昭衍新药,10.5585,34.0958,2.2544,159.6877,1.4821,242.8986,2015,4
2366,603963,大理药业,,,2.2409,160.6497,1.4880000000000002,241.9355,2015,4
2367,600853,龙建股份,4.4575,80.7628,2.2404,160.6856,1.1216,320.97,2015,4
2368,300193,佳士科技,5.3278,67.5701,2.2396,160.743,0.3617,995.3,2015,4
2369,002583,海能达,2.0335,177.0347,2.2392,160.7717,0.9884,364.225,2015,4
2370,600366,宁波韵升,4.8126,74.8036,2.2366,160.9586,0.5691,632.5778,2015,4
2371,002477,雏鹰农牧,19.1883,18.7614,2.2364,160.97299999999998,0.8699,413.8407,2015,4
2372,002275,桂林三金,17.2757,20.8385,2.2322,161.2759,0.8624,417.4397,2015,4
2373,600251,冠农股份,5.7387,62.732,2.2288,161.5219,0.9655,372.8638,2015,4
2374,603012,创力集团,0.9108,395.2569,2.2212,162.0746,0.4855,741.5036,2015,4
2375,300680,隆盛科技,3.7096,97.0455,2.2203,162.1403,0.8337,431.81,2015,4
2376,002873,新天药业,4.9696,72.4404,2.2175,162.345,2.1773,165.3424,2015,4
2377,000973,佛塑科技,13.6992,26.2789,2.2147,162.5502,1.3885,259.2726,2015,4
2378,002190,成飞集成,2.5581,140.7294,2.2139,162.609,0.7107,506.5428,2015,4
2379,002151,北斗星通,2.3695,151.9308,2.2129,162.6825,0.8176,440.3131,2015,4
2380,002502,骅威文化,2.4398,147.5531,2.2126,162.7045,0.6743,533.887,2015,4
2381,002008,大族激光,3.2563,110.5549,2.2124,162.7192,1.2078,298.0626,2015,4
2382,002473,*ST圣莱,3.5717,100.7923,2.2114,162.7928,0.4094,879.3356,2015,4
2383,300105,龙源技术,0.7937,453.5719,2.2057,163.2135,0.3146,1144.3102,2015,4
2384,000917,电广传媒,16.1917,22.2336,2.2036,163.369,1.0092,356.7182,2015,4
2385,002687,乔治白,4.4713,80.5135,2.2034,163.3839,1.0672,337.3313,2015,4
2386,002485,希努尔,2.1566,166.9294,2.2034,163.3839,0.8704,413.6029,2015,4
2387,300270,中威电子,0.9694,371.3637,2.2027,163.4358,0.4723,762.2274,2015,4
2388,300326,凯利泰,2.2434,160.4707,2.2021,163.4803,0.8223,437.7964,2015,4
2389,300163,先锋新材,9.4894,37.9371,2.2,163.6364,1.8229,197.4875,2015,4
2390,600499,科达洁能,3.8666,93.1051,2.2,163.6364,0.7952,452.7163,2015,4
2391,600156,华升股份,5.39,66.7904,2.2,163.6364,1.0885,330.7304,2015,4
2392,300527,华舟应急,11.0115,32.6931,2.1999,163.6438,0.9677,372.0161,2015,4
2393,603858,步长制药,10.5185,34.2254,2.1956,163.9643,1.9714,182.6113,2015,4
2394,300419,浩丰科技,5.2769,68.2219,2.185,164.7597,0.7762,463.798,2015,4
2395,300573,兴齐眼药,5.553,64.8298,2.1794,165.1831,1.9802,181.7998,2015,4
2396,002363,隆基机械,5.0016,71.977,2.1753,165.4944,1.1859,303.5669,2015,4
2397,002466,天齐锂业,19.0664,18.8814,2.174,165.5934,1.1985,300.3755,2015,4
2398,600783,鲁信创投,4.2085,85.5412,2.1636,166.3894,0.1804,1995.5654,2015,4
2399,300504,天邑股份,6.7446,53.376000000000005,2.1633,166.4124,1.6342,220.2913,2015,4
2400,603659,璞泰来,3.7813,95.2054,2.161,166.5895,1.3235,272.006,2015,4
2401,603630,拉芳家化,15.8004,22.7842,2.1589,166.7516,1.4212,253.3071,2015,4
2402,002177,御银股份,3.3874,106.2762,2.1568,166.9139,0.9626,373.9871,2015,4
2403,300667,必创科技,1.4389,250.1911,2.1564,166.9449,0.7609999999999999,473.0618,2015,4
2404,600582,天地科技,1.3542,265.8396,2.1556,167.0069,0.6416,561.0973,2015,4
2405,002491,通鼎互联,2.8513,126.2582,2.1556,167.0069,0.9659,372.7094,2015,4
2406,300114,中航电测,3.2562,110.5583,2.1549,167.0611,0.9179999999999999,392.1569,2015,4
