,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,year,quanter
0,603045,福达合金,0.54,,6.6,8.41,0.49,3985.97,,,04-25,2017,3
1,300504,天邑股份,0.9,,3.98,25.51,-0.78,18076.59,,,03-13,2017,3
2,603156,养元饮品,3.17,-17.68,,,,156818.53,-17.68,,02-09,2017,3
3,603259,药明康德,1.13,,6.59,17.59,1.2,106303.94,,,02-06,2017,3
4,603871,嘉友国际,2.86,61.61,8.99,37.89,0.05,17176.55,61.61,,02-05,2017,3
5,603680,今创集团,1.06,-6.19,,23.59,,40215.03,-5.51,,01-31,2017,3
6,603712,七一二,0.11,175.0,,5.13,,7685.42,163.89,,01-30,2017,3
7,300739,明阳电路,1.01,1.0,,19.62,,9314.45,8.08,,01-15,2017,3
8,300745,欣锐科技,0.65,,7.73,8.75,1.31,5567.06,,,01-10,2017,3
9,601330,绿色动力,0.15,,2.09,7.37,-0.15,15764.2,,,01-09,2017,3
10,300737,科顺股份,0.37,-37.29,,12.6,,16723.34,-30.16,,01-08,2017,3
11,002925,盈趣科技,1.96,157.89,,67.25,,74573.41,156.96,,12-26,2017,3
12,002921,联诚精密,0.61,-4.69,,,,3684.33,-3.3,,12-26,2017,3
13,300736,百华悦邦,0.8,,,16.87,,3272.33,,,12-26,2017,3
14,603056,德邦股份,0.42,,3.35,13.22,1.38,35766.19,,,12-26,2017,3
15,601838,成都银行,0.86,26.47,,12.34,,280997.8,27.41,,12-19,2017,3
16,603477,振静股份,0.26,36.84,2.66,10.16,0.27,4625.99,32.97,,12-15,2017,3
17,002930,宏川智慧,0.39,,,6.31,,7168.53,,,12-14,2017,3
18,002916,深南电路,1.61,64.29,8.53,19.7,2.12,33880.86,63.98,,12-12,2017,3
19,603080,新疆火炬,0.47,,4.65,10.56,0.6,4945.6,,,12-12,2017,3
20,300735,光弘科技,0.53,,,21.0,,14079.98,,,12-11,2017,3
21,603655,朗博科技,0.31,19.23,,8.43,,2494.08,20.36,,12-11,2017,3
22,300732,设研院,2.24,91.45,13.66,17.37,-1.06,12091.89,91.89,,12-11,2017,3
23,300684,中石科技,0.46,,5.45,8.62,-0.89,2971.32,,,12-06,2017,3
24,002920,德赛西威,1.04,0.97,,32.71,,46871.34,1.08,,12-05,2017,3
25,600901,江苏租赁,0.37,,2.59,15.15,0.43,86660.96,,,12-05,2017,3
26,603283,赛腾股份,0.69,,3.12,24.06,-0.06,8334.24,,,12-05,2017,3
27,002915,中欣氟材,0.42,162.5,3.54,12.12,0.09,3490.39,154.18,,12-04,2017,3
28,002918,蒙娜丽莎,2.0,72.41,,25.93,,23599.68,72.4,,11-29,2017,3
29,603809,豪能股份,1.41,19.7,,,,11252.68,19.7,,11-27,2017,3
30,603161,科华控股,0.78,,,12.94,,7759.86,,,11-27,2017,3
31,601019,山东出版,0.53,15.22,3.12,17.73,-0.04,96439.63,14.75,,11-21,2017,3
32,603890,春秋电子,1.14,-1.72,,23.97,,11679.14,8.18,,11-21,2017,3
33,002911,佛燃股份,0.55,0.0,3.21,15.89,0.86,27724.06,0.86,,11-21,2017,3
34,002917,金奥博,0.59,-29.76,,18.02,,4961.25,8.6,,11-21,2017,3
35,300726,宏达电子,0.41,5.99,2.53,16.92,0.13,14654.23,6.25,,11-20,2017,3
36,603661,恒林股份,2.18,-15.18,,,,16357.91,-15.07,,11-20,2017,3
37,300731,科创新源,0.71,16.39,,22.38,,4636.28,17.33,,11-20,2017,3
38,603365,水星家纺,0.78,36.84,4.94,16.79,,15680.57,38.42,,11-17,2017,3
39,600933,爱柯迪,0.5,,2.86,17.83,0.65,35056.31,,,11-16,2017,3
40,603619,中曼石油,0.93,10.71,,21.86,,33715.08,11.68,,11-16,2017,3
41,300723,一品红,0.92,21.05,3.69,28.35,0.36,11009.48,20.84,,11-15,2017,3
42,603970,中农立华,0.73,9.93,,,,7252.67,9.93,,11-15,2017,3
43,002864,盘龙药业,0.51,41.67,5.55,9.61,0.24,3309.32,42.44,,11-15,2017,3
44,300730,科创信息,0.05,-129.41,,1.97,,346.6,-130.05,,11-14,2017,3
45,603917,合力科技,0.63,18.21,,12.58,,5328.13,18.22,,11-14,2017,3
46,300721,怡达股份,0.82,,8.98,9.4,0.26,4935.98,,,11-14,2017,3
47,603605,珀莱雅,0.84,68.0,,20.17,1.68,12574.07,66.92,,11-14,2017,3
48,603711,香飘飘,0.23,,3.43,6.57,-0.18,8183.33,,,11-13,2017,3
49,300729,乐歌股份,0.68,3.03,5.88,12.29,0.7,4400.83,5.27,,11-13,2017,3
50,002913,奥士康,1.04,-18.11,,13.74,,11246.67,-18.08,,11-13,2017,3
51,603278,大业股份,0.69,-4.17,4.29,17.18,0.17,10768.82,-3.61,,11-10,2017,3
52,603076,乐惠国际,0.95,0.0,7.66,13.19,0.4,5294.86,-0.0,,11-10,2017,3
53,300722,新余国科,0.46,12.2,3.69,13.03,-0.37,2765.39,12.54,,11-09,2017,3
54,603083,剑桥科技,0.75,38.89,9.91,7.86,1.14,5509.58,40.03,,11-09,2017,3
55,603916,苏博特,0.5,21.95,5.41,9.84,0.46,11507.12,21.99,,11-09,2017,3
56,300725,药石科技,0.96,81.13,5.42,19.38,0.93,5263.76,99.86,,11-09,2017,3
57,300716,国立科技,0.48,0.0,6.09,8.15,0.82,3815.6,3.79,,11-08,2017,3
58,300719,安达维尔,0.06,18.25,3.23,1.9,-1.03,767.43,24.26,,11-08,2017,3
59,300727,润禾材料,0.47,34.29,3.83,13.21,-0.14,3465.52,41.33,,11-07,2017,3
60,600903,贵州燃气,0.15,87.5,3.3,4.51,0.5,10235.87,92.94,,11-06,2017,3
61,603685,晨丰科技,1.18,31.11,,23.5,,8854.57,30.6,,11-06,2017,3
62,300718,长盛轴承,1.24,65.33,7.55,17.22,0.9,9303.65,65.84,,11-03,2017,3
63,300717,华信新材,0.68,11.48,6.15,11.78,0.52,3287.6,11.63,,11-03,2017,3
64,603856,东宏股份,0.69,23.21,6.25,11.03,-0.78,10228.39,24.47,,11-03,2017,3
65,603507,振江股份,1.12,1.36,6.67,18.29,0.27,10537.62,1.37,,11-03,2017,3
66,300720,海川智能,0.44,25.71,4.41,10.09,0.42,2357.52,24.62,,11-03,2017,3
67,603659,璞泰来,0.88,69.23,3.58,27.94,-0.11,32393.25,68.3,,11-02,2017,3
68,603937,丽岛新材,0.45,,,,,7072.08,,,11-01,2017,3
69,600369,西南证券,0.1,-47.37,,3.08,,59052.92,-44.11,,10-31,2017,3
70,000595,宝塔实业,0.03,-120.95,,3.51,,2378.92,-143.24,,10-31,2017,3
71,600751,海航科技,0.04,-43.59,,0.95,,12119.4,-43.63,,10-31,2017,3
