,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
0,000617,中油资本,135.9973,0.0591,3.7849,0.0697,7.2854
1,002387,黑牛食品,11.3859,0.0393,23.5642,0.0429,4.4455
2,000809,*ST新城,8.502,0.114,6.7039,0.2385,51.78
3,600705,中航资本,4.3691,0.1064,7.13,0.1208,15.557
4,600767,ST运盛,2.129,0.4605,6.9858,1.2489,139.9716
5,600643,爱建集团,1.7803,0.0713,1.4394,0.1238,19.0978
6,600247,*ST成城,1.6735,0.3786,,0.3841,47.2422
7,600106,重庆路桥,1.3991,0.0496,1.1872,0.1065,98.1003
8,000585,*ST东电,1.3934,0.1501,,0.0918,11.6491
9,002248,华东数控,1.0519,0.0756,,0.1309,13.9612
10,600657,信达地产,0.9472,0.2003,13.5303,0.2329,44.5034
11,600173,卧龙地产,0.9317,0.252,4.0831,0.3903,46.8182
12,002417,深南股份,0.8995,0.2419,12.5486,2.315,231.5029
13,002575,群兴玩具,0.8704,0.052000000000000005,,4.3421,676.8718
14,000421,南京公用,0.8655,0.2861,12.5316,0.4166,45.4423
15,300189,神农基因,0.8655,0.1568,311.2256,0.9059,109.0304
16,000627,天茂集团,0.8305,0.0031,0.1611,0.0038,4.2023
17,000014,沙河股份,0.8170000000000001,0.2743,38.1521,0.5758,65.6958
18,300191,潜能恒信,0.8132,0.0526,,0.8505,101.1614
19,002289,宇顺电子,0.7938,0.4336,,1.2107,170.5407
20,600900,长江电力,0.7915,0.1326,1.7819999999999998,0.2422,66.4844
21,002818,富森美,0.7786,0.1843,1.5047,0.9132,93.6937
22,600368,五洲交通,0.7666,0.1285,3.8576,0.1846,80.2367
23,600052,浙江广厦,0.7597,0.1183,3.3096,0.2105,25.9337
24,601866,中远海发,0.7484,0.0858,7.7848,0.0977,22.6548
25,000010,美丽生态,0.7444,0.1817,,0.293,30.8726
26,603797,联泰环保,0.718,0.0469,2.0519,0.0733,20.2256
27,600033,福建高速,0.7109,0.0997,2.0374,0.2482,48.3558
28,000429,粤高速A,0.7106,0.1328,1.2835,0.3105,106.4299
29,601518,吉林高速,0.7028,0.1085,2.5603,0.2218,102.8644
30,600318,新力金融,0.6948,0.0693,,0.1091,18.1223
31,600556,ST慧球,0.6918,0.3621,13.913,0.9549,102.9034
32,300696,爱乐达,0.6902,0.1225,1.2745,1.3921,370.7514
33,600675,中华企业,0.6879,0.1891,10.1744,0.2315,33.4308
34,600236,桂冠电力,0.6775,0.14400000000000002,2.1193,0.243,103.6158
35,002618,丹邦科技,0.6704,0.0821,8.38,0.2368,34.6047
36,600202,*ST哈空,0.6696,0.1109,,0.1734,17.6002
37,600025,华能水电,0.6674,0.051,3.6165,0.0675,21.6907
38,600736,苏州高新,0.6641,0.1572,4.2108,0.2454,32.523
39,000835,长城动漫,0.6629,0.1252,1.5109,0.1822,36.3065
40,600012,皖通高速,0.6579999999999999,0.1328,1.7343,0.4541,155.0323
41,603817,海峡环保,0.6576,0.1142,2.3074,0.4137,94.3701
42,000638,万方发展,0.6571,0.0916,4.2589999999999995,0.14400000000000002,17.7768
43,300741,华宝股份,0.6562,0.2318,1.2362,2.8646,289.9038
44,002039,黔源电力,0.6545,0.0924,2.9139,0.1247,69.8945
45,603568,伟明环保,0.6455,0.16899999999999998,1.311,0.4104,143.97899999999998
46,002447,晨鑫科技,0.645,0.092,0.7061,0.3773,49.023
47,601016,节能风电,0.643,0.0603,2.6069,0.0958,33.0528
48,600724,宁波富达,0.6399,0.1857,,0.2248,34.5628
49,000886,海南高速,0.637,0.11699999999999999,3.9395,0.7281,81.7078
50,002930,宏川智慧,0.6316,0.12300000000000001,2.4854,0.3386,181.6367
51,300215,电科院,0.6271,0.1063,3.1883,0.2243,29.429000000000002
52,000975,银泰资源,0.6208,0.1701,2.1242,2.5286,728.3194
53,600674,川投能源,0.617,0.017,0.1495,0.0806,14.2724
54,300179,四方达,0.6146,0.1971,3.1473,1.0994,132.4241
55,000791,甘肃电投,0.6136,0.0614,4.6286,0.0884,63.4705
56,002464,众应互联,0.6109,0.1029,1.6048,0.1896,28.2574
57,600163,中闽能源,0.6058,0.0828,1.7921,0.1622,50.0704
58,603698,航天工程,0.6002,0.1906,3.7917,0.5458,57.8435
59,601828,美凯龙,0.5948,0.0672,1.5237,0.1228,28.6941
60,601985,中国核电,0.5926,0.0657,2.4771,0.0883,51.6118
