,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
70,002911,佛燃股份,0.67,-9.46,3.34,21.42,1.04,33714.42,-8.68,,10-31
71,603365,水星家纺,0.99,23.75,,24.36,1.33,19770.13,46.68,,10-31
72,603506,南都物业,1.13,-7.38,,38.93,1.06,6296.48,15.98,,10-31
73,300725,药石科技,0.69,50.0,4.46,21.18,0.41,3611.52,81.17,,10-30
74,603970,中农立华,0.82,-7.42,3.45,25.48,1.52,8171.71,-7.42,,10-30
75,600933,爱柯迪,0.69,30.19,,29.96,0.78,48297.14,38.99,10派2.5,10-30
76,300723,一品红,1.14,128.0,2.78,51.92,1.22,13734.95,127.32,,10-30
77,603076,乐惠国际,1.37,7.03,6.72,22.77,2.44,7667.78,19.06,,10-30
78,601019,山东出版,0.58,7.41,2.8,22.14,0.64,104729.57,6.41,,10-30
79,300722,新余国科,0.57,-10.94,3.57,17.52,0.14,3423.45,25.34,,10-27
80,603605,珀莱雅,1.02,6.25,,31.76,0.89,15362.3,6.87,,10-25
81,002864,盘龙药业,0.61,-7.58,,12.83,0.95,3952.77,-7.3,,10-25
82,300717,华信新材,0.88,0.0,5.47,17.12,1.14,4219.18,-0.21,,10-24
83,300721,怡达股份,1.03,-10.48,8.15,13.72,0.68,5953.07,3.4,,10-24
84,300720,海川智能,0.7,18.64,4.17,17.95,0.65,3788.22,19.02,,10-24
85,603083,剑桥科技,0.9,-49.72,9.19,11.13,0.47,6631.8,-46.01,,10-23
86,603916,苏博特,0.58,-27.5,4.87,12.54,0.68,13293.65,-22.42,,10-23
87,603278,大业股份,0.92,95.74,3.75,27.86,1.08,14300.19,97.1,,10-23
88,300719,安达维尔,0.73,,3.17,27.04,0.91,9118.39,69.77,,10-19
89,603809,豪能股份,1.58,18.45,9.77,17.58,1.71,12627.44,18.46,,10-18
90,300716,国立科技,0.77,11.59,5.61,14.89,1.18,5976.74,28.52,,10-18
91,603507,振江股份,1.54,102.51,5.56,32.06,0.74,14464.11,158.89,,10-17
92,002916,深南电路,1.31,70.13,7.52,18.48,3.82,27416.42,69.56,,10-17
93,603856,东宏股份,0.66,-2.94,,12.39,1.1,9770.76,-2.4,,10-16
94,300718,长盛轴承,1.08,-8.47,6.64,17.4,1.49,8074.67,-9.06,,10-16
95,603937,丽岛新材,0.56,55.56,,13.42,-0.02,8791.46,55.56,,10-12
96,603912,佳力图,0.54,5.88,2.49,24.2,0.71,5844.82,14.54,,10-12
97,300713,英可瑞,2.3,60.84,5.69,50.68,0.26,9769.28,61.26,,10-11
98,300712,永福股份,0.7,22.81,3.99,19.15,0.69,7329.95,26.82,,10-11
99,300711,广哈通信,0.5,6.38,2.41,23.03,0.43,5369.24,14.99,,10-11
100,603289,泰瑞机器,0.48,37.14,3.01,17.28,0.72,7363.89,37.67,,10-10
101,002910,庄园牧场,0.54,-16.92,,11.0,1.24,7591.06,3.64,,10-10
102,300715,凯伦股份,0.75,36.36,2.83,30.32,0.01,4023.7,41.06,10派1.5,10-10
103,603607,京华激光,0.99,,4.29,25.94,1.37,6710.43,19.01,,09-28
104,002909,集泰股份,0.47,-12.96,2.76,16.41,0.62,4269.32,-12.79,,09-28
105,603722,阿科力,0.71,-18.39,3.96,19.6,0.64,4598.86,-18.88,,09-27
106,300710,万隆光电,0.88,12.12,5.77,16.5,-0.06,4500.31,15.33,,09-27
107,603396,金辰股份,1.15,1.17,7.39,16.98,-0.13,6539.17,1.16,,09-27
108,002907,华森制药,0.27,29.64,1.28,23.14,0.16,9570.77,29.62,,09-26
109,603466,风语筑,1.04,48.57,5.31,21.76,1.07,11259.85,71.26,,09-25
110,002908,德生科技,0.49,-46.54,3.53,14.16,-0.3,4873.31,-46.54,,09-25
111,603683,晶华新材,0.54,2.59,,11.66,0.44,5155.93,11.4,,09-25
112,300709,精研科技,2.45,35.36,6.07,49.33,2.62,16155.14,34.96,,09-21
