,code,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0,name_y,eps_2015q1,eps_yoy_2015q1,bvps_2015q1,roe_2015q1,epcf_2015q1,net_profits_2015q1,profits_yoy_2015q1,distrib_2015q1,report_date_2015q1
21,600176,中国巨石,玻璃,浙江,18.56,35.02,35.02,2578662.0,775315.56,1392249.63,402213.5,1.15,0.17600000000000002,3.7,3.53,19990422,583253.56,1.67,34.17,31.17,45.27,24.73,64124.0,2530,中国巨石,0.21,662.72,,4.52,,18571.52,662.95,,04-22
22,300517,海波重科,建筑施工,湖北,155.08,0.41,1.02,102941.36,77299.6,8303.71,26467.35,2.58,0.039,6.06,3.97,20160719,22118.82,2.16,-26.37,-19.15,27.09,9.5,13397.0,25,海波重科,0.07,,,2.0,,557.65,,,06-06
23,600498,烽火通信,通信设备,湖北,56.04,10.32,11.14,2790185.0,2310786.0,245153.72,478814.94,4.3,0.125,8.67,3.23,20010823,335458.34,3.01,20.63,0.47,28.0,3.28,50477.0,1835,烽火通信,0.1,11.11,,1.55,,9677.23,12.08,,04-25
24,300228,富瑞特装,化工机械,江苏,469.29,4.06,4.75,433865.75,269845.47,108800.75,91907.57,1.94,0.005,3.84,2.41,20110608,36681.81,0.77,-28.08,-87.42,33.2,1.02,38899.0,1812,富瑞特装,0.23,-54.9,9.39,2.47,0.28,3080.07,-55.54,,04-25
25,600810,神马股份,化纤,河南,16.21,4.42,4.42,1038650.13,511553.94,242522.22,179027.56,4.05,0.23,5.95,2.51,19940106,16058.84,0.36,-12.15,119.82,11.74,3.67,28754.0,2024,神马股份,0.01,-80.0,,0.24,,554.26,-76.4,,04-25
26,600141,兴发集团,化工原料,湖北,38.53,5.01,6.06,2455696.0,610281.56,1252081.88,413509.5,6.82,0.11,10.79,1.69,19990616,152144.73,2.51,6.37,127.45,14.69,1.76,31608.0,2908,兴发集团,0.04,22.35,,0.45,,2218.57,46.13,,04-10
27,603311,金海环境,专用机械,浙江,37.34,0.93,2.1,92747.85,59868.23,15367.92,20809.56,0.99,0.098,3.52,4.14,20150518,29263.25,1.39,9.48,-9.68,33.48,14.18,21695.0,210,金海环境,0.09,12.5,1.89,4.89,0.05,1442.95,17.43,,05-15
28,2180,纳思达,电脑设备,广东,103.27,6.86,10.64,3370353.25,959249.31,292233.41,166163.55,1.56,0.08,3.8,8.71,20071113,170067.31,1.6,-3.51,109.92,36.58,1.69,11996.0,2565,纳思达,0.14,-468.42,,10.24,,6079.66,-1393.83,,04-22
29,300316,晶盛机电,专用机械,浙江,46.11,9.22,9.85,607862.44,444950.41,64232.81,154334.25,1.57,0.138,3.76,6.74,20120511,106091.97,1.08,53.25,122.85,39.37,23.95,27523.0,2090,晶盛机电,0.04,-26.67,4.35,1.02,-0.08,1762.04,12.09,,04-24
30,300188,美亚柏科,软件服务,福建,727.02,3.07,4.97,290534.66,158228.69,26838.55,87079.46,1.75,0.01,4.74,6.39,20110316,80292.75,1.62,27.54,53.67,57.98,2.8,33536.0,1632,美亚柏科,0.0,-244.44,4.26,0.09,-0.63,86.56,-246.39,,04-27
31,600409,三友化工,化工原料,河北,13.31,18.5,20.64,2414351.25,710172.94,1328175.88,354488.22,1.72,0.212,5.06,2.23,20030618,449773.41,2.18,-7.71,-14.18,25.28,9.27,81841.0,1462,三友化工,0.02,-62.86,,0.62,,3800.65,-62.82,,04-28
