,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,year,quanter
0,300533,冰川网络,0.68,,,11.95,,5076.05,,,07-29,2015,1
1,300535,达威股份,0.18,,,,,799.14,,,07-28,2015,1
2,601997,贵阳银行,0.38,,,,,67477.7,,,07-27,2015,1
3,002807,江阴银行,0.13,,,3.15,,19883.8,,,07-26,2015,1
4,600936,广西广电,0.1,,,,,13337.77,,,07-26,2015,1
5,603843,正平股份,-0.05,,,-1.54,,-960.51,,,07-25,2015,1
6,002808,苏州恒久,0.09,,,3.08,,827.07,,,07-25,2015,1
7,603569,长久物流,0.19,,,8.44,,6738.68,,,07-21,2015,1
8,300528,幸福蓝海,0.13,,,2.46,,2938.09,,,07-18,2015,1
9,300529,健帆生物,0.1,,,8.22,,3782.64,,,07-14,2015,1
10,603322,超讯通信,-0.02,-118.18,,-0.62,,-124.62,-118.81,,07-14,2015,1
11,300526,中潜股份,,,,,,574.14,,,07-13,2015,1
12,002806,华锋股份,,,,0.12,,23.93,,,07-12,2015,1
13,603663,三祥新材,0.06,,,2.82,,628.8,,,07-11,2015,1
14,300522,世名科技,0.23,,,6.27,0.02,1167.94,,,07-04,2015,1
15,002803,吉宏股份,0.05,,,1.87,,453.52,,,06-22,2015,1
16,300521,爱司凯,0.08,,,2.42,,458.08,,,06-22,2015,1
17,300520,科大国创,-0.03,,,-1.0,,-219.84,,,06-20,2015,1
18,002805,丰元股份,0.19,,,3.58,,1361.19,,,06-20,2015,1
19,603016,新宏泰,0.13,,,3.51,,1401.75,,,06-08,2015,1
20,002801,微光股份,0.35,,,4.53,0.28,1547.97,,,06-07,2015,1
21,603958,哈森股份,0.27,,,,,4451.93,,,06-07,2015,1
22,002802,洪汇新材,0.11,,,,,893.69,,,06-07,2015,1
23,300519,新光药业,,,,,,3848.76,,,06-06,2015,1
24,300518,盛讯达,0.21,,,3.63,,1455.43,,,06-06,2015,1
25,300517,海波重科,0.07,,,2.0,,557.65,,,06-06,2015,1
26,300515,三德科技,-0.02,,,,,-175.76,,,05-20,2015,1
27,603339,四方冷链,0.19,,,4.69,0.57,2984.14,,,05-18,2015,1
28,002800,天顺股份,0.04,,,0.88,,215.02,,,05-17,2015,1
29,300516,久之洋,0.21,,,6.09,-0.44,1849.4,,,05-16,2015,1
30,603737,三棵树,-0.28,,,-4.69,,-2117.83,,,05-16,2015,1
31,603779,威龙股份,0.04,,,,,611.55,,,05-13,2015,1
32,002797,第一创业,0.11,,,4.12,0.74,21844.89,,,05-10,2015,1
33,002796,世嘉科技,0.11,,,2.86,0.06,676.14,,,05-09,2015,1
34,300510,金冠电气,0.08,,,1.85,-0.01,499.0,,,05-05,2015,1
35,603101,汇嘉时代,0.12,,,3.79,0.37,2148.13,,,05-05,2015,1
36,603223,恒通股份,0.08,,,2.26,,750.12,,,04-30,2015,1
37,603979,金诚信,0.16,,,2.5,,4560.14,,,04-30,2015,1
38,603566,普莱柯,0.39,,,6.61,,4674.54,,,04-30,2015,1
39,603778,乾景园林,0.09,,,1.2,,545.03,,,04-30,2015,1
40,603022,新通联,0.15,,,3.22,,892.2,,,04-30,2015,1
41,603861,白云电器,0.08,,,2.34,,2888.68,,,04-30,2015,1
42,603918,金桥信息,-0.13,,,-3.3,,-861.94,,,04-29,2015,1
43,300474,景嘉微,-0.01,,,-0.46,,-138.58,,,04-29,2015,1
44,603528,多伦科技,0.57,,,18.97,0.2,8891.51,,,04-29,2015,1
45,002765,蓝黛传动,0.13,,,1.32,,1983.82,,,04-29,2015,1
46,300512,中亚股份,0.29,,,,,2932.57,,,04-29,2015,1
47,002792,通宇通讯,0.5,,,6.88,,6036.87,,,04-29,2015,1
48,002780,三夫户外,0.03,,,0.73,,143.99,,,04-29,2015,1
49,603023,威帝股份,0.24,,,8.48,,1419.74,,,04-29,2015,1
50,603198,迎驾贡酒,0.29,,,7.77,,20653.25,,,04-29,2015,1
51,603377,东方时尚,0.15,,,7.37,,5714.85,,,04-29,2015,1
52,002766,索菱股份,0.11,,,2.56,,1519.99,,,04-29,2015,1
53,603789,星光农机,0.16,,,4.49,,2443.73,,,04-29,2015,1
54,002771,真视通,0.2,,,4.37,,1203.89,,,04-29,2015,1
55,002789,建艺集团,0.39,,,4.55,,2362.09,,,04-29,2015,1
56,603989,艾华集团,0.24,,,6.03,,4805.26,,,04-29,2015,1
57,001979,招商蛇口,0.1,,,3.1,,52895.39,,,04-28,2015,1
58,603027,千禾味业,0.16,,,4.63,,1901.05,,,04-28,2015,1
59,300507,苏奥传感,0.42,,,7.66,0.06,2101.66,,,04-28,2015,1
60,300507,苏奥传感,0.42,,,7.66,0.06,2101.66,,,04-28,2015,1
61,603669,灵康药业,0.14,,,7.89,,2778.34,,,04-28,2015,1
62,603520,司太立,0.38,,,7.85,,3440.21,,,04-28,2015,1
63,603726,朗迪集团,0.16,,,2.84,,1101.48,,,04-28,2015,1
64,603838,四通股份,0.16,,,4.53,,1584.21,,,04-28,2015,1
65,601900,南方传媒,0.16,,,5.33,,10572.16,,,04-28,2015,1
66,603398,邦宝益智,0.23,,,8.22,,1655.22,,,04-28,2015,1
67,603598,引力传媒,0.11,,,3.55,,1147.87,,,04-28,2015,1
68,601155,新城控股,0.03,,,0.47,,3264.62,,,04-28,2015,1
69,002798,帝欧家居,,,,,,-492.51,,,04-28,2015,1
70,603868,飞科电器,0.31,,,15.73,,12162.7,,,04-28,2015,1
71,603589,口子窖,0.31,,,7.0,,17527.86,,,04-28,2015,1
72,002761,多喜爱,0.09,,,1.86,,769.59,,,04-28,2015,1
73,603936,博敏电子,0.06,,,1.49,,793.58,,,04-28,2015,1
74,603066,音飞储存,0.08,,,1.48,,592.96,,,04-28,2015,1
75,603701,德宏股份,0.24,,,5.52,,1421.55,,,04-28,2015,1
76,002783,凯龙股份,0.17,,,1.55,,1080.62,,,04-27,2015,1
77,300459,金科文化,0.03,,,1.73,,717.99,,,04-27,2015,1
78,300447,全信股份,0.29,,,6.23,,1771.4,,,04-27,2015,1
79,300485,赛升药业,0.51,,,6.86,,4594.21,,,04-27,2015,1
80,002795,永和智控,0.2,,,7.15,0.55,1528.34,,,04-27,2015,1
81,603999,读者传媒,0.08,,,1.5,,1481.78,,,04-27,2015,1
82,300452,山河药辅,0.28,,,5.42,,987.99,,,04-27,2015,1
83,300458,全志科技,0.32,,,3.72,,3790.26,,,04-27,2015,1
84,300495,美尚生态,0.09,,,1.1,,465.82,,,04-27,2015,1
85,300500,启迪设计,0.18,,,2.58,,829.21,,,04-27,2015,1
86,300457,赢合科技,0.17,,,4.14,,1502.6,,,04-27,2015,1
87,002762,金发拉比,0.18,,,4.14,,1606.15,,,04-27,2015,1
88,002786,银宝山新,0.12,,,1.84,,1097.18,,,04-27,2015,1
89,603996,中新科技,0.07,,,1.37,,1056.7,,,04-27,2015,1
90,300503,昊志机电,0.12,20.0,,2.09,,868.05,19.14,,04-27,2015,1
91,603822,嘉澳环保,0.05,,,,,299.94,,,04-27,2015,1
92,300455,康拓红外,0.08,,,2.32,,792.09,,,04-27,2015,1
93,603866,桃李面包,0.14,,,5.73,,5727.54,,,04-27,2015,1
94,603798,康普顿,0.37,,,10.3,,2767.76,,,04-27,2015,1
95,002790,瑞尔特,0.23,,,5.64,,2802.82,,,04-27,2015,1
96,002760,凤形股份,0.15,,,2.54,,1015.69,,,04-27,2015,1
