,code,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0_x,name_y,mbrg_2015q1,nprg_2015q1,nav_2015q1,targ_2015q1,epsg_2015q1,seg_2015q1,Unnamed: 0_y,name_x,mbrg_2015q2,nprg_2015q2,nav_2015q2,targ_2015q2,epsg_2015q2,seg_2015q2,Unnamed: 0_x,name_y,mbrg_2015q3,nprg_2015q3,nav_2015q3,targ_2015q3,epsg_2015q3,seg_2015q3,Unnamed: 0_y,name_x,mbrg_2015q4,nprg_2015q4,nav_2015q4,targ_2015q4,epsg_2015q4,seg_2015q4,Unnamed: 0_x,name_y,mbrg_2016q1,nprg_2016q1,nav_2016q1,targ_2016q1,epsg_2016q1,seg_2016q1,Unnamed: 0_y,name_x,mbrg_2016q2,nprg_2016q2,nav_2016q2,targ_2016q2,epsg_2016q2,seg_2016q2,Unnamed: 0_x,name_y,mbrg_2016q3,nprg_2016q3,nav_2016q3,targ_2016q3,epsg_2016q3,seg_2016q3,Unnamed: 0_y,name_x,mbrg_2016q4,nprg_2016q4,nav_2016q4,targ_2016q4,epsg_2016q4,seg_2016q4,Unnamed: 0_x,name_y,mbrg_2017q1,nprg_2017q1,nav_2017q1,targ_2017q1,epsg_2017q1,seg_2017q1,Unnamed: 0_y,name_x,mbrg_2017q2,nprg_2017q2,nav_2017q2,targ_2017q2,epsg_2017q2,seg_2017q2,Unnamed: 0_x,name_y,mbrg_2017q3,nprg_2017q3,nav_2017q3,targ_2017q3,epsg_2017q3,seg_2017q3,Unnamed: 0_y,name_x,mbrg_2017q4,nprg_2017q4,nav_2017q4,targ_2017q4,epsg_2017q4,seg_2017q4,Unnamed: 0,name_y,mbrg_2018q1,nprg_2018q1,nav_2018q1,targ_2018q1,epsg_2018q1,seg_2018q1
570,300242,明家联合,互联网,广东,42.18,5.08,6.36,333871.09,166142.44,799.18,125555.77,1.97,0.039,3.66,1.81,20110712,44621.75,0.7,34.23,-61.86,7.62,2.75,27691.0,6,明家联合,291.8587,6070.0461,94.5754,146.8196,5614.2857,94.5754,61,明家联合,312.8212,602.1915,95.9218,173.9911,497.0149,95.9218,45,明家联合,397.3898,867.0364,98.3909,165.6573,238.75,98.3909,29,明家联合,433.0351,1250.1512,660.8923,716.3032,420.0,660.8923,34,明家联合,273.141,1588.2179,310.7103,228.4755,350.0,310.7103,49,明家联合,247.0207,971.2626,316.298,210.8392,200.0,316.298,60,明家联合,221.1327,746.1531,318.5397,216.0544,185.8549,318.5397,183,明家联合,213.4745,229.2408,9.0864,8.7525,11.5385,9.0864,1472,明家联合,18.3033,12.5232,8.6642,10.4146,-44.4444,8.6642,2154,明家联合,-0.1213,-6.9085,6.8632,4.2005,-52.7778,6.8632,1920,明家联合,-1.4982,4.2876,7.335,4.8421,3.2702,7.335,1923,明家联合,-4.1692,5.9673,7.992000000000001,-1.3042,3.4483,7.992000000000001,2625,佳云科技,34.2298,-60.7741,6.0533,15.1108,-60.0,6.0198
571,2117,东港股份,广告包装,山东,25.07,3.64,3.64,205286.97,111477.67,71118.09,24978.26,0.69,0.166,4.33,3.84,20070302,74811.56,2.06,12.32,40.47,39.06,14.81,18206.0,1067,东港股份,14.747,5.9691,15.1901,14.0959,-7.6923,15.0951,983,东港股份,6.3251,13.6452,6.7527,8.8528,13.6364,6.3095,897,东港股份,7.8339,18.0751,6.9859,9.5501,24.2424,7.3106,1043,东港股份,13.086,24.8801,8.7518,11.2355,28.2609,8.5006,1243,东港股份,9.8941,3.9284,8.5045,6.8869,8.5,8.4172,1503,东港股份,10.7718,0.3256,8.5566,12.9639,6.96,8.8262,1645,东港股份,12.7179,0.908,7.7,10.2731,-0.122,8.1927,2056,东港股份,18.7158,2.3573,6.8483,8.8858,1.6949,7.707999999999998,1945,东港股份,-0.0782,-7.8609,7.522,7.4727,-9.3702,7.1336,1722,东港股份,3.53,9.3911,7.3506,5.9981,2.6552,7.9365,1994,东港股份,3.8148,2.6709,-4.4778,-0.2594,11.6239,-0.24,2228,东港股份,-4.1481,-2.8868,-4.6568,1.2545,6.3333,-0.4411,1040,东港股份,12.3196,29.8907,-3.5939,-0.7643,40.4237,0.6995
572,300219,鸿利智汇,元器件,广东,22.41,5.31,7.13,510536.09,225040.72,109393.26,108996.92,1.53,0.13,3.86,3.01,20110518,90787.75,1.27,26.24,16.07,21.93,10.6,22265.0,239,鸿利智汇,62.4508,113.6099,14.6288,46.7279,91.222,12.4891,284,鸿利智汇,62.8344,105.1804,16.4783,52.5075,79.4072,13.8563,262,鸿利智汇,65.2366,104.5082,15.9287,53.9043,88.6547,14.6813,431,鸿利智汇,56.4672,76.4261,16.9345,31.2346,-32.4324,15.7103,269,鸿利智汇,53.0727,113.1932,11.1855,35.2116,-4.8605,13.3004,320,鸿利智汇,43.341,112.9995,85.4853,75.1711,-4.3478,89.757,496,鸿利智汇,38.5057,69.4794,84.4643,70.8228,-28.0723,88.7584,2448,鸿利智汇,41.8127,-16.5925,75.9305,61.338,-16.0,73.80199999999998,1208,鸿利智汇,57.1433,22.9099,86.0202,67.87899999999999,12.4882,79.2339,1172,鸿利智汇,63.5362,27.8725,40.9189,46.6426,18.1818,36.9444,1050,鸿利智汇,64.1712,35.4832,37.9089,30.5469,25.2148,36.5484,280,鸿利智汇,63.8212,155.0995,47.1764,49.4019,142.8571,47.428,1391,鸿利智汇,26.2421,15.3693,44.5188,43.6936,8.9992,44.4747
573,300428,四通新材,铝,河北,48.67,1.38,2.91,95907.9,59207.63,16206.67,13180.1,0.45,0.08,2.52,6.18,20150319,29942.11,1.03,0.34,28.11,9.63,8.55,18728.0,712,四通新材,31.5341,21.92,,,25.0,,1084,四通新材,25.9502,10.2572,124.8637,51.7529,-6.0,124.8637,974,四通新材,14.1428,14.305,,,-5.7143,,1669,四通新材,7.1872,6.5607,113.2522,42.2022,-14.5833,113.2522,1259,四通新材,-11.3401,3.449,11.4261,-11.8503,-24.0,11.4261,1425,四通新材,1.754,2.6268,-2.0363,-5.0354,-10.6383,-2.0363,1544,四通新材,9.2543,4.1264,-1.8414,-1.151,-68.1818,-2.0473,1613,四通新材,20.46,13.4788,-0.6759,4.1077,-64.6341,-0.9693,1360,四通新材,48.699,16.5406,-0.3558,17.7419,-63.1579,-0.6768,1801,四通新材,37.2154,6.6848,10.1552,36.8208,-64.2857,9.7506,944,四通新材,30.3356,41.3843,12.9136,32.7756,38.0952,12.9784,802,四通新材,27.9692,48.675,13.6811,22.2452,48.2759,13.7125,1094,四通新材,0.3388,26.9986,14.2438,16.3174,42.8571,14.1724
574,300213,佳讯飞鸿,通信设备,北京,92.16,3.76,5.95,297447.28,196371.75,15995.54,81043.21,1.36,0.021,3.27,2.39,20110505,48947.46,0.82,34.61,111.69,32.37,5.07,38079.0,1015,佳讯飞鸿,46.4869,7.8709,24.3747,33.501999999999995,-33.3333,23.9548,754,佳讯飞鸿,56.3909,25.6525,22.4249,47.0204,29.8475,21.9548,1000,佳讯飞鸿,24.8325,13.2067,21.3681,76.0367,10.492,21.0763,1544,佳讯飞鸿,21.7374,9.7075,-6.0455,20.8168,14.2857,-2.6694,1141,佳讯飞鸿,6.4045,8.2249,-10.6334,8.6644,0.0,-4.2763,927,佳讯飞鸿,10.5899,22.33,-9.829,5.4187,36.8289,-3.1438,1318,佳讯飞鸿,2.8362,12.1431,-9.301,-5.6398,27.5784,-2.5973,1648,佳讯飞鸿,3.5379,12.7008,74.8582,40.8879,21.875,80.6878,1581,佳讯飞鸿,-12.3241,8.4381,83.5709,49.8366,0.0,83.5558,2428,佳讯飞鸿,-35.6065,-22.7954,81.065,33.4614,-64.8069,81.0588,2469,佳讯飞鸿,-31.5432,-21.1067,103.5956,48.8799,-64.1382,102.5051,1534,佳讯飞鸿,11.8537,16.2123,20.6444,26.8508,-48.7179,19.5772,332,佳讯飞鸿,34.6145,130.0264,21.23,30.4867,5.5,19.9236
575,957,中通客车,汽车整车,山东,1102.27,4.77,5.93,1253784.75,1078841.88,113631.56,47752.87,0.81,0.002,4.7,1.9,20000113,147244.36,2.48,-1.37,-97.34,13.0,0.14,62396.0,1986,中通客车,23.8532,-95.7175,8.6266,29.1318,-94.8718,8.962,2125,中通客车,29.8149,-77.72399999999998,10.2505,42.7183,-76.7442,10.4352,1855,中通客车,42.1405,-34.568000000000005,80.9064,56.334,-31.8966,81.468,775,中通客车,96.9551,37.6163,99.9492,66.9962,35.0427,100.9022,35,中通客车,106.6817,1507.331,110.7486,103.2797,1050.0,111.7323,93,中通客车,95.2318,510.1093,108.9123,95.7552,390.0,109.8692,287,中通客车,48.6462,142.0357,26.8059,76.8395,-2.5316,27.4067,772,中通客车,30.1268,47.4379,20.6592,14.4946,-37.3418,20.9819,2438,中通客车,-49.1538,-66.6105,15.4692,1.4862,-82.6087,15.7482,2792,中通客车,-42.4195,-78.8565,15.7632,-3.178,-89.7959,16.0204,2882,中通客车,-22.6777,-73.1757,10.6448,-7.8267,-72.7273,10.6573,2976,中通客车,-15.184,-67.3504,7.7118,53.75100000000001,-67.6768,7.7252,2827,中通客车,-1.3744,-97.3447,5.902,50.9456,-100.0,5.9156
576,420,吉林化纤,化纤,吉林,132.41,16.63,19.71,669644.5,173652.27,272853.56,138956.16,0.71,0.005,1.42,1.97,19960802,-75355.13,-0.38,15.98,-69.3,12.33,1.79,66862.0,2033,吉林化纤,-39.9963,-138.618,237.0357,2.2863,-115.7699,290.0375,2216,吉林化纤,-17.0951,-106.0062,265.5182,-19.271,-97.4992,336.7415,2208,吉林化纤,-12.5137,-104.5532,302.0885,-13.5623,-95.3249,382.6368,3418,吉林化纤,-0.0754,,-4.4604,-19.9015,-59.8802,-1.5887,2390,吉林化纤,40.8014,,0.2237,-9.4893,-106.5336,2.7781,2901,吉林化纤,22.2782,,168.4093,88.8276,22.0779,169.4365,2949,吉林化纤,43.9724,,168.8879,67.7692,118.6441,170.1286,49,吉林化纤,34.5763,824.1511,176.7031,74.3574,38.806,177.8806,9,吉林化纤,71.2971,8473.1326,180.0277,67.4397,377.7778,180.61900000000003,35,吉林化纤,72.3712,1751.2866,2.9201,12.0905,209.5745,3.0709,116,吉林化纤,58.4287,475.6687,3.4805,22.3954,63.1783,3.4577,176,吉林化纤,57.6043,269.0811,3.2254,33.7487,55.1971,3.1687,2689,吉林化纤,15.9802,-70.0361,2.3265,41.7359,-69.186,2.2728
578,2308,威创股份,电脑设备,广东,78.45,8.35,9.14,428011.66,185044.23,41031.55,150202.69,1.64,0.034,3.81,2.79,20091127,97986.11,1.07,20.02,15.21,54.58,14.32,41886.0,2134,威创股份,12.5012,-340.7469,-4.1105,-0.5399,-300.0,-4.1105,1999,威创股份,4.9909,-52.5007,2.8002,0.4239,-50.0,2.7994,1498,威创股份,14.5302,-10.9648,3.5919,40.6204,0.0,3.4775,1407,威创股份,16.7099,13.2545,4.4437,24.8398,7.6923,4.3333,2388,威创股份,49.6421,,6.4421,19.8831,-250.0,6.341,152,威创股份,31.8135,295.33,7.8196,15.6623,350.0,7.7474,266,威创股份,23.5404,155.3741,8.4926,-2.184,133.3333,8.5706,706,威创股份,12.1096,53.4233,8.3883,8.3529,57.1429,8.1552,1259,威创股份,-6.2281,20.5286,8.5113,4.5575,0.0,8.2971,865,威创股份,4.8235,45.5989,10.1794,4.8759,33.3333,9.9616,840,威创股份,6.6463,48.0179,11.0936,-0.0752,50.0,10.8246,1979,威创股份,8.2662,4.6692,47.6269,37.8907,0.0,47.1074,1240,威创股份,20.0203,21.3769,47.3355,49.9969,0.0,46.7446
580,2194,*ST凡谷,通信设备,湖北,0.0,5.3,5.65,187340.36,132026.69,40724.81,82533.31,1.46,-0.07400000000000001,2.55,2.19,20071207,-14371.42,-0.25,-28.51,67.38,-0.36,-17.38,53648.0,971,*ST凡谷,20.8322,9.7301,4.2254,8.4529,9.697,4.2254,1770,*ST凡谷,-3.9711,-25.7969,3.487,-4.4758,-25.3731,3.487,1860,*ST凡谷,-2.1009,-35.3884,2.3872,-3.0916,-35.8601,2.3872,2725,*ST凡谷,-0.0664,-45.0842,0.9612,-2.1632,-48.0,0.9612,1864,*ST凡谷,0.6347,-43.4765,0.5233,1.4085,-43.3702,0.5233,2150,*ST凡谷,12.4403,-46.9734,2.5572,9.701,-47.2857,2.5572,2474,*ST凡谷,-2.4629,-112.0902,6.2253,10.6451,-112.1818,6.2253,3054,*ST凡谷,-5.4102,-320.2504,-2.193,2.1709,-330.7692,-2.193,2665,*ST凡谷,-22.745,-1229.3325,-8.9936,-7.2481,-1210.2439,-8.9936,2963,*ST凡谷,-13.1458,-1242.6134,-14.2979,-6.9073,-1224.9322,-14.2979,3186,*ST凡谷,-9.9537,,-24.273000000000003,-16.2194,4729.8507,-24.273000000000003,3276,*ST凡谷,-14.9231,,-25.7557,-20.7394,203.3333,-25.7557,3020,*ST凡谷,-28.5143,,-22.8996,-21.885,-67.3989,-22.8996
589,2284,亚太股份,汽车配件,浙江,59.58,6.86,7.38,628115.25,373363.75,155945.56,113704.27,1.54,0.031,3.9,1.87,20090828,66290.0,0.9,5.75,-48.17,12.67,2.08,85827.0,783,亚太股份,5.0319,17.8393,99.144,54.1878,-54.5455,102.3238,1037,亚太股份,1.4794,11.6726,96.6296,46.6208,-57.5758,99.6579,1424,亚太股份,-6.4554,-6.4311,92.216,37.2432,-63.964,95.5852,2315,亚太股份,-6.6913,-17.9163,4.3818,1.3001,-68.3333,4.2077,1407,亚太股份,0.2189,-4.2799,4.2006,4.9712,-3.3333,4.0278,1588,亚太股份,-2.199,-4.7308,2.4304,8.1915,-7.1429,2.4841,1488,亚太股份,8.2126,6.2983,3.4419,14.1046,6.25,2.8606,2066,亚太股份,11.7497,1.9422,3.0916,15.6595,5.2632,2.6995,1735,亚太股份,21.2671,3.2088,3.0935,16.0213,1.7241,2.6922,2554,亚太股份,15.8329,-33.8254,1.7129,12.2714,-30.7692,1.3630000000000002,2652,亚太股份,13.9039,-35.5992,0.8916,9.6414,-35.2941,0.9329,2809,亚太股份,15.9289,-41.8773,7.2795,27.1258,-45.0,7.4967,2538,亚太股份,5.7493,-46.6439,6.3868,20.3048,-47.4576,6.5962
590,300360,炬华科技,电器仪表,浙江,26.88,2.75,4.1,252890.05,219459.59,6293.76,63695.43,1.55,0.08900000000000001,5.1,1.87,20140121,91847.38,2.24,-18.49,-22.28,34.62,18.8,19268.0,977,炬华科技,10.6338,9.3846,25.3937,33.4514,-64.0,25.3937,1050,炬华科技,24.9188,11.2339,25.8313,34.7902,-45.679,25.8313,808,炬华科技,20.429,21.8531,22.2424,24.7461,20.9677,22.2424,1518,炬华科技,9.9675,10.4004,25.3697,8.8285,10.0,25.3697,881,炬华科技,4.0042,20.4714,24.8096,14.1824,22.2222,24.6751,963,炬华科技,7.3655,20.6016,25.1455,11.3242,-20.4545,25.0144,1328,炬华科技,11.1525,11.8956,22.9414,10.4559,-26.6667,22.6511,1827,炬华科技,9.8599,8.1969,20.9709,10.8121,-28.2828,20.6668,1968,炬华科技,8.718,-9.1442,19.8171,8.4922,-40.9091,19.6549,2591,炬华科技,-12.924,-37.0308,14.7135,8.9072,-37.1429,14.5505,2695,炬华科技,-21.6745,-39.6869,11.228,0.1154,-40.0,11.2263,2778,炬华科技,-18.4955,-38.4453,57.1812,42.0846,-39.4366,57.3568,2249,炬华科技,-18.491,-22.0493,54.451,43.4564,-30.7692,54.7322
591,601633,长城汽车,汽车整车,河北,12.31,60.28,91.27,10951442.0,6702994.5,2792656.25,141123.09,0.15,0.228,5.61,2.0,20110928,3561152.5,3.9,13.06,6.46,20.44,7.93,71740.0,642,长城汽车,31.1631,26.4603,20.1228,20.3967,26.2909,19.9488,856,长城汽车,30.1043,19.2987,21.2265,20.4847,19.2615,21.3138,1046,长城汽车,23.5247,11.169,7.6704,20.4515,11.1432,7.7202,1914,长城汽车,21.3511,0.2384,14.5247,17.2228,-66.5931,14.5852,1427,长城汽车,7.8511,-5.4599,13.2303,13.6598,-68.5047,13.2802,1376,长城汽车,12.0855,4.4718,16.3899,16.8641,-65.1922,16.4057,1208,长城汽车,20.4178,16.1538,31.1362,16.0678,-61.2976,31.176,1084,长城汽车,29.6086,30.9364,23.3588,28.3665,30.9188,23.3857,2090,长城汽车,11.2944,-18.2945,20.9471,27.6215,-18.4215,20.9627,2694,长城汽车,-1.4618,-50.7139,11.8206,15.8384,-50.8746,11.8148,2828,长城汽车,-0.5568,-59.8845,6.9887,17.6353,-60.0532,6.9693,2910,长城汽车,2.0803,-52.2133,4.0215,19.7574,-52.4221,3.8899,1660,长城汽车,13.0615,6.5456,3.9422,21.9036,6.4625,3.8124
592,600343,航天动力,航空,陕西,521.64,6.38,6.38,419294.56,306240.56,78310.65,116351.27,1.82,0.005,3.43,3.28,20030408,33557.7,0.53,-11.59,-37.01,15.4,1.07,94660.0,1654,航天动力,3.3258,-32.8256,0.1193,3.6616,-62.0,-0.4884,1706,航天动力,-0.6679999999999999,-20.9653,1.3089,2.9379,-18.5613,0.9393,1824,航天动力,1.0338,-31.4194,2.6164,4.023,-24.9202,2.7507,2443,航天动力,14.7064,-25.5624,2.0527,2.0129,-18.4984,2.3696,1254,航天动力,3.5212,3.6566,2.0587,3.091,9.1842,2.388,1418,航天动力,15.4789,2.8699,-0.4049,8.384,7.416,-0.5161,1692,航天动力,8.8295,-0.9365,-0.2091,9.2292,3.8045,-0.3594,2689,航天动力,19.9757,-35.5008,-0.8992,6.7543,-40.545,-1.3382,1520,航天动力,42.2377,10.91,-0.8662,10.0283,3.1574,-1.3168,2069,航天动力,6.0891,-2.8396,1.5487,5.4247,-6.9402,1.5285,2678,航天动力,13.2954,-37.4156,1.0757,-0.2064,-43.3047,1.034,2773,航天动力,2.044,-37.6315,0.7937,-0.1528,-46.8776,-0.4581,2387,航天动力,-11.5878,-33.158,0.7172,-4.0182,-37.0093,-0.5522
593,2104,恒宝股份,元器件,江苏,32.44,6.02,7.12,220696.05,145244.98,29940.02,7450.0,0.1,0.061,2.58,3.05,20070110,85709.65,1.2,48.45,4.45,23.1,9.92,79834.0,587,恒宝股份,24.7287,31.6409,30.277,25.1787,-11.1111,30.277,801,恒宝股份,26.0639,23.2024,23.3793,23.405,-26.087,23.3793,763,恒宝股份,23.7235,25.1293,26.1852,24.6954,-11.1111,26.1852,958,恒宝股份,17.4039,28.0572,25.3046,21.3018,29.2683,24.4395,1112,恒宝股份,3.4912,9.3826,23.5418,19.5903,0.0,22.6943,1960,恒宝股份,-19.5113,-26.5005,20.3895,11.0927,-29.4118,19.3916,2230,恒宝股份,-27.8166,-42.6993,13.8209,10.5575,-43.75,12.8243,2866,恒宝股份,-25.667,-59.1737,6.1305,5.8989,-61.3208,5.0596,2200,恒宝股份,-23.0683,-27.8943,5.3515,7.1416,-25.0,4.2115,1832,恒宝股份,7.0371,5.6432,11.1903,12.7467,8.3333,10.0858,1889,恒宝股份,7.0878,4.935,10.7976,10.5141,0.0,9.6187,1872,恒宝股份,1.1099,7.4334,13.0287,7.4998,11.2195,9.682,1876,恒宝股份,48.4477,0.8507,12.7053,4.0171,0.0,9.5382
594,600746,江苏索普,化工原料,江苏,0.0,3.05,3.06,68342.43,42667.51,13744.4,6207.23,0.2,-0.011,1.63,4.14,19960918,8504.05,0.28,-33.37,-107.37,5.03,-2.47,21341.0,2117,江苏索普,-24.8459,-265.6956,-2.7299,-7.9237,-266.2577,-2.7299,2291,江苏索普,-18.8259,-216.8527,-2.8825,-6.2976,-216.8712,-2.8825,2338,江苏索普,-15.7936,-307.8039,-4.9717,-7.2896,-308.0838,-4.9717,3064,江苏索普,-11.6874,-293.9993,-4.6243,-7.7568,-293.8596,-4.6243,2841,江苏索普,13.4348,,-2.3042,-0.9185,-115.1292,-2.3042,2918,江苏索普,7.855,,1.4240000000000002,9.6572,-216.5354,1.4240000000000002,2963,江苏索普,6.3024,,6.1713,13.5247,-208.259,6.1713,3291,江苏索普,7.6046,,5.2183,23.5124,-207.2398,5.2183,23,江苏索普,50.648,3669.647,16.0308,36.3143,3639.0244,16.0308,180,江苏索普,33.2552,344.4973,15.7433,21.4439,344.3694,15.7433,248,江苏索普,32.5935,195.8914,12.3011,20.5812,195.8533,12.3011,201,江苏索普,24.6752,244.4562,14.6642,1.9514,244.4444,14.6642,2839,江苏索普,-33.3715,-107.371,2.9433,-10.3396,-107.3712,2.9433
595,600692,亚通股份,水运,上海,99.25,2.55,3.52,211566.27,161971.06,3486.46,6123.2,0.17,0.023,2.01,4.51,19931119,23254.51,0.66,-32.81,-20.45,21.1,4.55,38818.0,1758,亚通股份,-37.7025,-45.5244,7.6187,89.7028,-40.0,7.2661,1987,亚通股份,-29.7028,-49.9696,6.4621,102.2843,-46.7967,6.2297,1362,亚通股份,-5.0573,-1.9317,12.0668,95.9353,1.9231,7.3313,719,亚通股份,10.5446,40.995,14.7531,26.3612,7.6217,7.5546,91,亚通股份,127.7411,388.0196,16.1336,20.36,331.3725,8.6362,337,亚通股份,97.642,106.4783,16.1511,5.6371,62.3037,8.2352,402,亚通股份,89.546,92.8835,13.1593,-3.9124,55.06,9.2962,1994,亚通股份,76.8678,3.8233,7.217,1.4148,14.3345,8.0287,850,亚通股份,98.9067,42.5373,7.7863,-2.4913,31.8182,8.2998,466,亚通股份,101.6488,107.7579,9.2399,-5.8218,100.6452,9.7004,1163,亚通股份,45.5214,29.4797,8.3283,-5.8241,19.1372,8.5797,1206,亚通股份,31.2581,27.9846,10.2232,-17.7403,35.5224,10.077,2240,亚通股份,-32.8081,-21.6045,9.5628,-17.5819,-20.6897,9.5986
596,300017,网宿科技,电信运营,上海,34.8,16.05,24.31,1081140.5,595382.06,167696.61,228721.97,0.94,0.09,3.36,3.71,20091030,321254.13,1.32,29.96,10.76,36.22,14.25,104000.0,359,网宿科技,32.7196,61.6503,45.7339,47.1887,-20.031,44.7078,388,网宿科技,41.4085,66.4969,47.94,62.1185,-25.1298,47.0028,316,网宿科技,47.0807,82.0352,52.3919,63.183,-18.0634,51.602,464,网宿科技,53.4285,71.5016,53.6666,77.2669,-22.8218,53.0037,347,网宿科技,74.1225,84.05799999999998,253.8471,237.7294,-17.2965,255.7841,407,网宿科技,66.2418,81.697,237.9246,195.5888,69.3824,239.5593,522,网宿科技,60.2024,64.2914,216.5147,177.643,50.0876,216.383,740,网宿科技,51.6726,50.4661,192.6257,147.0993,36.2679,192.438,2098,网宿科技,20.5995,-18.837,20.0931,26.1844,-28.2074,19.5814,2500,网宿科技,18.7752,-29.0749,16.2066,21.9922,-77.8815,15.6103,2682,网宿科技,17.8386,-38.4437,11.4059,18.5696,-80.1735,11.4137,2741,网宿科技,20.8285,-34.5622,8.378,18.4709,-78.9799,8.6238,1691,网宿科技,29.9578,5.98,7.9157,17.8236,-63.4027,8.4084
597,2055,得润电子,元器件,深圳,68.29,4.27,4.67,948488.38,657810.19,103865.59,113820.57,2.44,0.071,5.16,3.74,20060725,80375.21,1.72,45.72,3.15,13.94,1.94,43310.0,889,得润电子,50.7839,12.3775,4.6098,26.2867,18.93,6.0942,1378,得润电子,37.4491,-0.8662,21.4098,34.886,-2.4429,26.6086,1403,得润电子,29.8504,-5.2431,24.953000000000007,57.9259,-4.5712,25.3311,2534,得润电子,15.2918,-30.7444,23.2986,60.1583,-18.327,24.1944,1958,得润电子,19.0198,-58.9246,20.9302,52.2365,-16.436,22.5229,1953,得润电子,20.4429,-26.2231,4.8884,41.7707,-4.4426,3.6463,2266,得润电子,29.4214,-46.6465,-0.752,28.5985,-22.5365,2.4133,3004,得润电子,50.8838,-122.1158,-1.0706,29.9765,-55.8415,2.0689,363,得润电子,30.9697,152.8898,0.2697,23.6783,46.9979,2.5881,607,得润电子,21.1492,74.7813,2.0174,19.2294,71.9358,2.9091,546,得润电子,19.9998,86.965,46.2693,31.6158,59.5995,29.8205,3321,得润电子,27.6534,,61.7395,36.1964,346.62,37.7878,1395,得润电子,45.7174,15.0983,60.3302,39.4523,-0.5634,37.1877
599,600865,百大集团,百货,浙江,22.82,3.76,3.76,212987.22,64105.13,14043.25,23346.42,0.62,0.081,4.56,1.62,19940809,80330.36,2.14,-21.77,100.28,30.27,14.0,31025.0,1694,百大集团,-2.9109,-37.3845,7.6294,-20.0424,-37.415,7.6294,1813,百大集团,0.4086,-28.5924,10.127,-15.49,-28.5772,10.127,1629,百大集团,9.2215,-18.4026,10.0913,-1.4307,-18.3432,10.0913,2141,百大集团,4.8503,-9.6179,10.5097,-4.0641,-9.7561,10.5097,1586,百大集团,-5.9668,-15.7076,9.8486,-3.7659,-15.2174,9.8486,1675,百大集团,-6.8942,-9.5514,6.3501,-7.13,-9.5048,6.3501,1857,百大集团,-7.9548,-10.5361,5.8629,1.8059,-10.5072,5.8629,2674,百大集团,-2.9216,-34.2693,15.4765,16.0118,-32.4324,15.4765,2366,百大集团,1.3899,-47.8853,15.8172,15.8631,-48.7179,15.8172,2625,百大集团,-0.1224,-41.2711,16.5509,17.242,-43.3962,16.5509,2679,百大集团,-2.883,-37.4294,14.3911,15.2992,-37.247,14.3911,2875,百大集团,-10.6972,-47.6738,-0.9685,3.9598,-48.0,-0.9685,413,百大集团,-21.7694,100.2818,-1.6864,4.1939,102.5,-1.6864
600,603008,喜临门,家居用品,浙江,40.09,3.15,3.95,611648.31,334617.09,119708.75,143985.13,3.65,0.135,6.99,3.1,20120717,94366.96,2.39,83.57,23.63,31.48,6.01,12687.0,946,喜临门,21.1292,10.6799,4.8767,28.6653,14.2857,4.9463,1026,喜临门,15.9788,11.9692,5.118,69.3212,12.5,5.1364,671,喜临门,17.2067,30.4282,10.4896,54.5284,33.3333,10.4806,325,喜临门,30.753,104.0663,16.5668,62.1871,103.3333,16.5786,932,喜临门,15.2686,17.6703,16.5892,75.0897,12.5,16.5722,1165,喜临门,22.9695,11.8423,12.3611,11.8811,11.1111,12.3768,885,喜临门,30.3928,30.3163,86.9621,53.706,27.7778,87.0071,1880,喜临门,31.3895,7.0144,80.4123,35.7542,0.0,80.4338,752,喜临门,38.8735,51.0043,88.7131,30.1084,22.2222,87.1836,777,喜临门,50.5858,51.7473,87.3256,38.8904,20.0,84.2976,967,喜临门,44.4034,40.069,12.421,7.8724,13.0435,10.6819,966,喜临门,43.7615,38.7708,13.5792,32.2507,21.3115,11.8566,983,喜临门,83.5667,32.2824,12.5037,32.9469,27.2727,7.8048
601,300261,雅本化学,农药化肥,江苏,37.28,5.03,6.42,365059.59,184247.27,92023.53,111837.95,1.74,0.057,3.22,2.66,20110906,27799.35,0.43,102.73,113.21,20.01,7.46,10403.0,524,雅本化学,51.8272,38.7604,6.4889,35.2793,7.332000000000002,6.7104,750,雅本化学,16.8472,25.8434,6.3806,14.9705,30.9322,6.7797,602,雅本化学,17.452,36.1901,7.0525,24.2145,8.1272,7.4905,1217,雅本化学,19.213,18.8189,6.697,20.3081,-6.81,6.8399,1790,雅本化学,-31.6497,-34.7005,45.0901,33.0626,-50.8539,46.7875,2256,雅本化学,-11.3849,-63.6551,43.122,25.7301,-80.9871,44.5912,2307,雅本化学,3.0371,-53.3896,42.195,24.1906,-66.9935,43.6748,2915,雅本化学,5.4855,-68.2912,39.1226,20.0571,-80.5128,40.3105,685,雅本化学,103.8452,59.0981,1.6056,2.1547,24.3243,1.4771,282,雅本化学,88.3851,205.9795,2.4516,15.0694,230.2128,2.3771,396,雅本化学,81.736,124.3404,2.5465,17.4353,132.6733,2.4471,169,雅本化学,82.5747,275.04200000000003,85.6357,67.9961,348.3553,88.9518,289,雅本化学,102.7288,149.9337,106.2774,84.2555,-100.0,101.1464
