,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,year,quanter
0,002670,国盛金控,4038.9027,0.0465,,0.0815,12.7285,2018,1
1,000627,天茂集团,106.7493,0.0912,22.8118,0.1087,82.3892,2018,1
2,600247,*ST成城,25.9827,0.5329,19.024,0.5558,67.5694,2018,1
3,600155,宝硕股份,10.8318,0.0124,6.8863,0.021,2.6094,2018,1
4,000046,泛海控股,10.4512,0.0171,2.1756,0.02,3.3597,2018,1
5,300059,东方财富,6.6292,0.0539,8.0911,0.0807,9.8654,2018,1
6,000809,铁岭新城,5.7562,0.0057,1.1204,0.012,2.6375,2018,1
7,000517,荣安地产,5.5351,0.0323,,0.0437,5.9904,2018,1
8,600053,九鼎投资,4.2222,0.139,14.7679,0.2358,27.7345,2018,1
9,300189,神农基因,3.714,0.0992,17.5345,0.5996,71.5925,2018,1
10,600598,北大荒,3.7008,0.2489,8.8613,0.6259,64.1505,2018,1
11,000576,广东甘化,3.7001,0.2652,192.2317,5.8228,583.8132,2018,1
12,300483,沃施股份,2.3764,0.132,18.4229,0.1816,18.1564,2018,1
13,300023,宝德股份,2.1721,0.0443,,0.0541,6.604,2018,1
14,000567,海德股份,2.0231,0.0235,7.377999999999999,0.0534,6.9755,2018,1
15,600225,天津松江,1.8876,0.0097,,0.011000000000000001,1.5682,2018,1
16,603377,东方时尚,1.7574,0.10099999999999999,53.9148,0.2554,31.2865,2018,1
17,600318,新力金融,1.6845,0.0374,5.0635,0.0574,9.3274,2018,1
18,002039,黔源电力,1.5530000000000002,0.0354,12.7948,0.0482,27.2398,2018,1
19,300295,三六五网,1.4673,0.0926,7.1715,0.3468,34.6836,2018,1
20,000791,甘肃电投,1.4649,0.0228,,0.0329,28.1933,2018,1
21,002167,东方锆业,1.4507,0.0773,17.4503,0.1243,18.342,2018,1
22,000029,深深房A,1.3732,0.0492,,0.1391,14.1904,2018,1
23,600515,海航基础,1.3544,0.0188,2.7447,0.0349,4.9527,2018,1
24,002095,生意宝,1.3118,0.071,7.3763,0.3129,31.546,2018,1
25,000056,皇庭国际,1.3047,0.0204,4.4599,0.0347,14.4066,2018,1
26,600846,同济科技,1.2913,0.1332,15.3426,0.1859,25.9695,2018,1
