,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,year,quanter
3065,002674,兴业科技,0.83,0.56,8.2698,13.2999,0.0548,2358.1486,9.7252,2015,4
3066,300239,东宝生物,0.83,2.01,19.0679,5.8896,0.0255,291.9161,1.2667,2015,4
3067,002524,光正集团,0.83,1.17,34.2837,6.4973,0.0129,555.1853,1.103,2015,4
3068,000707,*ST双环,0.82,0.3,16.5199,11.8184,0.0254,3882.7859999999996,8.3654,2015,4
3069,000560,我爱我家,0.82,2.3,29.5442,30.8275,0.0263,1338.4842,1.1437,2015,4
3070,000816,*ST慧业,0.81,1.46,10.3872,27.4116,0.0193,1877.1932,1.3230000000000002,2015,4
3071,002388,新亚制程,0.81,0.8,18.4494,4.6116,0.0115,569.4444,1.425,2015,4
3072,002667,鞍重股份,0.81,3.85,43.4743,6.2288,0.0458,161.5744,1.1883,2015,4
3073,300228,富瑞特装,0.81,1.25,30.0017,16.375,0.055999999999999994,1303.3941,4.4608,2015,4
3074,600389,江山股份,0.81,0.39,10.1473,10.5708,0.0533,2677.2082,13.5212,2015,4
3075,600397,*ST安煤,0.79,0.54,9.5877,27.8661,0.0281,5116.4631,5.1683,2015,4
3076,000521,美菱电器,0.78,0.25,20.1274,26.4963,0.0346,10415.8292,13.6379,2015,4
3077,600888,新疆众和,0.76,0.32,5.8948,24.6697,0.0384,7627.4391,11.895,2015,4
3078,000056,皇庭国际,0.76,14.29,72.4808,38.345,0.0668,268.288,0.4674,2015,4
3079,600615,丰华股份,0.74,4.35,22.5961,3.5633,0.0189,81.84,0.4352,2015,4
3080,600782,新钢股份,0.74,0.23,3.4195,60.5596,0.0434,25371.0136,18.2073,2015,4
3081,300126,锐奇股份,0.73,1.37,17.9677,7.6789,0.0249,557.1537,1.8130000000000002,2015,4
3082,300125,易世达,0.73,2.14,21.6091,8.029,0.068,374.4105,3.1729,2015,4
3083,600726,华电能源,0.73,0.25,11.374,23.3959,0.0118,9200.7297,4.6783,2015,4
3084,300143,星普医科,0.73,3.77,31.1975,10.5766,0.0717,280.1372,1.9005,2015,4
3085,600497,驰宏锌锗,0.71,0.27,12.0595,49.5256,0.0296,18113.571,10.8623,2015,4
3086,002628,成都路桥,0.71,1.29,12.0717,18.7444,0.0254,1444.9763,1.9595,2015,4
3087,600586,金晶科技,0.7,0.84,16.8547,27.9318,0.0191,3324.6888,2.2789,2015,4
3088,601608,中信重工,0.7,1.54,27.3565,61.9677,0.0148,4020.5226,0.9603,2015,4
3089,600227,赤天化,0.7,0.73,8.8641,20.2483,0.0213,2761.4782,2.9056,2015,4
3090,600198,*ST大唐,0.69,0.33,12.8865,28.4439,0.0322,8602.5888,9.7523,2015,4
3091,000859,国风塑业,0.68,0.87,8.8157,9.5311,0.0128,1090.2793,1.4744,2015,4
3092,600107,美尔雅,0.65,0.73,45.4888,3.4389,0.0095,470.9538,1.3082,2015,4
