,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,year,quanter
0,000534,万泽股份,106.0343,0.0664,,0.1423,15.1101,2017,1
1,000627,天茂集团,56.8236,0.0708,39.2436,0.0844,295.9926,2017,1
2,000918,嘉凯城,12.6572,0.07200000000000001,,0.0808,9.8604,2017,1
3,000638,万方发展,12.2882,0.1937,,0.2317,24.8385,2017,1
4,002828,贝肯能源,9.764,0.0465,,0.3282,32.9445,2017,1
5,000567,海德股份,9.2533,0.2936,19.9289,0.3613,36.1291,2017,1
6,000010,美丽生态,7.4521,0.2049,,0.4823,48.7309,2017,1
7,000585,*ST东电,6.1549,0.0926,,0.18600000000000003,30.0521,2017,1
8,000537,广宇发展,5.3494,0.0476,,0.057,8.7095,2017,1
9,300023,宝德股份,4.9724,0.11199999999999999,102.4922,0.1388,16.0355,2017,1
10,000736,中交地产,4.3566,0.0411,,0.0464,8.3684,2017,1
11,000548,湖南投资,4.0681,0.0788,436.9032,0.2343,23.4967,2017,1
12,600892,大晟文化,3.3042,0.039,13.7294,0.1095,11.0267,2017,1
13,600598,北大荒,3.0471,0.1921,7.9152,0.4903,49.4912,2017,1
14,600695,绿庭投资,2.9726,0.023,1.1025,0.0529,10.232999999999999,2017,1
15,600854,春兰股份,2.9406,0.0581,,0.2423,24.5469,2017,1
16,600683,京投发展,2.5323,0.0133,,0.0149,2.2685,2017,1
17,002670,国盛金控,2.4918,0.0283,20.3529,0.0517,7.8539,2017,1
18,002447,晨鑫科技,2.4582,0.0406,5.8254,0.3074,60.7189,2017,1
19,000820,神雾节能,2.1322,0.239,4.3852,0.5977,70.1407,2017,1
20,600052,浙江广厦,2.0355,0.0524,11.6403,0.1011,10.5925,2017,1
21,002244,滨江集团,2.0214,0.0483,6.435,0.0693,8.5701,2017,1
22,300191,潜能恒信,1.9866,0.0072,,0.1139,11.7608,2017,1
23,600106,重庆路桥,1.9799,0.0172,2.4592,0.0357,36.0727,2017,1
