,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,year,quanter
2807,300474,景嘉微,-0.1778,-0.0293,-0.5429999999999999,-0.2808,-36.7104,2017,2
2808,603929,亚翔集成,-0.17800000000000002,-0.1121,-2.1372,-0.2828,-28.2755,2017,2
2809,600608,ST沪科,-0.17800000000000002,-0.0902,,-0.0813,-20.9613,2017,2
2810,600468,百利电气,-0.1791,-0.0399,-2.5124,-0.1422,-15.1385,2017,2
2811,000017,深中华A,-0.18,-0.1799,,-0.2605,-26.0532,2017,2
2812,002356,赫美集团,-0.1801,-0.044000000000000004,-2.1677,-0.0672,-7.3359,2017,2
2813,000939,凯迪生态,-0.1809,-0.0103,-2.6258,-0.0155,-4.1519,2017,2
2814,600243,青海华鼎,-0.1809,-0.0289,-1.8619999999999999,-0.0811,-9.1095,2017,2
2815,002151,北斗星通,-0.1814,-0.0253,-7.5818,-0.0945,-10.8353,2017,2
2816,603660,苏州科达,-0.1815,-0.0844,-1.6541,-0.4481,-45.2888,2017,2
2817,600622,光大嘉宝,-0.1819,-0.0177,-0.6915,-0.0335,-4.0249,2017,2
2818,000066,中国长城,-0.182,-0.0584,-2.3452,-0.1239,-20.8633,2017,2
2819,002065,东华软件,-0.1823,-0.0336,-0.7498,-0.1026,-10.4176,2017,2
2820,603578,三星新材,-0.1823,-0.0554,-1.0045,-0.4618,-46.7063,2017,2
2821,300217,东方电热,-0.1826,-0.0539,-3.0836,-0.2276,-25.3344,2017,2
2822,002676,顺威股份,-0.1829,-0.0754,-12.4145,-0.168,-17.2535,2017,2
2823,600629,华建集团,-0.1834,-0.0604,-4.3569,-0.0975,-10.2937,2017,2
2824,002586,围海股份,-0.1835,-0.023,-8.4524,-0.0489,-6.2022,2017,2
2825,002721,金一文化,-0.1836,-0.0913,-15.5819,-0.1214,-15.1754,2017,2
2826,002325,洪涛股份,-0.1836,-0.0333,-3.714,-0.0501,-6.1827,2017,2
2827,600218,全柴动力,-0.1836,-0.0857,-6.5633,-0.1847,-18.9905,2017,2
2828,000599,青岛双星,-0.1836,-0.0492,-7.0426,-0.0762,-10.440999999999999,2017,2
2829,603100,川仪股份,-0.1836,-0.0574,-3.7928,-0.098,-11.4214,2017,2
2830,002912,中新赛克,-0.1844,-0.0313,-0.8441,-0.0781,-7.9823,2017,2
2831,002271,东方雨虹,-0.1845,-0.0754,-1.6181,-0.1563,-15.8886,2017,2
2832,002848,高斯贝尔,-0.1845,-0.0596,-6.9903,-0.1773,-18.6933,2017,2
2833,000967,盈峰环境,-0.1846,-0.0565,-2.0438,-0.127,-16.8447,2017,2
2834,300344,太空智造,-0.185,-0.0219,,-0.0421,-4.8952,2017,2
2835,002315,焦点科技,-0.1852,-0.0476,-3.6905,-0.2111,-23.3448,2017,2
2836,600764,中国海防,-0.1857,-0.0216,-0.7629,-0.0462,-4.906000000000001,2017,2
2837,002816,和科达,-0.1858,-0.0407,-3.5461,-0.1352,-13.8185,2017,2
2838,300135,宝利国际,-0.18600000000000003,-0.0436,-6.9112,-0.0769,-8.0243,2017,2
2839,000833,贵糖股份,-0.1863,-0.0454,-4.6917,-0.1907,-27.0108,2017,2
2840,603018,中设集团,-0.1863,-0.0419,-1.5456,-0.0752,-7.5683,2017,2
2841,002424,贵州百灵,-0.187,-0.0523,-0.9457,-0.1915,-19.8315,2017,2
2842,300077,国民技术,-0.1871,-0.0202,-1.5122,-0.2619,-27.4634,2017,2
2843,000605,渤海股份,-0.1873,-0.0242,-2.5436,-0.0452,-7.3156,2017,2
2844,002429,兆驰股份,-0.1878,-0.052000000000000005,-2.1752,-0.1276,-13.6681,2017,2
2845,300688,创业黑马,-0.1887,-0.053,-0.877,-0.2089,-21.9039,2017,2
2846,002788,鹭燕医药,-0.1889,-0.1517,-10.1523,-0.2222,-22.8383,2017,2
2847,600592,龙溪股份,-0.1899,-0.0295,-2.9842,-0.0955,-24.2559,2017,2
2848,300333,兆日科技,-0.1902,-0.0218,-0.7877,-1.186,-118.602,2017,2
2849,002593,日上集团,-0.1903,-0.0433,-5.2003,-0.0823,-9.1028,2017,2
2850,300266,兴源环境,-0.1904,-0.0385,-1.1473,-0.066,-7.4133,2017,2
2851,300517,海波重科,-0.1907,-0.0263,-1.9757,-0.0694,-7.0015,2017,2
2852,600238,*ST椰岛,-0.1909,-0.0451,,-0.0927,-12.654000000000002,2017,2
2853,002863,今飞凯达,-0.1912,-0.0617,-6.4982,-0.0823,-9.846,2017,2
2854,002388,新亚制程,-0.1915,-0.0402,-1.48,-0.1063,-10.745999999999999,2017,2
2855,300500,启迪设计,-0.1916,-0.0452,-1.1246,-0.2326,-23.3039,2017,2
2856,600340,华夏幸福,-0.1918,-0.0132,-0.7894,-0.0159,-2.1333,2017,2
2857,002306,*ST云网,-0.1919,-0.0949,,-0.0859,-10.4378,2017,2
2858,002212,南洋股份,-0.1921,-0.0394,,-0.2761,-62.6116,2017,2
2859,300284,苏交科,-0.1923,-0.0489,-2.8748,-0.075,-9.8096,2017,2
2860,600083,博信股份,-0.1925,-0.0593,,-0.1243,-12.6826,2017,2
2861,300627,华测导航,-0.1929,-0.0591,-1.5537,-0.2353,-28.9058,2017,2
2862,002203,海亮股份,-0.1937,-0.1611,-5.7439,-0.2434,-25.3081,2017,2
2863,002476,宝莫股份,-0.1948,-0.0263,,-0.0888,-19.1761,2017,2
2864,000761,本钢板材,-0.1952,-0.0741,-7.6369,-0.0991,-11.3062,2017,2
2865,002017,东信和平,-0.1957,-0.0738,-4.9545,-0.1873,-19.9893,2017,2
2866,601766,中国中车,-0.1974,-0.0485,-3.8031,-0.0772,-8.7748,2017,2
2867,600982,宁波热电,-0.1977,-0.0388,-2.1217,-0.1272,-25.1085,2017,2
2868,002537,海联金汇,-0.1981,-0.0283,-1.8523,-0.0664,-6.6964,2017,2
2869,000016,深康佳A,-0.1985,-0.1096,-65.8214,-0.1307,-13.2822,2017,2
2870,000004,国农科技,-0.1994,-0.0255,,-0.1038,-12.6529,2017,2
2871,600178,东安动力,-0.1999,-0.0506,-4.9241,-0.0989,-10.8311,2017,2
2872,601727,上海电气,-0.2004,-0.0402,-3.1659,-0.0597,-6.7559,2017,2
2873,002919,名臣健康,-0.2011,-0.1282,-2.7211,-0.3351,-33.6403,2017,2
2874,002335,科华恒盛,-0.2015,-0.0317,-0.625,-0.0843,-12.0387,2017,2
2875,000423,东阿阿胶,-0.2015,-0.0509,-0.655,-0.2014,-20.6109,2017,2
2876,300157,恒泰艾普,-0.20199999999999999,-0.0486,-4.4489,-0.1304,-16.8983,2017,2
2877,002488,金固股份,-0.2027,-0.0397,,-0.1003,-11.0884,2017,2
2878,300527,华舟应急,-0.2036,-0.0673,-2.1653,-0.1578,-16.689,2017,2
2879,300722,新余国科,-0.2046,-0.0424,-1.1403,-0.0865,-19.8722,2017,2
2880,600846,同济科技,-0.2047,-0.0319,-4.6267,-0.0442,-5.4898,2017,2
2881,000925,众合科技,-0.2048,-0.019,,-0.0323,-3.5782,2017,2
2882,002780,三夫户外,-0.2053,-0.0612,-106.6003,-0.2152,-31.6584,2017,2
2883,300457,赢合科技,-0.2064,-0.0582,-1.2777,-0.1047,-11.5072,2017,2
2884,000777,中核科技,-0.2077,-0.0364,-213.6621,-0.1052,-12.6269,2017,2
2885,002030,达安基因,-0.2084,-0.039,-2.2473,-0.1057,-14.7181,2017,2
2886,002777,久远银海,-0.2088,-0.047,-1.2899,-0.0904,-10.888,2017,2
2887,600602,云赛智联,-0.209,-0.0669,-2.5326,-0.2876,-30.5561,2017,2
2888,000400,许继电气,-0.21,-0.0465,-4.1971,-0.0962,-10.7048,2017,2
2889,600110,诺德股份,-0.2101,-0.0517,-2.4878,-0.0839,-10.6881,2017,2
2890,300711,广哈通信,-0.2105,-0.0781,-0.9151,-0.3221,-33.8442,2017,2
2891,600879,航天电子,-0.2112,-0.0545,-5.4735,-0.114,-12.1824,2017,2
2892,002184,海得控制,-0.212,-0.0805,-25.3248,-0.1859,-18.917,2017,2
2893,002432,九安医疗,-0.2132,-0.0303,,-0.0827,-13.1024,2017,2
2894,300280,南通锻压,-0.2138,-0.0301,-20.6334,-0.1281,-13.3415,2017,2
2895,000572,海马汽车,-0.2139,-0.0688,-49.2622,-0.1761,-18.1663,2017,2
2896,002668,奥马电器,-0.2147,-0.0789,-3.4206,-0.1242,-17.8859,2017,2
2897,603887,城地股份,-0.2149,-0.0774,-2.0548,-0.2286,-23.611,2017,2
2898,000701,厦门信达,-0.215,-0.2323,-55.2137,-0.3078,-32.3914,2017,2
2899,002877,智能自控,-0.2151,-0.0407,-1.4213,-0.1483,-17.1522,2017,2
2900,300618,寒锐钴业,-0.2154,-0.0812,-0.7822,-0.2211,-26.0184,2017,2
2901,002689,远大智能,-0.2154,-0.0516,-3.5636,-0.1291,-15.7071,2017,2
2902,600882,广泽股份,-0.2155,-0.0368,,-0.0676,-7.9097,2017,2
2903,300510,金冠电气,-0.2159,-0.0171,-1.3336,-0.0524,-5.8127,2017,2
2904,002615,哈尔斯,-0.2166,-0.1076,-2.0881,-0.2342,-35.8643,2017,2
2905,002459,天业通联,-0.2171,-0.0177,-7.4672,-0.1711,-17.3033,2017,2
2906,002822,中装建设,-0.2173,-0.0762,-4.3207,-0.1573,-15.7703,2017,2
2907,600651,飞乐音响,-0.2175,-0.053,-2.5674,-0.0744,-10.3639,2017,2
2908,603458,勘设股份,-0.2191,-0.0673,-1.178,-0.1055,-10.6515,2017,2
2909,002348,高乐股份,-0.2192,-0.0465,-2.0025,-1.107,-137.8097,2017,2
2910,603183,建研院,-0.2193,-0.0876,-1.7268,-0.2777,-28.2597,2017,2
2911,000607,华媒控股,-0.2195,-0.0561,-3.6321,-0.1778,-18.2314,2017,2
2912,603022,新通联,-0.2197,-0.0872,-3.9265,-0.5247,-54.3109,2017,2
2913,300167,迪威迅,-0.2201,-0.0372,,-0.1044,-10.665999999999999,2017,2
2914,300647,超频三,-0.2204,-0.052000000000000005,-1.6051,-0.2685,-40.0494,2017,2
2915,002460,赣锋锂业,-0.221,-0.0677,-0.5915,-0.1382,-15.9031,2017,2
2916,300181,佐力药业,-0.2211,-0.0468,-1.8179,-0.1682,-21.997,2017,2
2917,002059,云南旅游,-0.2212,-0.0271,-5.3628,-0.0482,-4.9648,2017,2
2918,002331,皖通科技,-0.2224,-0.0591,-3.0673,-0.2274,-22.9105,2017,2
2919,300393,中来股份,-0.2224,-0.0825,-2.2208,-0.1136,-22.0876,2017,2
2920,300312,邦讯技术,-0.2226,-0.0283,,-0.0701,-7.0841,2017,2
2921,002279,久其软件,-0.2227,-0.033,-2.2608,-0.0845,-14.0144,2017,2
2922,300021,大禹节水,-0.2227,-0.0488,-3.6798,-0.1161,-13.597999999999999,2017,2
2923,002071,长城影视,-0.2232,-0.0191,-0.7285,-0.0296,-3.3863,2017,2
2924,300170,汉得信息,-0.2233,-0.0745,-1.7701,-0.3116,-31.5923,2017,2
2925,002639,雪人股份,-0.2234,-0.027000000000000003,-10.924000000000001,-0.0845,-9.7382,2017,2
2926,600570,恒生电子,-0.2246,-0.0546,-1.0434,-0.1399,-14.6464,2017,2
2927,002169,智光电气,-0.2247,-0.0372,-1.8345,-0.1651,-18.219,2017,2
2928,600663,陆家嘴,-0.2249,-0.0158,-0.858,-0.0212,-3.4088,2017,2
2929,300422,博世科,-0.2254,-0.042,-2.3846,-0.0662,-10.1496,2017,2
2930,601038,一拖股份,-0.2258,-0.0755,-27.3419,-0.1336,-13.7863,2017,2
2931,000755,*ST三维,-0.2259,-0.0489,,-0.0518,-5.5501,2017,2
2932,300491,通合科技,-0.2261,-0.0272,,-0.1002,-11.6927,2017,2
2933,300255,常山药业,-0.2265,-0.0368,-1.3457,-0.1454,-21.548000000000002,2017,2
2934,600806,退市昆机,-0.2272,-0.0323,,-0.0379,-4.5488,2017,2
2935,002538,司尔特,-0.2278,-0.0504,-2.5347,-0.1836,-39.6273,2017,2
2936,300416,苏试试验,-0.228,-0.0596,-1.8668,-0.1805,-18.3352,2017,2
2937,000713,丰乐种业,-0.2293,-0.0773,,-0.2482,-26.234,2017,2
2938,002569,步森股份,-0.2303,-0.0447,,-0.185,-33.1635,2017,2
2939,600074,*ST保千,-0.2304,-0.0505,-1.3771,-0.1019,-13.5635,2017,2
2940,002023,海特高新,-0.2304,-0.0078,-2.6944,-0.0228,-9.6864,2017,2
2941,300600,瑞特股份,-0.2315,-0.0541,-0.9321,-0.3268,-33.1329,2017,2
2942,603366,日出东方,-0.2315,-0.040999999999999995,-3.3535,-0.096,-10.0765,2017,2
2943,600055,万东医疗,-0.2316,-0.0356,-2.9301,-0.2327,-25.5519,2017,2
2944,600257,大湖股份,-0.2339,-0.0582,-10.2949,-0.3349,-38.2433,2017,2
2945,300621,维业股份,-0.2343,-0.1036,-5.1849,-0.1692,-17.0576,2017,2
2946,002397,梦洁股份,-0.2344,-0.0695,-2.3201,-0.1666,-18.3773,2017,2
2947,002719,麦趣尔,-0.2345,-0.0441,-5.4216,-0.252,-26.2502,2017,2
2948,600583,海油工程,-0.2347,-0.0339,-4.9657,-0.1609,-17.0051,2017,2
2949,600195,中牧股份,-0.2348,-0.0575,-2.7085,-0.1504,-31.7756,2017,2
2950,600209,*ST罗顿,-0.2358,-0.0112,,-0.0621,-6.2113,2017,2
2951,600988,赤峰黄金,-0.2369,-0.0481,-2.7381,-0.1061,-17.9276,2017,2
2952,002587,奥拓电子,-0.2375,-0.0726,-1.7349,-0.28300000000000003,-29.0989,2017,2
2953,000573,粤宏远A,-0.2381,-0.025,-1.1137,-0.0582,-10.8971,2017,2
2954,000586,汇源通信,-0.2388,-0.0828,,-0.1493,-15.8214,2017,2
2955,603017,中衡设计,-0.2388,-0.0505,-1.6374,-0.1587,-16.0365,2017,2
2956,002687,乔治白,-0.2393,-0.0617,-2.2084,-0.2938,-33.887,2017,2
2957,600383,金地集团,-0.2399,-0.0177,-1.7797,-0.0255,-3.5441,2017,2
2958,300466,赛摩电气,-0.2401,-0.025,-4.3573,-0.1119,-13.2039,2017,2
2959,300116,坚瑞沃能,-0.2407,-0.0515,-2.5592,-0.0734,-8.931000000000001,2017,2
2960,600889,南京化纤,-0.24100000000000002,-0.0929,-4.9587,-0.282,-37.9378,2017,2
2961,600372,中航电子,-0.2413,-0.0357,-4.4356,-0.0548,-6.7228,2017,2
2962,002480,新筑股份,-0.2413,-0.0174,,-0.0322,-5.1166,2017,2
2963,300070,碧水源,-0.2427,-0.021,-1.3274,-0.0436,-5.6131,2017,2
2964,603803,瑞斯康达,-0.2434,-0.0725,-3.1704,-0.2238,-22.3859,2017,2
2965,002743,富煌钢构,-0.2435,-0.0554,-10.1033,-0.0856,-13.0808,2017,2
2966,300502,新易盛,-0.2437,-0.0826,-1.6752,-0.4379,-44.6853,2017,2
2967,002665,首航节能,-0.2457,-0.0407,-2.1322,-0.1185,-14.7049,2017,2
2968,002439,启明星辰,-0.2462,-0.0467,,-0.1876,-20.2251,2017,2
2969,300587,天铁股份,-0.2468,-0.0322,-1.0211,-0.3265,-35.2401,2017,2
2970,002260,*ST德奥,-0.2472,-0.0752,,-0.1061,-13.899000000000001,2017,2
2971,002515,金字火腿,-0.2472,-0.022000000000000002,-2.26,-0.1517,-24.5613,2017,2
2972,002740,爱迪尔,-0.2476,-0.0872,-6.66,-0.2205,-27.6741,2017,2
2973,000997,新大陆,-0.2483,-0.102,-1.4184,-0.2051,-20.987,2017,2
2974,600712,南宁百货,-0.2489,-0.1322,,-0.2822,-28.2213,2017,2
2975,600227,赤天化,-0.2495,-0.0218,-54.516999999999996,-0.0619,-8.6002,2017,2
2976,300492,山鼎设计,-0.2498,-0.0452,-3.7985,-0.2404,-29.9886,2017,2
2977,300155,安居宝,-0.2502,-0.0556,,-0.2445,-27.4828,2017,2
2978,600485,信威集团,-0.2505,-0.0213,-0.6623,-0.0481,-8.6591,2017,2
2979,300345,红宇新材,-0.2523,-0.0238,,-0.1146,-12.0718,2017,2
2980,603316,诚邦股份,-0.2527,-0.0661,-2.5325,-0.1632,-16.3166,2017,2
2981,000576,广东甘化,-0.2532,-0.0633,,-0.3211,-144.8618,2017,2
2982,600268,国电南自,-0.254,-0.0534,,-0.0695,-7.3136,2017,2
2983,300053,欧比特,-0.2541,-0.0338,-1.4986,-0.1885,-19.9711,2017,2
2984,002058,威尔泰,-0.2548,-0.0477,,-0.3849,-44.0763,2017,2
2985,600539,*ST狮头,-0.2554,-0.0183,-3.6403,-0.2074,-20.7396,2017,2
2986,600289,*ST信通,-0.2556,-0.0428,-6.8652,-0.2074,-20.735,2017,2
2987,002010,传化智联,-0.2567,-0.0782,-5.5855,-0.2122,-28.3862,2017,2
2988,600498,烽火通信,-0.2568,-0.0934,-5.0946,-0.1342,-13.9896,2017,2
2989,002378,章源钨业,-0.2568,-0.07200000000000001,-46.7726,-0.165,-17.7846,2017,2
2990,300374,恒通科技,-0.2575,-0.0816,-4.5864,-0.1675,-20.5956,2017,2
2991,600392,盛和资源,-0.2587,-0.07,-4.2388,-0.1849,-28.7742,2017,2
2992,300631,久吾高科,-0.2588,-0.0358,-3.0511,-0.1373,-16.9187,2017,2
2993,600339,中油工程,-0.2591,-0.0565,-8.5187,-0.0766,-7.9116,2017,2
2994,300675,建科院,-0.2606,-0.0657,-10.7669,-0.1353,-16.4451,2017,2
2995,002856,美芝股份,-0.2608,-0.0836,-4.3228,-0.1738,-17.3787,2017,2
2996,600118,中国卫星,-0.2615,-0.0633,-3.608,-0.1343,-14.6346,2017,2
2997,300040,九洲电气,-0.2616,-0.0649,-2.4755,-0.1757,-20.3735,2017,2
2998,600588,用友网络,-0.2627,-0.0443,,-0.0811,-8.4898,2017,2
2999,002096,南岭民爆,-0.2629,-0.0892,-26.35,-0.1703,-18.4836,2017,2
3000,002458,益生股份,-0.2632,-0.0406,,-0.1323,-18.405,2017,2
3001,000815,美利云,-0.2634,-0.034,,-0.1097,-16.0756,2017,2
3002,600167,联美控股,-0.2635,-0.0319,-0.6795,-0.1037,-42.6498,2017,2
3003,002908,德生科技,-0.2638,-0.0795,-1.8266,-0.2881,-29.1146,2017,2
3004,600895,张江高科,-0.2652,-0.0069,-0.4309,-0.0126,-3.0143,2017,2
3005,300274,阳光电源,-0.2669,-0.0685,-2.5899,-0.1285,-14.1529,2017,2
3006,600478,科力远,-0.2672,-0.0329,,-0.0685,-11.7556,2017,2
3007,300495,美尚生态,-0.2673,-0.0405,-1.9711,-0.0809,-9.1134,2017,2
3008,600405,动力源,-0.2677,-0.0406,,-0.0706,-8.804,2017,2
3009,002280,联络互动,-0.2677,-0.0701,-30.2522,-0.1406,-16.7744,2017,2
3010,300027,华谊兄弟,-0.2681,-0.0203,-0.7536,-0.0429,-7.8361,2017,2
3011,600609,金杯汽车,-0.2688,-0.0596,,-0.0609,-8.8104,2017,2
3012,300365,恒华科技,-0.2699,-0.0777,-1.6311,-0.218,-21.8608,2017,2
3013,002302,西部建设,-0.2711,-0.1043,,-0.1454,-16.2651,2017,2
3014,000957,中通客车,-0.2725,-0.0647,-10.0865,-0.0894,-10.7317,2017,2
3015,300234,开尔新材,-0.2735,-0.0307,-136.8001,-0.2154,-22.5391,2017,2
3016,300164,通源石油,-0.2742,-0.0391,,-0.1577,-30.1718,2017,2
3017,002451,摩恩电气,-0.2765,-0.0334,-2.6455,-0.0523,-6.3453,2017,2
3018,002338,奥普光电,-0.2769,-0.049,-1.4407,-0.4062,-62.2137,2017,2
3019,002465,海格通信,-0.2781,-0.0389,-3.0294,-0.1328,-15.5757,2017,2
3020,600728,佳都科技,-0.2787,-0.0753,-10.5154,-0.1794,-18.4576,2017,2
3021,002876,三利谱,-0.27899999999999997,-0.057,-3.3344,-0.1067,-17.89,2017,2
3022,300220,金运激光,-0.27899999999999997,-0.0591,-4.17,-0.2441,-24.7265,2017,2
3023,300382,斯莱克,-0.27899999999999997,-0.0389,-1.1129,-0.2164,-22.369,2017,2
3024,300550,和仁科技,-0.2795,-0.0506,-2.7746,-0.2881,-28.9681,2017,2
3025,300140,中环装备,-0.2804,-0.0528,-7.8001,-0.0893,-9.4584,2017,2
3026,002617,露笑科技,-0.2821,-0.0789,-2.7041,-0.1414,-16.5707,2017,2
3027,002052,同洲电子,-0.2824,-0.0568,-52.1487,-0.1097,-11.1115,2017,2
3028,600502,安徽水利,-0.2828,-0.0735,-13.8193,-0.0831,-10.3745,2017,2
3029,002090,金智科技,-0.2833,-0.0872,-4.2014,-0.1311,-19.0795,2017,2
3030,002560,通达股份,-0.2846,-0.0909,-21.5659,-0.3311,-44.2431,2017,2
