,code,name,mbrg,nprg,nav,targ,epsg,seg
2902,300156,神雾环保,-10.1022,-49.9448,7.7258,41.5749,-48.5714,10.2711
2903,300150,世纪瑞尔,11.314,-50.0509,27.631,31.7638,-47.0588,26.5521
2904,300130,新国都,9.797,-50.1541,36.8442,39.2435,-51.6667,37.3511
2905,300540,深冷股份,-22.2421,-50.3092,2.1481,6.0702,-58.4483,1.9461
2906,600131,岷江水电,-27.7163,-50.6326,10.4882,0.0043,-51.5152,10.0216
2907,300224,正海磁材,-24.8942,-51.1746,29.0048,21.5583,-68.4211,30.3988
2908,000969,安泰科技,18.8324,-51.5566,-2.6122,1.2389,-26.7766,0.5011
2909,600107,美尔雅,2.1467,-51.598,3.7727,0.561,-3.0303,4.4476
2910,601633,长城汽车,2.0803,-52.2133,4.0215,19.7574,-52.4221,3.8899
2911,000908,景峰医药,-2.153,-52.2765,-0.4774,-5.1664,-52.7692,-0.5738
2912,000677,恒天海龙,14.0321,-52.4598,1.2024,0.0432,-57.6923,0.7140000000000001
2913,603727,博迈科,-81.7785,-52.8556,1.6295,-16.9237,-63.5659,1.6295
2914,300235,方直科技,3.7052,-53.5183,65.3505,63.5498,-58.3333,65.5862
2915,300256,星星科技,13.0765,-53.6038,2.2102,14.3342,-55.9277,2.1311
2916,300483,沃施股份,20.038,-54.0658,0.4086,15.4144,-62.5,0.2246
2917,002631,德尔未来,41.4238,-54.2206,7.9834,15.4058,-55.1724,5.4065
2918,600765,中航重机,5.4764,-54.8661,-1.611,-9.7263,-32.2581,6.8683
2919,300466,赛摩电气,37.8257,-55.0776,25.5767,29.2408,-76.1905,25.2965
2920,600662,强生控股,-18.5228,-55.0978,-0.3659,-6.2986,-45.2571,-0.1223
2921,300074,华平股份,33.2998,-55.5789,5.4075,15.0849,-52.2812,5.5501
2922,002302,西部建设,29.4053,-55.6283,44.4875,28.7954,-67.7419,47.2534
2923,000155,川化股份,259.1443,-55.9088,28.8148,130.5792,-85.9459,5.7367
2924,600493,凤竹纺织,7.7459,-55.9953,0.8377,7.5263,-55.9788,0.8377
2925,002272,川润股份,-0.8011,-56.1934,0.546,-4.1586,-55.9078,0.5516
2926,300253,卫宁健康,26.1173,-56.2804,10.4809,10.924000000000001,-77.5612,10.9815
2927,600433,冠豪高新,18.3888,-56.575,-0.1241,-8.3551,-55.5556,0.1872
2928,600880,博瑞传播,-10.1159,-56.6163,-1.5721,-2.4809,-50.0,0.6385
2929,002017,东信和平,-20.508000000000003,-57.0606,2.8049,-2.4226,-54.1667,3.2475
2930,600310,桂东电力,96.539,-57.8998,-17.3196,15.8957,-69.7233,-23.4515
2931,002437,誉衡药业,1.9491,-58.0903,5.0881,4.5878,-57.1602,5.3197
2932,600182,S佳通,14.3595,-58.2431,-7.3005,18.6936,-59.1591,-9.6328
2933,601360,三六零,-9.6277,-58.3276,-1.3815,-6.8498,-57.3807,0.3091
2934,002746,仙坛股份,3.2926,-58.4397,3.1114,3.8129,-62.4161,3.1755
2935,601872,招商轮船,1.1665,-59.0151,-8.1317,-2.1383,-63.6364,-4.7135
2936,603021,山东华鹏,12.6631,-59.2397,-0.2427,14.2077,-82.2222,0.0552
2937,000793,华闻传媒,-25.1672,-59.3298,1.771,18.2715,-67.9021,2.8385
2938,000017,深中华A,-3.1555,-59.4211,9.1377,35.9998,-36.1702,10.6453
2939,002703,浙江世宝,1.5714,-59.4891,-0.3248,1.4307,-79.403,0.0726
2940,601918,新集能源,38.1796,-59.5092,10.8173,-2.6115,-90.3226,6.1929
2941,000750,国海证券,,-59.5651,-0.8223,-2.8725,-62.5,-0.0178
2942,603029,天鹅股份,22.1108,-59.9428,0.4841,2.1329,-63.6364,0.4521
2943,300489,中飞股份,4.4794,-60.0297,2.1052,5.6863,-60.0348,2.1052
2944,000753,漳州发展,-12.9001,-60.1507,-2.2524,-8.1066,-62.7706,2.6126
2945,300302,同有科技,-19.4906,-60.5264,6.8759,4.5511,-61.2903,6.8759
2946,300290,荣科科技,-16.7028,-60.5442,-21.5298,-5.1821,-41.8651,-19.5516
2947,600795,国电电力,2.4259,-60.6154,-2.0395,1.0554,-54.7414,-1.0068
2948,300551,古鳌科技,-9.1871,-60.7674,2.0451,-2.4324,-68.9524,2.0454
2949,000777,中核科技,-9.646,-60.8419,-0.1346,7.3809,-57.7455,0.212
