,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603045,福达合金,0.06,,,1.01,-1.87,466.72,,,05-16
1,603013,亚普股份,0.09,,,2.03,0.18,3926.12,,,05-08
2,300742,越博动力,-0.14,,,-1.31,-1.35,-798.53,,,05-07
3,603876,鼎胜新材,0.09,,,1.83,,4543.55,,,04-28
4,600933,爱柯迪,0.15,0.0,,5.55,,10564.1,1.99,,04-28
5,603301,振德医疗,0.29,,,4.91,,2202.76,,,04-28
6,603776,永安行,0.37,,,4.85,,2683.93,,,04-28
7,603848,好太太,0.09,125.0,,4.95,,3099.63,105.33,,04-28
8,603076,乐惠国际,0.22,,,3.25,,1237.71,,,04-28
9,601019,山东出版,0.11,,,3.85,,19998.63,,,04-28
10,603378,亚士创能,0.04,,,0.86,,514.93,,,04-28
11,603602,纵横通信,0.01,,,0.27,,86.27,,,04-28
12,603711,香飘飘,0.06,,,1.69,,2095.76,,,04-28
13,603922,金鸿顺,0.31,,,5.79,,3020.61,,,04-28
14,603809,豪能股份,0.45,,,4.46,,3567.11,,,04-28
15,603214,爱婴室,0.14,,,3.33,,1020.06,,,04-28
16,601108,财通证券,0.11,,,2.47,,38491.68,,,04-28
17,603043,广州酒家,0.08,,,2.8,,2685.28,,,04-28
18,603080,新疆火炬,0.22,,,5.06,,2304.74,,,04-28
19,603912,佳力图,0.2,66.67,,7.61,,2184.39,87.16,,04-28
20,002928,华夏航空,0.22,,,9.3,,7742.16,,,04-28
21,601619,嘉泽新能,0.02,,,1.39,,2889.83,,,04-28
22,603607,京华激光,0.35,,,7.92,,2415.74,,,04-28
23,603363,傲农生物,0.07,,,4.86,,2354.39,,,04-28
24,600901,江苏租赁,0.13,,,5.38,,29770.26,,,04-28
25,603181,皇马科技,0.21,,,4.62,,3118.27,,,04-28
26,603890,春秋电子,0.3,,,6.91,,3069.41,,,04-28
27,603477,振静股份,0.06,,,2.53,,1110.31,,,04-28
28,603106,恒银金融,0.13,,,3.75,,2802.73,,,04-28
29,601086,国芳集团,0.09,,,3.72,,4473.96,,,04-28
30,603348,文灿股份,0.21,,,3.32,,3386.95,,,04-28
31,603383,顶点软件,0.02,,,0.28,,132.2,,,04-28
32,603655,朗博科技,0.09,,,2.6,,750.72,,,04-28
33,603683,晶华新材,0.09,,,1.87,,895.43,,,04-28
34,603127,昭衍新药,-0.11,,,-2.7,,-691.73,,,04-28
35,603661,恒林股份,0.72,,,7.98,,5383.82,,,04-28
36,002884,凌霄泵业,0.65,,,6.57,,3785.85,,,04-28
37,002901,大博医疗,0.16,,,9.38,,5646.52,,,04-28
38,603917,合力科技,0.11,,,2.19,,890.54,,,04-28
39,603648,畅联股份,0.2,,,6.16,,5512.64,,,04-27
40,300737,科顺股份,0.04,,,1.53,,1936.13,,,04-27
