,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
591,300360,炬华科技,4.4545,4.0756,208.8033,-1123.2841,80.6005,19.3995
592,300576,容大感光,4.2003,3.585,55.4666,-5013.1798,80.5993,19.4007
593,002550,千红制药,4.1095,3.7582,195.9848,-139.7708,80.5734,19.4266
594,002440,闰土股份,3.4326,2.4875,31.5108,3253.5029999999997,80.564,19.436
595,300468,四方精创,3.2965,3.2728,239.3922,-3033.3954,80.5621,19.4379
596,300287,飞利信,3.1374,2.8351,90.7054,-3376.8674,80.5388,19.4612
597,000592,平潭发展,4.3373,2.3682,167.0157,121.5657,80.5055,19.4945
598,300112,万讯自控,3.4802,2.9832,166.9296,-353669.3961,80.4741,19.5259
599,002337,赛象科技,4.2183,3.2901,98.955,230.9672,80.46,19.54
600,002634,棒杰股份,2.1288,1.8473,123.0546,1310.4677,80.4036,19.5964
601,600084,中葡股份,4.0391,1.7027,135.077,-325.8298,80.4001,19.5999
602,002425,凯撒文化,1.7618,1.5465,46.2214,1089.3768,80.3794,19.6206
603,002150,通润装备,3.8562,3.4132,162.9313,781.9287,80.3595,19.6405
604,600650,锦江投资,1.9780000000000002,1.7905,147.685,-3596.5553,80.3267,19.6733
605,002651,利君股份,3.8304,3.307,186.4733,-1052.11,80.3141,19.6859
606,603997,继峰股份,3.6321,2.7604,109.8657,15264.2307,80.3089,19.6911
607,300233,金城医药,2.0469999999999997,1.7451,80.8765,2014.2961,80.2966,19.7034
608,603305,旭升股份,2.5787,2.075,86.5592,9898.5685,80.2863,19.7137
