,code,name,mbrg,nprg,nav,targ,epsg,seg
0,600856,中天能源,436.9884,101898.6647,1763.3125,924.5691,56900.0,1326.3392
1,600061,国投资本,-51.6473,95500.101,4175.412,8008.1772,13200.0,4169.1604
2,002027,分众传媒,2075.0779,51267.4479,856.0008,2016.1562,37650.0,828.28
3,600876,洛阳玻璃,8.0999,39104.742,,24.3095,776.5625,463.4626
4,000018,神州长城,36306.8296,7972.9489,888.6494,2078.4441,5805.5118,876.8334
5,600466,蓝光发展,4309.373,7495.6633,1797.3798,7455.7076,1277.0035,1386.3546
6,600297,广汇汽车,25121.1241,6113.3814,2172.2409,4932.817,307.3423,2079.7302
7,002102,冠福股份,-29.761,5882.687,41.3777,9.1716,2600.0,41.056000000000004
8,600136,当代明诚,507.5526,5079.2761,529.4529,536.0273,3400.0,545.0379
9,600981,汇鸿集团,323.9597,4771.6659,723.7598,537.1782,1195.1807,685.2027
10,600753,东方银星,8.2839,4451.2262,14.5097,0.3934,9966.6667,38.1013
11,002239,奥特佳,451.8998,3747.1809,509.35400000000004,833.7285,833.3333,506.9745
12,002425,凯撒文化,16.8066,3185.9376,31.6079,49.8033,850.0,34.7706
13,000008,神州高铁,321.5999,2345.2654,386.0129,432.523,160.0,408.9789
14,002619,艾格拉斯,30.2527,2135.0443,464.912,257.0588,883.3333,478.6252
15,600629,华建集团,779.9962,2128.548,-29.0088,169.0727,3116.1538,-5.4546
16,300317,珈伟股份,179.685,2113.679,283.2689,367.8253,730.3082,294.4515
17,002323,雅百特,136.5749,2020.6996,-28.4784,-3.5224,1097.0865,-28.4784
18,002680,长生生物,643.8662,1966.4416,362.4864,371.42900000000003,439.3333,362.3103
19,002411,必康股份,90.8379,1791.3518,488.2893,465.5419,684.25,502.0616
20,000576,广东甘化,-16.3752,1672.0787,17.246,34.4632,1900.0,17.3787
21,002395,双象股份,23.3064,1621.0967,2.5051,2.1878,190.3587,1.7969
22,000615,京汉股份,247.2918,1573.0341,150.1544,392.2838,771.4286,111.67399999999999
23,600074,*ST保千,124.0313,1541.4115,94.351,164.3629,520.6897,132.8689
24,300033,同花顺,442.9069,1483.3506,78.5306,125.0556,709.0909,78.5306
25,002555,三七互娱,678.4336,1472.7435,30.6168,35.3714,132.0,34.7333
26,002127,南极电商,-75.26100000000001,1344.4203,164.9105,48.7085,2850.0,178.4033
27,600533,栖霞建设,101.9106,1323.3925,9.8956,-7.9993,1338.2114,10.5231
28,600299,安迪苏,58.9757,1293.2466,1274.6461,-1.5893,23.4043,924.4217
29,300242,明家联合,433.0351,1250.1512,660.8923,716.3032,420.0,660.8923
30,600338,西藏珠峰,-3.2534,1246.0885,985.8628,141.8001,353.8889,1664.5791
31,002074,国轩高科,210.0482,1137.4456,478.6269,426.9541,433.3333,509.2722
32,600889,南京化纤,-14.2968,1128.2527,33.1784,-25.8059,8177.7778,49.4224
33,300063,天龙集团,89.3393,1106.0148,193.3547,179.2823,2700.0,216.5731
