code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300540,深冷股份,专用机械,四川,0.0,0.43,0.8,98665.21,92937.18,1393.32,33366.78,4.17,-0.052000000000000005,8.04,3.38,20160823,19681.17,2.46,44.58,13.32,12.85,-11.87,10359.0
300084,海默科技,石油开采,甘肃,0.0,3.1,3.85,292281.09,140725.27,26025.06,122749.36,3.19,-0.049,4.54,1.57,20100520,13799.82,0.36,40.84,-541.36,34.72,-22.68,26019.0
002828,贝肯能源,石油开采,新疆,0.0,0.58,1.2,141358.09,90169.03,33466.73,36892.4,3.08,-0.055999999999999994,7.4,4.13,20161208,34404.28,2.87,107.55,24.61,28.18,-70.17,14718.0
002633,申科股份,机械基件,浙江,0.0,1.49,1.5,60571.71,32491.63,16400.73,30472.23,2.03,-0.025,3.45,3.77,20111122,4455.53,0.3,-19.63,-295.87,24.31,-15.12,12475.0
002596,海南瑞泽,其他建材,海南,111.21,7.26,10.74,627061.63,311202.97,63895.71,125162.97,1.17,0.027000000000000003,2.79,4.37,20110707,66317.81,0.62,39.69,273.71,23.82,4.67,65018.0
000735,罗 牛 山,农业综合,海南,12.23,10.6,11.52,648092.25,184335.61,194501.98,158896.8,1.38,0.28800000000000003,3.36,4.2,19970611,102907.93,0.89,-63.64,284.81,16.97,167.48,140000.0
603986,DR兆易创,半导体,北京,104.31,1.47,2.84,252843.13,150107.56,11524.75,72803.56,2.57,0.315,6.03,21.79,20160818,85686.9,3.02,19.71,28.55,38.24,16.5,21412.0
603603,博天环境,环境保护,北京,74.33,2.35,4.0,918792.38,421876.94,7484.81,29792.47,0.74,0.09699999999999999,3.37,8.54,20170217,59943.61,1.5,51.19,53.0,25.11,6.12,21521.0
002929,润建通信,通信设备,广西,74.77,0.55,2.21,391561.0,380963.84,6164.6,140462.19,6.36,0.24,11.25,4.71,20180301,74133.34,3.36,0.0,0.0,24.49,5.95,51515.0
300742,越博动力,汽车配件,江苏,0.0,0.2,0.78,172162.06,141000.42,15270.87,42547.3,5.42,-0.127,11.53,6.87,20180508,17342.2,2.21,0.0,0.0,41.85,-22.57,39261.0
