,code,name,mbrg,nprg,nav,targ,epsg,seg,year,quanter
0,600061,国投资本,-31.5626,109202.7257,4165.6383,8733.6218,13233.3333,4152.7556,2015,2
1,002555,三七互娱,1609.517,14911.6547,355.2273,426.3016,1188.6598,299.156,2015,2
2,002099,海翔药业,128.0181,13126.3073,416.7379,89.7606,2150.0,416.9303,2015,2
3,002168,深圳惠程,-56.9078,12219.8891,-17.0855,-22.9734,4900.0,1.095,2015,2
4,600485,信威集团,421.7233,11270.9526,2229.8954,2118.1469,265.9375,2189.3347,2015,2
5,600856,中天能源,266.1937,9225.1958,1189.3485,478.8162,4215.0,1143.4389999999999,2015,2
6,600115,东方航空,4.0384,8289.1304,27.081999999999997,16.8983,25463.6364,27.441,2015,2
7,002143,印纪传媒,-42.1488,7978.79,149.792,28.5668,1030.9524,158.7745,2015,2
8,600297,广汇汽车,26438.9865,6165.9144,2159.7888,4822.6562,552.1836,2062.1574,2015,2
9,002356,赫美集团,170.0294,5981.4543,63.7463,93.8068,280.0,63.4925,2015,2
10,600556,ST慧球,66.0522,5809.8725,175.483,93.0616,4700.0,175.483,2015,2
11,600483,福能股份,484.0797,5068.1412,724.2474,1268.907,1295.3488,707.4138,2015,2
12,600273,嘉化能源,252.0602,4863.2721,434.3818,400.4313,1100.0,439.8679,2015,2
13,000615,京汉股份,-7.8575,4256.3668,24.6396,-7.57,4445.4545,24.6396,2015,2
14,300059,东方财富,684.3862,3075.5666,69.4303,560.5167,1951.0,69.4304,2015,2
15,002239,奥特佳,236.1921,2436.4391,451.5182,567.7572,333.3333,484.3604,2015,2
16,000048,康达尔,68.5514,2434.2198,55.1072,29.2424,2481.1189,62.0788,2015,2
17,600428,中远海特,1.6635,2254.1056,5.5075,1.1897,3214.2857,5.7287,2015,2
18,002232,启明信息,0.5518,2060.3988,0.8595,-5.0882,35.4839,0.7344,2015,2
19,002568,百润股份,1939.9167,1789.3586,131.5404,204.3638,585.0,131.5404,2015,2
20,300033,同花顺,283.6163,1665.714,21.9126,102.54799999999999,740.0,21.9126,2015,2
21,603169,兰石重装,139.9135,1657.2447,134.9896,63.4874,813.0092,134.9896,2015,2
22,002102,冠福股份,27.1913,1307.8824,290.2238,117.3423,545.1613,302.8834,2015,2
23,600751,海航科技,-13.3587,1307.0015,30011.1354,1587.4945,332.8947,24269.9936,2015,2
24,002036,联创电子,53.1112,1272.4675,75.0698,59.3351,950.0,118.2979,2015,2
25,300156,神雾环保,1026.556,1260.6259,4.2653,9.2554,450.0,5.21,2015,2
26,601788,光大证券,,1113.8415,29.8418,233.6548,1180.0,26.3301,2015,2
27,000673,当代东方,815.5096,1106.4343,13969.3569,2386.4734,1000.0,14799.3322,2015,2
28,600769,祥龙电业,270.0928,1084.7952,19.8471,7.0677,1046.6667,20.2964,2015,2
29,600645,中源协和,71.304,1036.8582,208.2751,107.4593,1150.0,258.9275,2015,2
30,300348,长亮科技,66.1615,980.0532,16.4092,36.7605,298.2456,16.4092,2015,2
31,300208,恒顺众昇,215.4685,956.46,45.1647,60.1862,1233.7058,44.2701,2015,2
32,300345,红宇新材,52.4207,952.1145,8.1047,12.2078,694.3925,4.2454,2015,2
33,600826,兰生股份,72.2406,949.4264,91.9513,93.1135,930.6122,90.1622,2015,2
34,601111,中国国航,4.0675,916.8628,11.8622,6.2331,700.0,8.3822,2015,2
35,300297,蓝盾股份,64.6194,908.818,70.6263,81.8804,250.0,70.4782,2015,2
36,002673,西部证券,,894.9431,145.8294,383.9923,330.7692,144.651,2015,2
37,000020,深华发A,-32.155,873.7586,7.4182,-1.2514,882.3529,7.4182,2015,2
38,002130,沃尔核材,1.1193,842.8209,64.1705,52.8272,814.2857,65.2066,2015,2
39,002617,露笑科技,-21.8477,834.9677,-1.5976,-8.7873,500.0,-1.3397,2015,2
40,600365,通葡股份,337.1526,819.1108,11.8021,26.7472,150.0,0.7577,2015,2
41,600399,抚顺特钢,-10.1982,803.3223,7.3509,13.6313,673.4767,7.3509,2015,2
42,300278,华昌达,867.7652,802.3794,160.5444,245.6035,175.0,160.3634,2015,2
43,002107,沃华医药,25.2533,800.3629,0.9976,8.4416,,-5.0048,2015,2
44,000008,神州高铁,245.03799999999998,793.0251,387.5689,418.64300000000003,200.0,387.5689,2015,2
45,002074,国轩高科,132.1838,750.2015,443.3402,286.73400000000004,362.5,464.0845,2015,2
46,000607,华媒控股,-22.76,746.6804,141.8664,4.4721,1300.0,254.5557,2015,2
47,002446,盛路通信,97.1025,726.1148,93.1358,87.6381,160.0,93.525,2015,2
48,000159,国际实业,-31.5865,720.0316,4.9985,1.5092,616.4384,4.809,2015,2
49,300173,智慧松德,84.2122,713.7209,184.803,148.7234,33.3333,186.40900000000002,2015,2
50,600310,桂东电力,74.2226,711.5925,13.6538,22.0706,894.807,16.2709,2015,2
51,600814,杭州解百,240.5621,702.3502,212.8294,277.925,111.1111,133.0125,2015,2
52,600851,海欣股份,-3.656,680.8778,60.2806,53.2257,380.4734,64.3951,2015,2
53,600203,福日电子,140.1209,664.7596,143.0741,126.02600000000001,182.2727,150.3635,2015,2
54,002411,必康股份,-10.1388,660.8048,2.3442,16.6156,52.0,0.8765,2015,2
55,000822,山东海化,-29.8204,658.8517,6.2862,-31.5903,233.3333,9.8433,2015,2
56,002195,二三四五,207.9591,653.2213,777.5496,779.7247,-7.7363,805.1147,2015,2
57,002640,跨境通,506.6291,647.4694,169.5216,151.0552,300.0,171.4014,2015,2
58,300138,晨光生物,13.2827,622.4097,5.3029,-4.6351,526.5193,4.9796,2015,2
