,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date,year,quanter
0,300216,千山药机,-0.22,-466.67,,-4.02,,-7792.78,-445.75,,06-09,2018,1
1,601330,绿色动力,0.05,-16.67,2.19,2.53,-0.05,5715.59,-1.17,,06-08,2018,1
2,601138,工业富联,0.15,,,,,265322.5,4.53,,06-07,2018,1
3,300750,宁德时代,0.21,-1221.69,,1.66,,41334.72,-3636.53,,05-22,2018,1
4,603045,福达合金,0.07,16.75,,1.08,-3.95,544.55,16.68,,05-16,2018,1
5,603013,亚普股份,0.16,77.78,4.82,3.37,0.33,7208.26,83.6,,05-08,2018,1
6,300746,汉嘉设计,0.07,40.0,,1.96,,1182.1,60.82,,05-08,2018,1
7,603259,药明康德,0.31,-13.89,7.1,4.51,-0.03,29065.76,-13.72,,05-07,2018,1
8,300742,越博动力,-0.17,21.43,11.53,-1.46,-0.73,-996.4,24.78,,05-07,2018,1
9,300745,欣锐科技,0.33,,,3.94,,2813.79,,,05-03,2018,1
10,600175,美都能源,0.01,42.11,,0.45,,4821.69,42.08,,05-03,2018,1
11,600680,*ST上普,-0.05,-3.7,,-5.57,,-1978.56,-3.36,,05-03,2018,1
12,000425,徐工机械,0.07,141.38,,2.23,,51946.24,157.39,,04-28,2018,1
13,600685,中船防务,0.02,31.54,,0.22,,2423.71,31.65,,04-28,2018,1
14,002594,比亚迪,0.02,-90.0,,0.08,,10242.5,-83.09,,04-28,2018,1
15,000511,烯碳退,0.03,-197.0,,3.03,,2996.42,-197.0,,04-28,2018,1
16,601519,大智慧,0.0,-102.63,,0.1,,133.7,-101.75,,04-28,2018,1
17,300323,华灿光电,0.17,70.0,,3.57,,14285.25,76.84,,04-28,2018,1
18,600327,大东方,0.22,23.86,,4.3,,12360.3,23.63,,04-28,2018,1
19,002610,爱康科技,0.0,50.0,,0.25,,1443.09,50.14,,04-28,2018,1
20,000982,*ST中绒,-0.09,11.39,,-9.09,,-16588.77,11.39,,04-28,2018,1
21,601619,嘉泽新能,0.03,54.22,,2.01,,4942.26,71.02,,04-28,2018,1
22,603607,京华激光,0.27,-22.86,,3.41,,2452.02,1.5,,04-28,2018,1
23,600348,阳泉煤业,0.21,16.67,,2.89,,50073.99,17.92,,04-28,2018,1
24,600735,新华锦,0.04,-6.08,,2.05,,1683.25,-6.24,,04-28,2018,1
25,600751,海航科技,-0.02,229.63,,-0.39,,-5149.9,226.07,,04-28,2018,1
26,300049,福瑞股份,0.04,26.67,,0.67,,1011.64,19.24,,04-28,2018,1
27,002016,世荣兆业,0.5,4076.67,,15.14,,40555.74,4073.76,,04-28,2018,1
28,600385,山东金泰,-0.01,-50.0,,-3.62,,-216.1,-9.44,,04-28,2018,1
29,000593,大通燃气,-0.02,-366.67,,-0.52,,-574.29,-375.78,,04-28,2018,1
30,601928,凤凰传媒,0.1,-8.8,,2.13,,26650.63,-8.75,,04-28,2018,1
31,600787,中储股份,0.01,-40.0,,0.17,,1776.49,-40.32,,04-28,2018,1
32,601996,丰林集团,0.03,-38.0,,1.52,,2879.27,28.46,,04-28,2018,1
33,600055,万东医疗,0.01,16.67,,0.19,,357.62,52.56,,04-28,2018,1
34,600429,三元股份,0.02,2054.55,,0.74,,3552.35,2005.48,,04-28,2018,1
35,600805,悦达投资,0.05,380.0,,0.67,,4066.16,391.48,,04-28,2018,1
36,600072,中船科技,0.02,275.0,,0.3,,1106.44,245.58,,04-28,2018,1
37,002385,大北农,0.04,-5.97,,1.75,,18086.92,-5.91,,04-28,2018,1
38,603799,华友钴业,1.44,242.86,,13.31,,85052.22,237.96,,04-28,2018,1
39,600460,士兰微,0.02,-7.69,,1.0,,3113.8,-5.1,,04-28,2018,1
40,600822,上海物贸,0.03,40.34,,2.86,,1622.39,40.51,,04-28,2018,1
41,002080,中材科技,0.18,8.19,,1.67,,14823.55,8.2,,04-28,2018,1
42,002725,跃岭股份,0.03,-47.0,,0.47,,424.6,-47.65,,04-28,2018,1
43,603869,北部湾旅,-0.01,-138.46,,-0.06,,-212.8,-123.51,,04-28,2018,1
44,600501,航天晨光,,,,0.08,,167.06,-497.6,,04-28,2018,1
45,600859,王府井,0.59,138.78,,4.4,,45440.92,139.04,,04-28,2018,1
46,002433,太安堂,0.07,0.0,,1.13,,5567.02,10.54,,04-28,2018,1
47,600519,贵州茅台,6.77,39.01,,8.89,,850690.67,38.93,,04-28,2018,1
48,600875,东方电气,0.09,28.57,,0.97,,21361.84,39.65,,04-28,2018,1
49,600162,香江控股,0.0,-88.89,,0.22,,1428.17,-86.58,,04-28,2018,1
50,603968,醋化股份,0.23,0.0,,3.54,,4800.61,2.23,,04-28,2018,1
51,600933,爱柯迪,0.14,-6.67,,3.27,,11721.94,10.96,,04-28,2018,1
52,603996,中新科技,0.04,135.08,,0.9,,1348.68,135.06,,04-28,2018,1
53,600975,新五丰,-0.01,-120.0,,-0.39,,-474.0,-114.2,,04-28,2018,1
54,600198,*ST大唐,-0.17,16.98,,,,-15313.89,16.96,,04-28,2018,1
55,000016,深康佳A,0.02,112.84,,0.7,,5575.83,112.45,,04-28,2018,1
56,000820,神雾节能,-0.1,-190.91,,-6.38,,-6673.43,-191.24,,04-28,2018,1
57,002513,蓝丰生化,0.08,33.33,,1.06,,2690.38,30.67,,04-28,2018,1
58,000034,神州数码,0.17,30.6,,3.28,,11140.69,30.66,,04-28,2018,1
59,600611,大众交通,0.07,-15.39,,1.7,,15602.6,-15.75,,04-28,2018,1
60,600306,商业城,-0.14,-114.43,,-17.79,,-2439.86,-114.19,,04-28,2018,1
61,002591,恒大高新,0.02,-147.06,,0.56,,711.87,-155.43,,04-28,2018,1
62,000507,珠海港,0.03,36.79,,0.76,,2081.72,36.39,,04-28,2018,1
63,603569,长久物流,0.16,45.45,,2.98,,6500.8,43.05,,04-28,2018,1
64,002607,亚夏汽车,0.01,-80.0,,0.54,,1026.36,-58.51,,04-28,2018,1
65,000528,柳工,0.26,167.01,,2.98,,28959.73,167.03,,04-28,2018,1
66,000979,中弘股份,-0.04,-2606.67,,-4.32,,-31541.15,-3621.71,,04-28,2018,1
67,603603,博天环境,0.1,42.86,,2.81,,3878.76,53.0,,04-28,2018,1
68,600343,航天动力,0.01,-37.01,,0.16,,344.11,-37.01,,04-28,2018,1
69,600732,ST新梅,0.0,-98.45,,0.09,,38.36,-98.53,,04-28,2018,1
70,001696,宗申动力,0.05,-23.2,,1.58,,5990.57,-23.13,,04-28,2018,1
71,601717,郑煤机,0.09,120.0,,1.41,,15321.71,106.51,,04-28,2018,1
72,603633,徕木股份,0.08,14.29,,1.43,,1011.71,15.75,,04-28,2018,1
73,600363,联创光电,0.09,-18.56,,1.75,,3952.91,-18.53,,04-28,2018,1
74,002639,雪人股份,0.0,57.89,,0.09,,199.95,52.48,,04-28,2018,1
75,600748,上实发展,0.07,0.0,,1.31,,13103.45,9.13,,04-28,2018,1
76,601857,中国石油,0.06,100.0,,0.8,,1015000.0,78.1,,04-28,2018,1
77,600006,东风汽车,0.06,83.81,,1.97,,12948.99,84.17,,04-28,2018,1
78,002339,积成电子,-0.13,-0.0,,-3.04,,-5224.78,2.37,,04-28,2018,1
79,600387,海越股份,0.22,214.29,,4.14,,10138.97,271.48,,04-28,2018,1
80,000596,古井贡酒,1.15,41.98,,8.61,,58107.92,42.5,,04-28,2018,1
81,600030,中信证券,0.22,15.79,,1.78,,268974.88,16.91,,04-28,2018,1
82,600057,厦门象屿,0.14,16.67,,2.23,,23056.83,67.05,,04-28,2018,1
83,002371,北方华创,0.03,857.14,,0.46,,1535.95,857.58,,04-28,2018,1
84,600433,冠豪高新,0.02,37.5,,0.88,,2237.37,37.81,,04-28,2018,1
