,code,name,mbrg,nprg,nav,targ,epsg,seg,year,quanter
1211,002174,游族网络,39.0637,27.1294,27.2523,37.0885,26.1905,27.0193,2017,3
1212,600009,上海机场,14.8952,27.1099,11.3548,1.1245,28.4404,11.7855,2017,3
1213,300592,华凯创意,2.7785,27.0409,50.6072,42.8259,-2.6774,50.6072,2017,3
1214,002062,宏润建设,2.0414,26.8836,5.0752,-11.6903,0.0,8.1816,2017,3
1215,300546,雄帝科技,30.5199,26.7833,8.4477,12.8186,-61.7284,8.4477,2017,3
1216,002789,建艺集团,41.8172,26.7239,8.4359,38.9463,18.9189,8.5501,2017,3
1217,603368,柳药股份,24.558000000000003,26.6728,9.9434,26.8101,6.5089,9.0742,2017,3
1218,603160,汇顶科技,34.6331,26.6569,99.5824,96.1529,13.245,99.7036,2017,3
1219,002187,广百股份,-0.8535,26.6265,3.0583,1.6293,23.5294,3.3051,2017,3
1220,002756,永兴特钢,26.2902,26.6245,8.4542,15.0343,26.3158,8.4542,2017,3
1221,300500,启迪设计,29.63,26.6197,7.7081,19.9043,-46.9697,5.138,2017,3
1222,300421,力星股份,31.4709,26.5982,4.426,19.0261,8.6066,4.426,2017,3
1223,002393,力生制药,20.121,26.5425,2.832,5.5502,27.906999999999996,2.832,2017,3
1224,002749,国光股份,16.3377,26.5311,-5.9128,-3.9438,26.5322,-5.9128,2017,3
1225,002376,新北洋,19.1587,26.5286,9.5896,3.4296,30.4348,7.1857,2017,3
1226,603589,口子窖,16.2857,26.4754,16.8363,23.2786,26.0504,16.8363,2017,3
1227,002903,宇环数控,31.9252,26.425,,,39.0792,,2017,3
1228,000599,青岛双星,-17.9388,26.4228,3.4254,6.7674,33.3333,4.1199,2017,3
1229,600797,浙大网新,-15.8198,26.406999999999996,95.4379,70.3029,29.4118,98.1074,2017,3
1230,603855,华荣股份,29.0106,26.3999,,,10.0886,,2017,3
1231,002893,华通热力,4.0325,26.3989,,,30.0,,2017,3
1232,600547,山东黄金,2.7192,26.3355,57.2041,76.4329,-5.8824,58.3821,2017,3
1233,300339,润和软件,20.8093,26.2951,9.5977,5.7754,-37.037,10.7649,2017,3
1234,002410,广联达,12.1123,26.2754,8.6205,45.9196,25.4902,6.0225,2017,3
1235,600643,爱建集团,41.1511,26.2593,10.1678,34.004,26.087,10.2415,2017,3
1236,002415,海康威视,31.1938,26.2518,25.5607,21.4008,-17.1605,25.3256,2017,3
1237,601369,陕鼓动力,4.6748,26.2259,1.2605,3.7665,15.3846,1.3455,2017,3
1238,300426,唐德影视,30.7997,26.1172,18.5453,39.8996,20.0,17.9369,2017,3
1239,603228,景旺电子,28.496,26.0885,86.6778,44.2801,11.4035,86.6778,2017,3
1240,002291,星期六,3.6248,26.0873,2.0747,18.9844,9.3182,1.3832,2017,3
1241,603708,家家悦,3.4885,26.0467,115.7064,33.7183,-27.2727,115.8366,2017,3
1242,000026,飞亚达A,10.8104,26.0159,3.904,-7.3013,26.0429,3.9285,2017,3
1243,002621,三垒股份,109.8539,25.9856,1.1622,12.5456,-11.1111,1.3621,2017,3
1244,300195,长荣股份,2.6477,25.9009,60.1785,41.8703,19.2308,64.1056,2017,3
1245,600153,建发股份,65.2636,25.8983,22.0784,25.1509,26.087,9.4893,2017,3
1246,300688,创业黑马,2.7646,25.8487,,,21.8908,,2017,3
1247,002867,周大生,30.0975,25.8385,,,11.587,,2017,3
1248,603585,苏利股份,6.2465,25.8226,92.0724,61.2034,-36.2069,118.1026,2017,3
1249,603385,惠达卫浴,25.9661,25.8068,,,-3.0769,,2017,3
1250,002493,荣盛石化,66.7205,25.7807,58.7257,31.337,-14.5833,15.579,2017,3
1251,300304,云意电气,23.4303,25.7595,9.3721,9.3188,-66.6667,10.1029,2017,3
1252,603116,红蜻蜓,15.3584,25.7144,7.0174,7.5258,28.0,7.2648,2017,3
1253,600522,中天科技,32.8145,25.6721,48.8118,30.2438,8.7551,49.123000000000005,2017,3
1254,600750,江中药业,19.8097,25.6197,13.1281,12.8183,25.8824,13.1291,2017,3
1255,000551,创元科技,14.6741,25.6104,4.3696,9.4047,26.6667,1.4507,2017,3
1256,000063,中兴通讯,7.0087,25.5106,-1.2528,10.0704,34.7826,-2.5785,2017,3
1257,002901,大博医疗,28.4471,25.5083,,,12.5,,2017,3
1258,603050,科林电气,14.5075,25.3358,,,5.2632,,2017,3
1259,002390,信邦制药,17.2244,25.3357,4.0376,7.3513,16.6667,4.0286,2017,3
1260,600327,大东方,-0.0367,25.3198,0.5591,-0.2512,12.4242,1.5031,2017,3
1261,603367,辰欣药业,14.9062,25.2665,,,26.087,,2017,3
1262,000829,天音控股,11.4512,25.256,10.6046,17.3333,-48.9063,7.695,2017,3
1263,300284,苏交科,96.0682,25.1755,26.4197,31.9353,24.397,25.8137,2017,3
1264,300054,鼎龙股份,35.4143,25.1703,52.2162,34.9924,-36.2719,55.41,2017,3
1265,002026,山东威达,29.5056,25.0022,4.5481,7.4918,18.1818,4.5805,2017,3
1266,300493,润欣科技,27.4461,24.9433,7.7966,23.1099,-48.2759,7.787000000000001,2017,3
1267,603777,来伊份,10.0109,24.936,4.2288,12.0648,-6.6667,4.2288,2017,3
1268,603828,柯利达,28.3683,24.8692,3.4592,18.3959,-29.4118,3.577,2017,3
1269,300294,博雅生物,28.4297,24.778000000000002,14.5348,30.6052,-16.4179,14.4496,2017,3
1270,300642,透景生命,25.4166,24.6388,,,5.0725,,2017,3
1271,300720,海川智能,13.7087,24.6159,,,25.7143,,2017,3
1272,000963,华东医药,13.377,24.5512,15.8653,11.4795,-38.4482,15.4228,2017,3
1273,600305,恒顺醋业,5.5754,24.5322,8.8365,10.2394,23.0809,9.686,2017,3
1274,300416,苏试试验,34.481,24.503,16.032,29.1878,25.0,10.0909,2017,3
1275,603535,嘉诚国际,26.1886,24.4817,,,15.2542,,2017,3
1276,002027,分众传媒,15.7438,24.4787,24.565,26.9044,-13.5135,24.4795,2017,3
1277,002349,精华制药,30.0821,24.4783,11.3057,26.8629,-42.2172,6.1606,2017,3
1278,603288,海天味业,21.0424,24.4607,16.8406,21.2591,23.6842,16.7275,2017,3
1279,002730,电光科技,23.6643,24.4324,6.1654,18.8174,33.3333,4.8723,2017,3
1280,002020,京新药业,14.5072,24.4274,53.50899999999999,43.8443,24.3304,54.5084,2017,3
1281,603856,东宏股份,25.2492,24.3751,,,23.2143,,2017,3
1282,600810,神马股份,7.2597,24.3635,5.6581,9.9986,-5.0445,2.8332,2017,3
1283,603997,继峰股份,35.9115,24.2798,13.311,18.3493,-16.6667,13.2836,2017,3
1284,300719,安达维尔,15.6648,24.2602,,,18.2524,,2017,3
1285,600323,瀚蓝环境,13.0002,24.2095,11.5603,10.9297,26.7857,9.7608,2017,3
1286,601601,中国太保,,24.0214,3.4729,16.4823,24.7423,3.6069,2017,3
1287,300676,华大基因,15.0711,24.0171,,,19.7183,,2017,3
1288,600290,华仪电气,-10.4199,23.9031,-0.9881,-13.1407,13.2678,-1.058,2017,3
1289,000089,深圳机场,9.4258,23.8825,4.6869,4.2393,22.8457,4.5814,2017,3
1290,601116,三江购物,-9.6087,23.8274,2.4354,0.2656,23.8478,2.4354,2017,3
1291,002793,东音股份,28.7522,23.8035,8.6529,1.061,-45.5621,8.6529,2017,3
1292,300463,迈克生物,29.5586,23.8029,14.2871,26.2553,20.4545,11.8907,2017,3
1293,600468,百利电气,34.2877,23.7877,1.8455,-4.4896,-20.2997,2.2793,2017,3
1294,603689,皖天然气,24.1267,23.7743,,,0.0,,2017,3
1295,000501,鄂武商A,3.9263,23.7333,18.4981,-0.3214,-9.3023,18.4981,2017,3
1296,002573,清新环境,57.6452,23.685,24.1468,21.2375,23.1065,25.8241,2017,3
1297,002615,哈尔斯,8.5997,23.6332,13.5765,18.336,-16.129,12.952,2017,3
1298,002798,帝欧家居,30.0096,23.5475,19.9033,24.7544,6.3731,19.9033,2017,3
1299,300341,麦迪电气,10.9158,23.5154,11.0874,11.2296,24.6914,9.7893,2017,3
1300,600597,光明乳业,6.7291,23.4656,5.733,6.0729999999999995,24.2878,3.4135,2017,3
1301,603899,晨光文具,30.1432,23.4213,14.2753,23.2978,24.1331,15.3643,2017,3
1302,002271,东方雨虹,45.2767,23.4209,39.0436,56.8255,12.6437,35.1882,2017,3
1303,600132,重庆啤酒,-0.0566,23.4037,-14.4905,-5.0781,20.3704,-11.4137,2017,3
1304,000418,小天鹅A,32.5282,23.3741,15.8936,11.765999999999998,25.6944,16.6851,2017,3
1305,600589,广东榕泰,10.0469,23.3438,2.8337,13.1921,24.1071,2.8482,2017,3
1306,002433,太安堂,2.362,23.3406,5.6246,21.2305,28.5714,5.5937,2017,3
1307,603882,金域医学,20.0613,23.249000000000002,,,22.5806,,2017,3
1308,300336,新文化,16.2954,23.1114,8.6331,11.8431,21.8952,8.6789,2017,3
1309,603861,白云电器,25.9672,22.9905,11.0694,26.9621,18.0827,7.6348,2017,3
1310,002293,罗莱生活,47.6696,22.8775,8.3098,18.9968,19.4054,7.8422,2017,3
1311,603817,海峡环保,6.6491,22.8569,59.6646,6.0603,-3.6316,55.8189,2017,3
1312,000529,广弘控股,-0.883,22.7591,7.4785,7.1241,30.7692,8.1681,2017,3
1313,600909,华安证券,,22.7431,,,-5.5556,,2017,3
1314,603060,国检集团,15.807,22.6934,137.0969,70.8671,,154.2587,2017,3
1315,002658,雪迪龙,12.8981,22.6727,11.9184,13.0076,26.6667,11.8182,2017,3
1316,603916,苏博特,25.393,22.6492,,,21.9512,,2017,3
1317,603359,东珠景观,24.3907,22.6432,,,18.0723,,2017,3
1318,002372,伟星新材,20.0706,22.6173,16.6085,15.7118,-5.1724,16.125999999999998,2017,3
1319,000565,渝三峡A,58.0065,22.5809,24.2616,12.0756,22.5806,24.2616,2017,3
1320,600276,恒瑞医药,21.8058,22.5802,23.0135,21.2993,0.755,23.0707,2017,3
1321,600761,安徽合力,38.6994,22.517,6.9652,11.0896,-4.0816,5.8996,2017,3
1322,600252,中恒集团,43.369,22.4978,6.138999999999999,13.450999999999999,22.4,6.1444,2017,3
1323,002728,特一药业,7.2336,22.4232,11.0908,-1.9917,24.2424,11.0908,2017,3
1324,600548,深高速,6.0014,22.3681,3.1492,14.2486,27.8802,6.5827,2017,3
