,code,name_x,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,Unnamed: 0_x,name_y,cf_sales_2015q1,rateofreturn_2015q1,cf_nm_2015q1,cf_liabilities_2015q1,cashflowratio_2015q1,Unnamed: 0_y,name_x,cf_sales_2015q2,rateofreturn_2015q2,cf_nm_2015q2,cf_liabilities_2015q2,cashflowratio_2015q2,Unnamed: 0_x,name_y,cf_sales_2015q3,rateofreturn_2015q3,cf_nm_2015q3,cf_liabilities_2015q3,cashflowratio_2015q3,Unnamed: 0_y,name_x,cf_sales_2015q4,rateofreturn_2015q4,cf_nm_2015q4,cf_liabilities_2015q4,cashflowratio_2015q4,Unnamed: 0_x,name_y,cf_sales_2016q1,rateofreturn_2016q1,cf_nm_2016q1,cf_liabilities_2016q1,cashflowratio_2016q1,Unnamed: 0_y,name_x,cf_sales_2016q2,rateofreturn_2016q2,cf_nm_2016q2,cf_liabilities_2016q2,cashflowratio_2016q2,Unnamed: 0_x,name_y,cf_sales_2016q3,rateofreturn_2016q3,cf_nm_2016q3,cf_liabilities_2016q3,cashflowratio_2016q3,Unnamed: 0_y,name_x,cf_sales_2016q4,rateofreturn_2016q4,cf_nm_2016q4,cf_liabilities_2016q4,cashflowratio_2016q4,Unnamed: 0_x,name_y,cf_sales_2017q1,rateofreturn_2017q1,cf_nm_2017q1,cf_liabilities_2017q1,cashflowratio_2017q1,Unnamed: 0_y,name_x,cf_sales_2017q2,rateofreturn_2017q2,cf_nm_2017q2,cf_liabilities_2017q2,cashflowratio_2017q2,Unnamed: 0_x,name_y,cf_sales_2017q3,rateofreturn_2017q3,cf_nm_2017q3,cf_liabilities_2017q3,cashflowratio_2017q3,Unnamed: 0_y,name_x,cf_sales_2017q4,rateofreturn_2017q4,cf_nm_2017q4,cf_liabilities_2017q4,cashflowratio_2017q4,Unnamed: 0,name_y,cf_sales_2018q1,rateofreturn_2018q1,cf_nm_2018q1,cf_liabilities_2018q1,cashflowratio_2018q1
10,2895,川恒股份,化工原料,贵州,676.09,0.4,4.07,244768.59,86351.31,30036.47,76343.68,1.88,0.01,4.65,5.74,20170825,78108.65,1.92,-7.21,-87.27,19.9,1.82,22976.0,,,,,,,,,,,,,,,,,,,,,,1255.0,川恒股份,0.1388,0.085,1.3047,0.3312,47.5397,,,,,,,,782.0,川恒股份,0.1701,,1.3875,,,704.0,川恒股份,0.1913,,1.4016,,,1021.0,川恒股份,0.1729,0.0857,1.534,0.3115,40.4621,1867.0,川恒股份,-0.0688,-0.0078,-0.5186,-0.0303,-4.0671,946.0,川恒股份,0.1173,0.0326,0.7603,0.1381,19.132,1098.0,川恒股份,0.1019,0.0382,0.7101,0.1806,24.743,1369.0,川恒股份,0.1018,0.05,0.9036,0.2294,30.9618,2671.0,川恒股份,-0.2784,-0.0251,-15.2976,-0.1105,-14.6672
11,603013,亚普股份,汽车配件,江苏,63.73,0.6,5.1,575050.38,336775.84,174786.52,16063.22,0.31,0.141,4.82,7.48,20180509,134193.8,2.63,0.0,0.0,15.36,4.31,55274.0,,,,,,,,,,,,,,,,,,,,,,1805.0,亚普股份,0.0892,0.1252,1.3964,0.2643,30.5654,,,,,,,,,,,,,,,,,,,,,,1958.0,亚普股份,0.0827,0.1063,1.3968,0.1723,22.306,1098.0,亚普股份,0.0617,,1.7638,,,,,,,,,,,,,,,,,1431.0,亚普股份,0.0968,0.1256,1.9085,0.2096,26.9193,914.0,亚普股份,0.0898,0.0262,1.9064,0.043,5.8578
12,300543,朗科智能,电气设备,深圳,137.3,0.43,1.2,106367.32,84487.81,17894.78,27025.15,2.25,0.055,5.51,5.51,20160908,23677.98,1.97,-3.94,-70.95,15.58,2.87,16514.0,,,,,,,,1086.0,朗科智能,0.0852,0.0613,0.8434,0.1326,13.2641,1722.0,朗科智能,0.0173,,0.1587,,,1398.0,朗科智能,0.1251,0.1684,1.4237,0.3208,32.0796,1015.0,朗科智能,0.0934,,0.8326,,,1533.0,朗科智能,0.0614,0.0445,0.6981,0.0924,9.3425,2258.0,朗科智能,-0.0042,-0.0031,-0.0433,-0.0099,-1.0019,2114.0,朗科智能,0.0691,0.0688,0.8445,0.197,19.8638,1203.0,朗科智能,0.0451,0.0117,0.4749,0.0371,3.7325,1090.0,朗科智能,0.0966,0.0519,1.154,0.1626,16.4028,1650.0,朗科智能,0.039,0.0305,0.4755,0.0835,8.405,1385.0,朗科智能,0.1005,0.1081,1.4848,0.2659,26.7145,2306.0,朗科智能,-0.1648,-0.0357,-5.7355,-0.0943,-9.4844
13,300503,昊志机电,机械基件,广东,81.81,1.03,2.54,119336.1,73525.4,28086.93,17109.11,0.67,0.051,3.05,5.45,20160309,34135.65,1.35,36.13,4.7,45.63,13.15,15683.0,1140.0,昊志机电,0.0305,,0.1484,,,2170.0,昊志机电,-0.0776,,-0.4363,,,2025.0,昊志机电,-0.0212,,-0.1196,,,2501.0,昊志机电,0.0297,0.0121,0.151,0.0747,9.4078,2309.0,昊志机电,-0.2062,-0.0136,-1.5045,-0.1081,-13.5972,2674.0,昊志机电,-0.1406,-0.0286,-0.7787,-0.1862,-22.2873,2976.0,昊志机电,-0.1959,-0.0637,-0.9444,-0.4175,-49.7304,3182.0,昊志机电,-0.119,-0.0456,-0.6271,-0.2223,-33.5671,426.0,昊志机电,0.2222,0.0183,1.2997,0.093,14.3549,1244.0,昊志机电,0.075,0.0162,0.3917,0.0672,9.2202,942.0,昊志机电,0.1233,0.0387,0.6938,0.1456,20.1133,1809.0,昊志机电,0.0638,0.0243,0.3769,0.0742,10.8457,324.0,昊志机电,0.26,0.0213,1.9586,0.0645,9.8883
14,2847,盐津铺子,食品,湖南,47.7,0.35,1.24,103482.53,45758.75,41914.2,28964.47,2.34,0.218,5.02,8.28,20170208,18667.6,1.51,15.41,6.39,46.1,11.33,19448.0,,,,,,,,,,,,,,,713.0,盐津铺子,0.1509,,1.3951,,,1276.0,盐津铺子,0.1364,0.1751,1.2169,0.3871,42.6404,614.0,盐津铺子,0.188,,1.3864,,,655.0,盐津铺子,0.1961,0.1424,1.376,0.4113,47.672,700.0,盐津铺子,0.1928,0.2001,1.526,0.4928,55.3637,908.0,盐津铺子,0.1892,0.2246,1.5097,0.4768,51.6752,708.0,盐津铺子,0.1414,0.0368,1.1507,0.1362,14.9879,767.0,盐津铺子,0.1469,0.0676,1.2992,0.2419,26.4726,1407.0,盐津铺子,0.0657,0.0415,0.6715,0.1286,13.7907,2404.0,盐津铺子,0.0157,0.0122,0.1809,0.0321,3.3825,2030.0,盐津铺子,-0.0994,-0.0229,-0.8743,-0.0577,-6.0399
15,2930,宏川智慧,仓储物流,广东,124.63,0.61,2.43,234218.09,58174.36,101818.2,102146.59,4.2,0.15,6.97,7.93,20180328,40968.15,1.68,0.0,0.0,61.03,27.86,115324.0,,,,,,,,,,,,,,,,,,,,,,43.0,宏川智慧,0.6703,0.1178,2.7665,0.229,77.5385,114.0,宏川智慧,0.5579999999999999,0.0272,2.5694,0.0573,21.2776,75.0,宏川智慧,0.6808,0.0728,2.443,0.1698,73.0164,,,,,,,,45.0,宏川智慧,0.6825,0.1327,2.985,0.3175,122.5228,127.0,宏川智慧,0.4858,,1.7396,,,76.0,宏川智慧,0.5594,0.0531,2.227,0.141,90.7108,55.0,宏川智慧,0.619,0.0903,2.3284,0.2469,148.4247,50.0,宏川智慧,0.6316,0.123,2.4854,0.3386,181.6367,139.0,宏川智慧,0.4651,0.0192,1.6696,0.0697,33.8084
16,300644,南京聚隆,塑料,江苏,162.55,0.16,0.64,105202.95,83432.77,18322.85,31132.8,4.86,0.1,10.66,5.57,20180206,26553.97,4.15,0.0,0.0,13.29,2.26,15127.0,,,,,,,,,,,,,,,,,,,,,,2090.0,南京聚隆,0.0662,0.08900000000000001,0.7313,0.1656,17.6451,,,,,,,,,,,,,,,,,,,,,,2388.0,南京聚隆,0.0443,0.0546,0.5178,0.1198,12.6993,1622.0,南京聚隆,-0.0206,,-0.5961,,,1408.0,南京聚隆,0.0545,0.0354,1.2554,0.0783,8.2446,,,,,,,,2544.0,南京聚隆,0.0037,0.0046,0.0676,0.0095,0.9881,2050.0,南京聚隆,-0.1039,-0.0255,-4.6121,-0.0728,-7.6056
17,676,智度股份,互联网,河南,17.82,3.16,9.66,734712.06,437033.34,1129.92,350194.59,3.63,0.208,5.38,2.76,19961224,77332.36,0.8,77.22,63.79,15.62,9.52,36319.0,161.0,智度股份,0.4366,0.0717,,0.0955,10.1802,416.0,智度股份,0.2219,0.0706,,0.0928,9.891,139.0,智度股份,0.4216,0.1849,,0.2387,25.4048,1685.0,智度股份,0.0987,0.1003,,0.1877,20.3716,2790.0,智度股份,-0.5008,-0.0899,,-0.1585,-16.9596,874.0,智度股份,0.1503,0.0168,1.1371,0.0648,6.6338,1539.0,智度股份,0.0755,0.0178,0.7425,0.0606,6.169,2091.0,智度股份,0.0709,0.0258,0.5298,0.08900000000000001,14.6021,2004.0,智度股份,-0.0967,-0.0168,-0.9384,-0.0538,-8.1563,2309.0,智度股份,-0.0617,-0.0227,-0.7167,-0.07400000000000001,-12.975,2424.0,智度股份,-0.0534,-0.0319,-0.7145,-0.0939,-12.2116,2592.0,智度股份,-0.0017,-0.0016,-0.021,-0.0056,-0.7131,1771.0,智度股份,-0.0506,-0.0145,-0.5312,-0.0497,-5.8852
18,2795,永和智控,机械基件,浙江,198.97,0.64,2.0,71899.15,54738.96,6948.21,24386.23,1.22,0.038,3.12,9.68,20160428,14280.2,0.71,23.07,-37.06,23.66,5.76,23176.0,209.0,永和智控,0.373,,2.6797,,,464.0,永和智控,0.2059,,1.6099,,,552.0,永和智控,0.1834,,1.3905,,,1261.0,永和智控,0.1381,0.1569,1.0001,0.3162,32.3797,190.0,永和智控,0.428,0.1047,3.0383,0.2262,23.1955,444.0,永和智控,0.255,0.0892,1.6791,0.7025,74.5399,660.0,永和智控,0.2022,0.1055,1.3936,1.0285,110.7281,1239.0,永和智控,0.1488,0.0972,1.0068,0.7609,87.1571,682.0,永和智控,0.1469,0.0226,1.3043,0.2053,24.0589,1496.0,永和智控,0.0458,0.0176,0.3937,0.1363,15.6238,1541.0,永和智控,0.0505,0.03,0.4695,0.2427,27.903,2066.0,永和智控,0.0437,0.0314,0.4116,0.1658,17.9491,550.0,永和智控,0.1697,0.0311,2.9465,0.2365,26.8936
19,603045,福达合金,电气设备,浙江,75.91,0.25,0.98,114015.52,79346.43,24050.52,10085.88,1.03,0.055,6.88,2.45,20180517,27973.84,2.85,0.0,0.0,14.16,2.29,26189.0,,,,,,,,2257.0,福达合金,-0.1036,-0.0602,-2.2533,-0.1409,-14.2447,,,,,,,,1774.0,福达合金,0.0921,0.1109,1.9041,0.2806,28.3807,,,,,,,,2752.0,福达合金,-0.1751,-0.1024,-3.7441,-0.2442,-24.7063,,,,,,,,2667.0,福达合金,0.0172,0.0211,0.3863,0.0461,4.7205,3044.0,福达合金,-0.5911,,-29.4716,,,2560.0,福达合金,-0.1123,-0.073,-2.8793,-0.1503,-15.4932,1651.0,福达合金,0.039,0.0368,0.9072,0.0728,8.3224,2080.0,福达合金,0.0427,0.0495,0.978,0.0923,10.3372,3316.0,福达合金,-1.2249,-0.2551,-53.41,-0.4594,-52.8147
