,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
2624,300152,科融环境,-0.1247,-0.0165,-2.6711,-0.0332,-4.0159
2625,300247,乐金健康,-0.1248,-0.0131,-1.5763,-0.0607,-6.3174
2626,300310,宜通世纪,-0.1249,-0.0326,-1.1707,-0.1359,-13.6917
2627,300597,吉大通信,-0.1253,-0.04,-1.4979,-0.1497,-14.9884
2628,600517,置信电气,-0.1253,-0.04,-1.7891,-0.0637,-6.9427
2629,000780,平庄能源,-0.1272,-0.0202,,-0.0887,-8.9498
2630,000576,广东甘化,-0.1278,-0.0148,,-0.0867,-14.8976
2631,300181,佐力药业,-0.1279,-0.0295,-0.9438,-0.1035,-14.8896
2632,002438,江苏神通,-0.1283,-0.0201,-1.5382,-0.0558,-7.3223
2633,002724,海洋王,-0.1283,-0.0253,-27.156,-0.2502,-25.0229
2634,600130,波导股份,-0.1286,-0.1699,-15.2838,-0.5946,-60.7468
2635,002364,中恒电气,-0.1289,-0.0287,-0.5209,-0.1189,-12.3873
2636,300662,科锐国际,-0.1293,,-1.8095,,
2637,600592,龙溪股份,-0.13,-0.0149,,-0.0603,-10.4272
2638,000639,西王食品,-0.1312,-0.0694,-1.6253,-0.4643,-52.986000000000004
2639,600260,凯乐科技,-0.1317,-0.0491,-5.3882,-0.0726,-9.9346
2640,300222,科大智能,-0.1317,-0.0192,-0.9394,-0.0703,-7.2207
2641,600170,上海建工,-0.1317,-0.0543,-7.1834,-0.065,-8.083
2642,002761,多喜爱,-0.132,-0.0439,-3.8601,-0.1637,-28.6478
2643,300147,香雪制药,-0.1325,-0.0189,-1.5181,-0.0536,-8.4617
2644,002060,粤水电,-0.1327,-0.024,-7.0239,-0.0298,-5.7395
2645,600560,金自天正,-0.1328,-0.0234,-2.6383,-0.0424,-4.3333
2646,300411,金盾股份,-0.1328,-0.0252,-1.0972,-0.0708,-7.9647
2647,002009,天奇股份,-0.1328,-0.0285,-2.2361,-0.0542,-5.8420000000000005
2648,300510,金冠电气,-0.1329,-0.0254,-0.9547,-0.1158,-12.6808
2649,002487,大金重工,-0.133,-0.0201,-1.0235,-0.0595,-8.5936
