,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,year,quanter
0,000617,中油资本,30.6761,0.0094,0.7924,0.0111,1.1648,2017,3
1,000627,天茂集团,24.2763,0.0695,5.2913,0.0828,8.6327,2017,3
2,000809,铁岭新城,6.309,0.0662,10.9017,0.1337,43.7581,2017,3
3,000416,民生控股,4.1488,0.0254,0.8177,0.8762,88.809,2017,3
4,600555,海航创新,2.3962,0.0184,,0.0301,5.9659,2017,3
5,600767,ST运盛,2.3265,0.2876,250.0901,0.7509,76.0195,2017,3
6,600275,ST昌鱼,2.0825,0.03,,0.0498,4.9849,2017,3
7,601558,ST锐电,2.0097,0.0121,0.2377,0.0154,1.953,2017,3
8,002387,黑牛食品,2.0038,0.009000000000000001,,0.0107,1.2398,2017,3
9,600736,苏州高新,1.5966,0.1389,8.9177,0.2044,25.5869,2017,3
10,601188,龙江交通,1.5032,0.0994,2.1446,0.3012,30.1683,2017,3
11,002417,深南股份,1.4943,0.331,17.3325,1.6813,168.1335,2017,3
12,000638,万方发展,1.469,0.1158,5.652,0.146,15.8614,2017,3
13,600791,京能置业,1.4635,0.1233,7.4227,0.1974,37.4337,2017,3
14,600643,爱建集团,1.355,0.0416,1.1396,0.0729,11.4953,2017,3
15,000585,*ST东电,1.256,0.0828,,0.1768,33.4532,2017,3
16,000534,万泽股份,1.222,0.1307,61.9862,0.3439,38.0522,2017,3
17,002289,宇顺电子,1.1011,0.4365,,1.3131,187.6807,2017,3
18,600225,天津松江,1.0432,0.0732,2.7815,0.0854,13.8185,2017,3
19,000628,高新发展,1.0131,0.1234,15.3145,0.1579,16.5722,2017,3
20,000835,长城动漫,1.0079,0.1136,4.5947,0.1573,24.6534,2017,3
21,600173,卧龙地产,0.9686,0.1853,4.3846,0.2867,34.6193,2017,3
22,002244,滨江集团,0.9184,0.1057,4.5796,0.1453,17.7152,2017,3
23,000010,美丽生态,0.9116,0.1426,48.7568,0.3177,32.0831,2017,3
24,002464,众应互联,0.9041,0.1033,1.9418,0.21600000000000003,22.7645,2017,3
25,600674,川投能源,0.8965,0.0169,0.1719,0.0726,12.9403,2017,3
26,000014,沙河股份,0.8541,0.2413,63.3804,0.5073,64.4094,2017,3
27,600106,重庆路桥,0.8482,0.0226,0.6577,0.0479,78.8373,2017,3
28,000668,荣丰控股,0.8405,0.0026,,0.0039,1.0779,2017,3
29,600318,新力金融,0.8034,0.0579,3.1054,0.0993,20.1644,2017,3
30,000537,广宇发展,0.8013,0.1164,9.3222,0.141,17.8033,2017,3
31,000514,渝开发,0.7936,0.0895,9.9329,0.187,36.1224,2017,3
32,002818,富森美,0.7741,0.1449,1.4638,0.7289,74.9035,2017,3
33,603817,海峡环保,0.7661,0.1045,2.5702,0.4114,108.9198,2017,3
34,600052,浙江广厦,0.7651,0.0301,3.7904,0.0526,6.5315,2017,3
35,600215,长春经开,0.7577,0.0553,19.8442,0.2839,28.705,2017,3
