,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
254,002853,皮阿诺,0.67,-64.36,,12.81,,10298.36,17.64,,04-27
255,002215,诺普信,0.34,-212.5,,17.38,,30850.61,-211.68,10派1.5,04-27
256,603366,日出东方,0.07,-77.53,,1.47,,5476.88,-77.54,10派0.4,04-27
257,300299,富春股份,-0.3,-203.45,,-12.88,,-17129.2,-256.0,10转3,04-27
258,600354,敦煌种业,0.05,-110.08,,2.82,,2560.56,-110.08,,04-27
259,002686,亿利达,0.32,9.62,,10.02,,14052.86,17.25,10派0.7,04-27
260,300094,国联水产,0.18,50.0,,7.66,,14413.26,53.42,10派0.2,04-27
261,002397,梦洁股份,0.07,-50.0,,3.57,,5126.37,-47.3,10派0.6,04-27
262,002477,雏鹰农牧,0.01,-96.43,,0.9,,4518.88,-94.8,10派0.2,04-27
263,000010,美丽生态,-1.29,-2763.99,,-63.0,,-106142.69,-2761.74,,04-27
264,002188,*ST巴士,-6.83,-2303.23,,-185.92,,-203342.56,-2272.45,,04-27
265,603286,日盈电子,0.44,-6.38,,10.06,,3373.9,8.59,,04-27
266,002204,大连重工,0.01,0.0,,0.38,,2531.94,-7.2,10派0.1,04-27
267,600246,万通地产,0.17,145.61,,5.26,,35614.23,222.87,10派0.27,04-27
268,002876,三利谱,1.15,-4.96,,11.87,,8220.39,12.89,,04-27
269,601199,江南水务,0.26,-25.71,,9.33,,24502.27,-24.86,10派0.8,04-27
270,002269,美邦服饰,-0.12,-1300.0,,-10.0,,-30479.98,-942.95,,04-27
271,000506,中润资源,-0.48,-5189.47,,-36.13,,-44913.38,-5210.03,,04-27
272,300013,新宁物流,0.48,140.0,,10.34,,14401.33,136.15,10派0.6,04-27
273,002622,融钰集团,0.09,350.0,,5.97,,7191.63,358.89,,04-27
274,600745,闻泰科技,0.52,550.0,,9.49,,32938.68,586.49,10派0.2,04-27
275,603668,天马科技,0.31,-38.0,,12.01,,9086.02,13.16,10派0.65,04-27
276,601929,吉视传媒,0.12,2.55,,5.86,,37541.59,2.57,10派0.25,04-27
277,603711,香飘飘,0.74,0.0,,19.58,,26776.61,0.63,,04-27
278,300083,劲胜智能,0.32,255.56,,8.62,,46079.89,250.57,,04-27
279,002081,金螳螂,0.73,14.06,,17.88,,191849.56,13.97,10派1.5,04-27
280,000707,*ST双环,-1.61,18.81,,-144.45,,-74625.84,18.82,,04-27
281,002209,达意隆,0.1,-144.51,,3.24,,2017.82,-144.53,10派0.12,04-27
282,002881,美格智能,0.6,3.45,,15.61,,5628.52,20.49,10派1转7,04-27
283,300002,神州泰岳,0.06,-76.22,,2.35,,11955.01,-76.44,10派0.07,04-27
284,002343,慈文传媒,1.29,40.22,,24.01,,40842.16,40.78,10派1.8转4,04-27
285,002054,德美化工,0.07,-80.0,,1.67,,2996.1,-79.8,10派0.47,04-27
286,002375,亚厦股份,0.27,12.5,,4.88,,35768.69,12.02,10派0.4,04-27
287,600809,山西汾酒,1.09,56.02,,19.04,,94410.17,56.02,10派6,04-27
288,300104,乐视网,-3.48,-1300.52,,-211.4,,-1387804.48,-2601.63,,04-27
289,600863,内蒙华电,0.09,50.0,,5.14,,51413.91,54.53,10派0.3,04-27
290,002150,通润装备,0.26,-33.33,,6.62,,7076.7,-28.76,10派1.5,04-27
291,600562,国睿科技,0.35,-28.57,,9.74,,16935.99,-25.84,10派1.07转3,04-27
292,603308,应流股份,0.14,7.69,,2.16,,6017.27,10.04,10派0.42,04-27
293,601169,北京银行,0.99,-14.66,7.43,13.77,0.59,1873300.0,5.23,10派2.67,04-27
294,002263,*ST东南,-0.3,200.0,,-23.13,,-56759.31,205.8,,04-27
295,600295,鄂尔多斯,0.5,92.31,,6.91,,52096.64,96.12,10派1,04-27
296,600313,农发种业,-0.26,-738.01,,-18.38,,-28520.86,-737.42,,04-27
297,600331,宏达股份,0.1,60.6,,4.27,,20618.96,60.53,,04-27
298,000587,金洲慈航,0.48,-51.02,,11.41,,102156.64,-1.52,,04-27
299,600020,中原高速,0.4,92.15,,9.69,,117290.81,56.78,10派1.68,04-27
300,002188,*ST巴士,-6.83,-2303.23,,-185.92,,-203342.56,-2272.45,,04-27
301,603286,日盈电子,0.44,-6.38,,10.06,,3373.9,8.59,,04-27
302,002204,大连重工,0.01,0.0,,0.38,,2531.94,-7.2,10派0.1,04-27
303,600246,万通地产,0.17,145.61,,5.26,,35614.23,222.87,10派0.27,04-27
304,002876,三利谱,1.15,-4.96,,11.87,,8220.39,12.89,,04-27
305,601199,江南水务,0.26,-25.71,,9.33,,24502.27,-24.86,10派0.8,04-27
306,002269,美邦服饰,-0.12,-1300.0,,-10.0,,-30479.98,-942.95,,04-27
307,000506,中润资源,-0.48,-5189.47,,-36.13,,-44913.38,-5210.03,,04-27
308,300013,新宁物流,0.48,140.0,,10.34,,14401.33,136.15,10派0.6,04-27
309,002622,融钰集团,0.09,350.0,,5.97,,7191.63,358.89,,04-27
310,601929,吉视传媒,0.12,2.55,,5.86,,37541.59,2.57,10派0.25,04-27
311,603711,香飘飘,0.74,0.0,,19.58,,26776.61,0.63,,04-27
312,300083,劲胜智能,0.32,255.56,,8.62,,46079.89,250.57,,04-27
313,002081,金螳螂,0.73,14.06,,17.88,,191849.56,13.97,10派1.5,04-27
314,000707,*ST双环,-1.61,18.81,,-144.45,,-74625.84,18.82,,04-27
