,code,name,mbrg,nprg,nav,targ,epsg,seg
1180,603966,法兰泰克,25.8862,23.254,5.9707,14.4793,0.0,5.9707
1181,603321,梅轮电梯,13.4014,23.2323,,,-33.3333,
1182,002412,汉森制药,13.8647,23.2163,-2.5169,2.374,23.2465,-2.5106
1183,002380,科远股份,2.2840000000000003,23.2042,4.5134,7.3294,0.0,4.3883
1184,002624,完美世界,-5.6311,23.2036,6.4574,-1.9386,8.0,9.0524
1185,600977,中国电影,21.5443,23.1665,6.1616,8.152000000000001,18.1818,6.1293
1186,002510,天汽模,1.7767,23.1539,16.5472,8.9433,16.0,16.7115
1187,002929,润建通信,40.1671,23.1464,,,26.3158,
1188,002203,海亮股份,91.3579,23.1377,18.5468,31.0872,24.1064,19.8359
1189,300547,川环科技,19.4425,23.1314,16.1376,12.7192,19.2039,16.1376
1190,603899,晨光文具,30.2517,23.0606,16.222,23.2118,23.2133,17.0493
1191,600479,千金药业,4.9763,22.971,7.7989999999999995,7.5826,22.3899,7.7551
1192,603980,吉华集团,-5.2139999999999995,22.9167,94.1671,63.1405,-4.0,100.4958
1193,600229,城市传媒,7.1233,22.8987,8.0378,17.2538,22.4865,9.8885
1194,603017,中衡设计,51.1512,22.8966,11.4946,12.3053,12.8049,9.4881
1195,600348,阳泉煤业,5.9136,22.837,12.1327,1.195,16.6667,11.5103
1196,600171,上海贝岭,45.297,22.7915,31.1037,28.445,22.7273,31.495
1197,600795,国电电力,8.4082,22.7811,-1.8613,1.8776,18.0,-0.7531
1198,600251,冠农股份,99.7134,22.7695,9.2335,28.4176,35.1931,4.5393
1199,000513,丽珠集团,11.434000000000001,22.7246,55.2526,42.5495,-4.5455,63.2642
1200,000650,仁和药业,26.015,22.709,8.7598,13.5744,34.1654,10.0214
1201,002556,辉隆股份,16.1837,22.5982,4.1204,-2.0197,14.5,3.2148
1202,603113,金能科技,16.8613,22.593000000000004,70.8605,53.4965,8.5714,70.8605
1203,601012,隆基股份,29.1352,22.5247,40.8497,59.1865,22.7273,39.9227
1204,002563,森马服饰,21.572,22.5098,1.7061,12.2347,33.3333,1.6361
1205,002672,东江环保,12.2441,22.449,12.0657,4.6485,16.6667,13.36
1206,002762,金发拉比,10.9168,22.4004,8.9071,13.7863,11.1111,8.8535
1207,300141,和顺电气,11.4602,22.3379,-1.1912,31.3598,0.0,-1.3879
1208,000963,华东医药,9.6147,22.3277,16.1207,13.8278,-39.4121,15.7229
1209,600386,北巴传媒,17.1494,22.3025,2.237,37.0725,-60.0,3.0046
1210,600755,厦门国贸,33.7132,22.2648,48.5225,21.2283,-4.7619,54.648999999999994
1211,002559,亚威股份,11.5227,22.248,3.3644,7.985,22.7368,3.1042
1212,603779,威龙股份,3.9422,22.1894,74.9878,26.1815,0.0,74.9878
1213,002327,富安娜,28.0409,22.1333,15.2881,24.1934,22.2222,15.2881
1214,002111,威海广泰,15.4528,22.1255,-3.3541,7.2712,18.1818,-1.3188
1215,000153,丰原药业,35.5156,22.1229,5.3485,9.2744,20.3333,5.3485
1216,603026,石大胜华,11.7819,22.1163,4.479,26.7979,50.0,4.3821
1217,300578,会畅通讯,-6.9529,22.1149,3.3724,14.383,14.2857,3.3724
1218,601965,中国汽研,72.3563,22.0923,7.192,10.4528,12.5,7.2652
1219,600327,大东方,9.1523,22.0792,-2.7521,-3.3409,23.8636,-2.6553
1220,002214,大立科技,8.9129,21.9733,1.9317,7.1973,12.5,1.9429
1221,000895,双汇发展,-1.7808,21.9454,3.8623,2.8852,21.0665,3.9608
1222,601137,博威合金,-0.9266,21.8998,5.372000000000001,6.025,22.2222,5.372000000000001
1223,300497,富祥股份,32.2621,21.8907,23.1083,25.8229,19.1489,23.3232
1224,603018,中设集团,31.1462,21.8723,13.0504,24.0414,16.6667,13.0321
1225,600513,联环药业,70.0606,21.8356,6.4047,14.1215,0.0,6.4537
1226,600104,上汽集团,21.5792,21.8105,8.8306,18.8498,15.2566,8.7388
1227,603456,九洲药业,20.5107,21.7834,4.8503,8.5143,20.0,4.9233
1228,300390,天华超净,5.9553,21.7456,4.0888,-0.7571,12.8866,3.9881
1229,603578,三星新材,9.5612,21.7251,12.8417,9.1763,5.2632,12.8417
1230,300339,润和软件,65.8809,21.6848,27.2108,28.4579,-40.0,28.0192
1231,300661,圣邦股份,32.9087,21.668000000000003,,,-10.0782,
1232,603128,华贸物流,14.7981,21.6377,5.7212,7.2902,33.3333,6.2802
1233,601566,九牧王,12.4729,21.584,13.8868,11.5408,21.4286,13.9679
1234,002896,中大力德,20.8535,21.5556,,,-5.8824,
1235,002901,大博医疗,20.4454,21.5364,,,6.25,
1236,600148,长春一东,22.5851,21.4597,9.1296,7.7038,29.4872,5.9635
1237,600613,神奇制药,11.6417,21.4504,3.9531,2.0409,50.0,4.6314
1238,002201,九鼎新材,19.4485,21.445999999999998,-0.1073,-1.3276,0.0,-0.1368
1239,600825,新华传媒,-24.5707,21.3948,1.0901,-0.6257,14.2857,1.195
1240,002308,威创股份,20.0203,21.3769,47.3355,49.9969,0.0,46.7446
1241,600290,华仪电气,4.8113,21.3763,1.3926,11.1152,205.2632,1.4102
1242,300235,方直科技,16.0357,21.3553,0.5448,2.2613,25.0,0.5963
1243,603123,翠微股份,1.4328,21.320999999999998,3.0057,-0.2939,20.8333,3.0074
1244,600887,伊利股份,24.5565,21.3022,9.4215,15.084000000000001,20.6897,9.5559
1245,603938,三孚股份,6.9251,21.288,86.1008,74.3923,-9.375,86.1008
1246,300119,瑞普生物,28.3842,21.284000000000002,3.7397,5.7835,22.208000000000002,2.8617
1247,600168,武汉控股,23.6519,21.2696,5.5621,29.0839,22.2222,5.3113
1248,002638,勤上股份,3.6564,21.2148,2.4587,-4.2817,53.8462,1.8090000000000002
1249,002464,众应互联,101.8897,21.1936,17.2522,57.4005,-25.7143,17.2551
1250,600297,广汇汽车,20.3213,21.1538,48.0272,11.1281,-20.6799,42.8486
1251,000887,中鼎股份,25.2425,21.0207,16.6983,10.1591,19.2308,17.1731
1252,600598,北大荒,11.5251,20.9896,3.4959,4.5179,18.2482,3.6175
1253,300740,御家汇,42.1431,20.9698,,,-1.9608,
1254,603768,常青股份,2.5297,20.9559,8.6007,12.2596,-8.8937,8.6007
1255,002472,双环传动,36.0646,20.8803,13.2204,75.9602,14.2857,11.4792
1256,601997,贵阳银行,,20.7034,17.915,17.3108,21.4286,18.3329
1257,603096,新经典,6.3134,20.6881,116.9321,114.8186,-10.8696,123.1246
1258,601186,中国铁建,6.9749,20.6569,22.6342,6.4903,18.8679,15.8701
1259,601989,中国重工,-41.9313,20.6502,44.6267,6.8046,-13.3333,47.6138
1260,603289,泰瑞机器,27.7515,20.5836,,,-9.0909,
1261,600380,健康元,9.0818,20.5769,40.9566,25.7439,17.7669,31.4859
1262,600761,安徽合力,19.8526,20.5648,6.3445,8.8943,7.1429,5.792999999999999
1263,600438,通威股份,24.045,20.5524,16.4441,18.2523,20.614,14.276
1264,603345,安井食品,18.932000000000002,20.5262,9.9603,8.4564,0.0,9.9603
1265,601789,宁波建工,31.9245,20.5029,10.7132,9.7975,23.6059,6.2611
1266,000333,美的集团,16.704,20.4857,18.1067,11.7975,19.403,20.8934
1267,600276,恒瑞医药,21.7003,20.4842,24.1877,23.5244,-4.2368,24.1885
1268,600970,中材国际,15.2872,20.4635,9.7835,9.5121,11.1111,10.5464
1269,603009,北特科技,17.0335,20.4488,25.0432,42.70399999999999,-51.8695,26.3136
1270,300239,东宝生物,28.7555,20.4447,1.665,23.6409,20.1613,1.665
1271,002415,海康威视,32.9528,20.3915,24.7817,17.7,-18.7755,24.9082
1272,002871,伟隆股份,3.1351,20.3623,101.6829,82.0382,-9.5238,101.6829
1273,002903,宇环数控,35.9155,20.3345,,,-20.0,
1274,000581,威孚高科,-2.6557,20.3277,15.2258,16.9657,21.875,15.4568
1275,002538,司尔特,-1.4292,20.2908,4.6114,3.3774,20.8333,4.6244
1276,002191,劲嘉股份,8.0777,20.2783,38.0286,32.2896,7.6923,38.8855
1277,601838,成都银行,,20.2575,,,15.3846,
1278,603686,龙马环卫,15.287,20.189,76.9892,46.8825,7.5625,75.6008
1279,002493,荣盛石化,13.3534,20.160999999999998,87.1807,65.1467,-29.1667,11.7829
1280,600815,厦工股份,-4.6374,20.1506,46.256,-21.9413,-25.0,38.461999999999996
1281,601898,中煤能源,44.2207,20.1043,4.4795,2.3772,25.0,3.7123
1282,002684,猛狮科技,34.6803,20.0904,-6.3444,43.0244,277.3585,-4.7617
1283,300722,新余国科,29.3183,20.0856,,,0.0,
1284,002508,老板电器,16.8927,20.0523,26.8787,22.853,-8.5714,26.8589
1285,000969,安泰科技,19.6742,20.041,-3.0511,5.1544,-19.6581,0.1839
1286,002158,汉钟精机,54.8827,20.0128,-8.3212,26.4187,18.1034,-8.2943
1287,002142,宁波银行,,19.8801,17.4592,16.2103,-6.6667,17.0504
1288,000429,粤高速A,4.8221,19.8013,6.8236,3.0433,14.2857,8.6073
1289,600998,九州通,18.0492,19.7922,48.1017,40.2453,9.0909,49.001999999999995
1290,002051,中工国际,37.9554,19.7452,13.0359,-3.0576,-4.7619,15.2629
1291,002681,奋达科技,79.7991,19.7152,115.579,110.3389,2.7778,115.7016
