,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
2148,002603,以岭药业,0.28,40.0,,6.24,,31103.61,39.62,,08-23
2149,300738,奥飞数据,0.52,-49.02,3.71,19.33,,2408.87,135.01,,08-23
2150,002025,航天电器,0.29,11.54,,6.22,,12606.98,12.14,,08-23
2151,600346,恒力股份,0.19,-144.19,,11.26,,46555.29,-471.7,,08-23
2152,002717,岭南股份,0.28,27.27,,6.08,,10323.94,47.29,,08-23
2153,603018,中设集团,0.44,-38.89,,5.21,,9238.45,23.84,,08-23
2154,600458,时代新材,0.23,-25.81,,3.81,,18209.41,-11.74,,08-23
2155,002137,麦达数字,0.23,5971.05,2.76,9.12,,13037.66,7311.04,,08-23
2156,600480,凌云股份,0.33,13.79,,4.44,,15017.95,43.57,,08-23
2157,002158,汉钟精机,0.15,-46.97,,4.34,,8082.07,4.56,,08-23
2158,603085,天成自控,0.16,-27.27,,4.04,,1638.78,-0.61,,08-23
2159,300269,联建光电,0.26,39.44,8.3,4.1,0.19,14350.98,56.97,,08-23
2160,002265,西仪股份,0.01,-130.56,,0.68,,327.54,-131.14,,08-23
2161,600232,金鹰股份,0.02,-24.14,,0.68,,794.64,-24.63,,08-23
2162,600623,华谊集团,0.1,-197.09,,1.29,,20590.11,-325.2,,08-23
2163,300698,万马科技,0.28,,1.74,17.28,,2775.66,,,08-23
2164,002329,皇氏集团,0.12,-43.29,,3.83,,10094.34,78.3,,08-23
2165,603608,天创时尚,0.22,-18.52,,6.62,,5733.18,1.6,,08-23
2166,300086,康芝药业,0.05,-14.56,3.97,1.36,0.06,2404.32,28.24,,08-23
2167,300474,景嘉微,0.46,12.2,6.31,8.67,0.06,5358.32,29.48,,08-23
2168,002136,安纳达,0.02,-119.07,,0.88,,406.9,-119.09,,08-23
2169,002189,利达光电,0.03,0.0,,1.01,,530.56,0.02,,08-23
2170,600148,长春一东,0.02,-70.75,,0.63,,227.74,-70.56,,08-23
2171,002543,万和电气,0.52,14.65,,7.85,,23030.86,14.65,10派5,08-23
2172,002591,恒大高新,-0.0,-106.63,,-0.15,,-106.56,-106.59,,08-23
2173,002607,亚夏汽车,0.08,1042.86,,2.82,,3277.88,1163.93,,08-23
2174,603555,贵人鸟,0.26,-9.9,,6.5,,15703.92,-9.9,,08-23
2175,002318,久立特材,0.07,-68.18,,2.51,,6262.39,-15.02,,08-23
2176,601368,绿城水务,0.15,-37.72,,4.24,,11119.64,-22.15,,08-23
2177,002029,七匹狼,0.14,-6.67,,2.08,,10522.54,-5.63,,08-23
2178,300430,诚益通,0.32,-43.86,6.49,4.92,-0.12,3075.0,1.15,,08-23
2179,002077,大港股份,0.03,-130.0,,0.56,,1067.16,-136.42,,08-23
2180,300463,迈克生物,0.3,-65.91,3.79,7.97,-0.1,16491.01,20.41,,08-23
2181,002773,康弘药业,0.27,-17.15,,6.92,,17813.6,39.14,,08-23
